tag_id,time,x,y,description
0x00205FE81414,2019-08-03 10:13:10,39.41,23.99,Keyring
0x00205FE81414,2019-08-03 10:13:15,39.08,21.78,Keyring
0x00205FE81414,2019-08-03 10:13:17,38.67,20.3,Keyring
0x00205FE81414,2019-08-03 10:13:19,37.4,17.24,Keyring
0x00205FE81414,2019-08-03 10:13:21,37.56,16.67,Keyring
0x00205FE81414,2019-08-03 10:13:23,37.67,16.48,Keyring
0x00205FE81414,2019-08-03 10:13:24,37.96,16.32,Keyring
0x00205FE81414,2019-08-03 10:13:26,38.22,15.57,Keyring
0x00205FE81414,2019-08-03 10:13:27,38.03,15.3,Keyring
0x00205FE81414,2019-08-03 10:13:28,37.84,15.39,Keyring
0x00205FE81414,2019-08-03 10:13:30,38.03,15.63,Keyring
0x00205FE81414,2019-08-03 10:13:32,37.65,15.51,Keyring
0x00205FE81414,2019-08-03 10:13:33,37.43,16.54,Keyring
0x00205FE81414,2019-08-03 10:13:34,37.95,17.53,Keyring
0x00205FE81414,2019-08-03 10:13:36,38.98,19.77,Keyring
0x00205FE81414,2019-08-03 10:13:37,38.14,20.19,Keyring
0x00205FE81414,2019-08-03 10:13:39,36.68,20.35,Keyring
0x00205FE81414,2019-08-03 10:13:40,35.63,20.92,Keyring
0x00205FE81414,2019-08-03 10:13:43,33.75,21.39,Keyring
0x00205FE81414,2019-08-03 10:13:44,32.63,20.4,Keyring
0x00205FE81414,2019-08-03 10:13:45,32.39,19.63,Keyring
0x00205FE81414,2019-08-03 10:13:46,32.04,19.42,Keyring
0x00205FE81414,2019-08-03 10:13:48,31.9,19.56,Keyring
0x00205FE81414,2019-08-03 10:13:55,32.13,19.82,Keyring
0x00205FE81414,2019-08-03 10:13:57,32.79,20.69,Keyring
0x00205FE81414,2019-08-03 10:13:59,32.71,19.18,Keyring
0x00205FE81414,2019-08-03 10:14:00,32.62,19.39,Keyring
0x00205FE81414,2019-08-03 10:14:01,32.47,19.73,Keyring
0x00205FE81414,2019-08-03 10:14:03,32.4,20.25,Keyring
0x00205FE81414,2019-08-03 10:14:04,32.67,20.53,Keyring
0x00205FE81414,2019-08-03 10:14:05,32.25,19.92,Keyring
0x00205FE81414,2019-08-03 10:14:08,31.99,19.87,Keyring
0x00205FE81414,2019-08-03 10:14:09,31.72,20.0,Keyring
0x00205FE81414,2019-08-03 10:14:11,32.16,20.68,Keyring
0x00205FE81414,2019-08-03 10:14:15,31.84,19.79,Keyring
0x00205FE81414,2019-08-03 10:14:16,31.51,19.92,Keyring
0x00205FE81414,2019-08-03 10:14:18,31.64,20.94,Keyring
0x00205FE81414,2019-08-03 10:14:21,30.86,20.91,Keyring
0x00205FE81414,2019-08-03 10:14:22,30.79,20.66,Keyring
0x00205FE81414,2019-08-03 10:14:40,31.24,20.91,Keyring
