tag_id,time,x,y,description
0x00205FE8148E,2019-08-29 12:06:18,24.8,23.22,Keyring
0x00205FE8148E,2019-08-29 12:06:20,23.8,24.28,Keyring
0x00205FE8148E,2019-08-29 12:06:23,21.83,24.75,Keyring
0x00205FE8148E,2019-08-29 12:06:25,21.63,23.97,Keyring
0x00205FE8148E,2019-08-29 12:06:28,21.56,24.3,Keyring
0x00205FE8148E,2019-08-29 12:06:29,21.81,24.6,Keyring
0x00205FE8148E,2019-08-29 12:06:32,21.46,25.72,Keyring
0x00205FE8148E,2019-08-29 12:06:34,22.0,25.59,Keyring
0x00205FE8148E,2019-08-29 12:06:36,21.4,24.6,Keyring
0x00205FE8148E,2019-08-29 12:06:38,20.86,24.41,Keyring
0x00205FE8148E,2019-08-29 12:06:39,20.95,24.16,Keyring
0x00205FE8148E,2019-08-29 12:06:41,20.57,24.44,Keyring
0x00205FE8148E,2019-08-29 12:06:45,20.15,25.4,Keyring
0x00205FE8148E,2019-08-29 12:06:51,20.21,25.71,Keyring
0x00205FE8148E,2019-08-29 12:06:52,20.38,24.79,Keyring
0x00205FE8148E,2019-08-29 12:06:53,20.47,24.75,Keyring
0x00205FE8148E,2019-08-29 12:06:54,20.5,24.67,Keyring
0x00205FE8148E,2019-08-29 12:06:56,20.43,24.59,Keyring
0x00205FE8148E,2019-08-29 12:06:58,20.56,23.86,Keyring
0x00205FE8148E,2019-08-29 12:06:59,20.04,23.69,Keyring
0x00205FE8148E,2019-08-29 12:07:01,18.36,23.53,Keyring
0x00205FE8148E,2019-08-29 12:07:04,16.25,23.15,Keyring
0x00205FE8148E,2019-08-29 12:07:06,14.12,23.96,Keyring
0x00205FE8148E,2019-08-29 12:07:09,11.44,24.2,Keyring
0x00205FE8148E,2019-08-29 12:07:14,7.53,25.38,Keyring
0x00205FE8148E,2019-08-29 12:07:16,6.16,25.58,Keyring
0x00205FE8148E,2019-08-29 12:07:21,2.62,22.87,Keyring
0x00205FE8148E,2019-08-29 12:07:22,1.22,21.96,Keyring
0x00205FE8148E,2019-08-29 12:07:25,1.37,20.28,Keyring
0x00205FE8148E,2019-08-29 12:07:27,2.49,19.94,Keyring
0x00205FE8148E,2019-08-29 12:07:29,3.88,19.98,Keyring
0x00205FE8148E,2019-08-29 12:07:30,4.01,20.07,Keyring
0x00205FE8148E,2019-08-29 12:07:31,4.13,20.27,Keyring
0x00205FE8148E,2019-08-29 12:07:33,4.25,20.26,Keyring
0x00205FE8148E,2019-08-29 12:07:35,3.79,20.36,Keyring
0x00205FE8148E,2019-08-29 12:07:38,3.89,20.78,Keyring
0x00205FE8148E,2019-08-29 12:07:39,4.59,20.34,Keyring
0x00205FE8148E,2019-08-29 12:07:40,5.02,19.47,Keyring
0x00205FE8148E,2019-08-29 12:07:43,4.58,19.49,Keyring
0x00205FE8148E,2019-08-29 12:07:44,4.55,19.54,Keyring
0x00205FE8148E,2019-08-29 12:07:45,4.71,19.58,Keyring
0x00205FE8148E,2019-08-29 12:07:48,5.33,18.63,Keyring
0x00205FE8148E,2019-08-29 12:07:53,4.43,19.88,Keyring
0x00205FE8148E,2019-08-29 12:07:54,4.18,19.51,Keyring
0x00205FE8148E,2019-08-29 12:07:55,5.18,19.48,Keyring
0x00205FE8148E,2019-08-29 12:08:01,5.18,20.3,Keyring
