tag_id,time,x,y,description
0x00205FE814A4,2019-08-17 11:05:31,39.08,23.55,Keyring
0x00205FE814A4,2019-08-17 11:06:23,36.72,20.08,Keyring
0x00205FE814A4,2019-08-17 11:06:55,34.72,23.37,Keyring
0x00205FE814A4,2019-08-17 11:06:57,34.1,23.76,Keyring
0x00205FE814A4,2019-08-17 11:06:59,32.82,23.57,Keyring
0x00205FE814A4,2019-08-17 11:07:03,30.35,24.28,Keyring
0x00205FE814A4,2019-08-17 11:07:04,28.11,23.79,Keyring
0x00205FE814A4,2019-08-17 11:07:06,25.95,23.08,Keyring
0x00205FE814A4,2019-08-17 11:07:07,24.58,23.3,Keyring
0x00205FE814A4,2019-08-17 11:07:10,22.8,24.14,Keyring
0x00205FE814A4,2019-08-17 11:07:11,22.32,25.21,Keyring
0x00205FE814A4,2019-08-17 11:07:14,21.92,22.59,Keyring
0x00205FE814A4,2019-08-17 11:07:15,22.23,20.25,Keyring
0x00205FE814A4,2019-08-17 11:07:17,22.66,19.42,Keyring
0x00205FE814A4,2019-08-17 11:07:18,22.84,19.26,Keyring
0x00205FE814A4,2019-08-17 11:07:20,23.29,18.39,Keyring
0x00205FE814A4,2019-08-17 11:07:22,23.87,18.32,Keyring
0x00205FE814A4,2019-08-17 11:08:02,22.04,19.02,Keyring
0x00205FE814A4,2019-08-17 11:08:04,20.32,20.15,Keyring
0x00205FE814A4,2019-08-17 11:08:06,19.58,19.69,Keyring
0x00205FE814A4,2019-08-17 11:08:09,18.37,20.15,Keyring
0x00205FE814A4,2019-08-17 11:08:12,16.5,20.04,Keyring
0x00205FE814A4,2019-08-17 11:08:13,15.7,19.96,Keyring
0x00205FE814A4,2019-08-17 11:08:15,13.96,19.58,Keyring
0x00205FE814A4,2019-08-17 11:08:16,13.67,19.79,Keyring
0x00205FE814A4,2019-08-17 11:08:17,12.51,19.58,Keyring
0x00205FE814A4,2019-08-17 11:08:18,11.73,19.53,Keyring
0x00205FE814A4,2019-08-17 11:08:20,10.7,19.0,Keyring
0x00205FE814A4,2019-08-17 11:08:22,9.66,18.93,Keyring
0x00205FE814A4,2019-08-17 11:08:23,8.49,18.76,Keyring
0x00205FE814A4,2019-08-17 11:08:25,7.21,20.09,Keyring
0x00205FE814A4,2019-08-17 11:08:26,6.37,19.78,Keyring
0x00205FE814A4,2019-08-17 11:08:28,4.3,19.65,Keyring
0x00205FE814A4,2019-08-17 11:08:30,3.05,18.98,Keyring
0x00205FE814A4,2019-08-17 11:08:33,1.81,18.97,Keyring
0x00205FE814A4,2019-08-17 11:08:35,1.1,18.32,Keyring
0x00205FE814A4,2019-08-17 11:08:37,1.66,17.71,Keyring
0x00205FE814A4,2019-08-17 11:09:05,1.79,17.3,Keyring
0x00205FE814A4,2019-08-17 11:09:06,1.88,17.18,Keyring
0x00205FE814A4,2019-08-17 11:09:07,1.95,17.28,Keyring
0x00205FE814A4,2019-08-17 11:09:08,2.16,17.86,Keyring
0x00205FE814A4,2019-08-17 11:09:12,2.46,16.95,Keyring
0x00205FE814A4,2019-08-17 11:09:14,2.62,15.66,Keyring
0x00205FE814A4,2019-08-17 11:09:15,2.52,13.1,Keyring
0x00205FE814A4,2019-08-17 11:09:16,2.72,12.94,Keyring
0x00205FE814A4,2019-08-17 11:09:17,3.15,12.88,Keyring
0x00205FE814A4,2019-08-17 11:09:19,2.45,12.38,Keyring
0x00205FE814A4,2019-08-17 11:09:20,2.48,12.31,Keyring
0x00205FE814A4,2019-08-17 11:09:22,2.81,11.63,Keyring
0x00205FE814A4,2019-08-17 11:09:23,2.94,10.91,Keyring
0x00205FE814A4,2019-08-17 11:09:26,4.92,10.76,Keyring
0x00205FE814A4,2019-08-17 11:09:27,5.18,10.64,Keyring
0x00205FE814A4,2019-08-17 11:09:29,5.18,10.5,Keyring
0x00205FE814A4,2019-08-17 11:09:31,6.39,10.74,Keyring
0x00205FE814A4,2019-08-17 11:09:33,8.64,9.85,Keyring
0x00205FE814A4,2019-08-17 11:09:46,7.34,11.22,Keyring
0x00205FE814A4,2019-08-17 11:09:47,6.86,11.18,Keyring
0x00205FE814A4,2019-08-17 11:09:48,7.09,11.3,Keyring
0x00205FE814A4,2019-08-17 11:09:49,9.28,11.21,Keyring
0x00205FE814A4,2019-08-17 11:09:50,10.31,11.38,Keyring
0x00205FE814A4,2019-08-17 11:09:52,11.01,11.12,Keyring
0x00205FE814A4,2019-08-17 11:10:21,10.54,11.81,Keyring
0x00205FE814A4,2019-08-17 11:10:22,11.52,11.4,Keyring
0x00205FE814A4,2019-08-17 11:11:05,11.43,11.3,Keyring
0x00205FE814A4,2019-08-17 11:11:06,10.15,11.53,Keyring
0x00205FE814A4,2019-08-17 11:11:08,10.24,11.57,Keyring
0x00205FE814A4,2019-08-17 11:11:09,9.93,11.23,Keyring
0x00205FE814A4,2019-08-17 11:11:12,9.36,10.98,Keyring
0x00205FE814A4,2019-08-17 11:11:50,8.57,11.28,Keyring
0x00205FE814A4,2019-08-17 11:11:52,10.74,10.86,Keyring
0x00205FE814A4,2019-08-17 11:11:54,8.89,10.95,Keyring
0x00205FE814A4,2019-08-17 11:11:55,8.3,10.72,Keyring
0x00205FE814A4,2019-08-17 11:11:56,7.71,10.52,Keyring
