tag_id,time,x,y,description
0x00205FFF26C5,2019-08-07 08:21:14,40.73,22.48,Cart
0x00205FFF26C5,2019-08-07 08:21:16,39.95,25.08,Cart
0x00205FFF26C5,2019-08-07 08:21:17,39.39,25.0,Cart
0x00205FFF26C5,2019-08-07 08:21:19,37.92,24.93,Cart
0x00205FFF26C5,2019-08-07 08:21:21,35.93,24.76,Cart
0x00205FFF26C5,2019-08-07 08:22:39,32.38,21.7,Cart
0x00205FFF26C5,2019-08-07 08:22:41,34.55,24.35,Cart
0x00205FFF26C5,2019-08-07 08:22:44,32.06,25.33,Cart
0x00205FFF26C5,2019-08-07 08:22:46,30.43,24.86,Cart
0x00205FFF26C5,2019-08-07 08:22:47,29.65,25.58,Cart
0x00205FFF26C5,2019-08-07 08:22:51,29.9,25.88,Cart
0x00205FFF26C5,2019-08-07 08:22:53,27.67,24.11,Cart
0x00205FFF26C5,2019-08-07 08:22:56,27.4,23.9,Cart
0x00205FFF26C5,2019-08-07 08:22:57,28.44,25.03,Cart
0x00205FFF26C5,2019-08-07 08:22:58,28.14,25.54,Cart
0x00205FFF26C5,2019-08-07 08:23:00,27.18,24.15,Cart
0x00205FFF26C5,2019-08-07 08:23:05,26.74,23.82,Cart
0x00205FFF26C5,2019-08-07 08:23:06,26.81,23.74,Cart
0x00205FFF26C5,2019-08-07 08:23:13,27.26,23.94,Cart
0x00205FFF26C5,2019-08-07 08:23:15,27.77,24.17,Cart
0x00205FFF26C5,2019-08-07 08:23:16,28.13,24.83,Cart
0x00205FFF26C5,2019-08-07 08:23:18,26.94,24.36,Cart
0x00205FFF26C5,2019-08-07 08:23:19,26.13,23.9,Cart
0x00205FFF26C5,2019-08-07 08:23:21,25.25,24.67,Cart
0x00205FFF26C5,2019-08-07 08:23:23,23.25,25.43,Cart
0x00205FFF26C5,2019-08-07 08:23:24,22.71,24.9,Cart
0x00205FFF26C5,2019-08-07 08:23:26,21.44,24.42,Cart
0x00205FFF26C5,2019-08-07 08:23:27,20.44,23.52,Cart
0x00205FFF26C5,2019-08-07 08:23:28,19.37,22.98,Cart
0x00205FFF26C5,2019-08-07 08:23:30,18.27,24.42,Cart
0x00205FFF26C5,2019-08-07 08:24:03,18.27,23.78,Cart
0x00205FFF26C5,2019-08-07 08:24:04,17.32,24.43,Cart
0x00205FFF26C5,2019-08-07 08:24:06,17.3,24.42,Cart
0x00205FFF26C5,2019-08-07 08:24:10,16.52,23.75,Cart
0x00205FFF26C5,2019-08-07 08:24:11,15.94,23.93,Cart
0x00205FFF26C5,2019-08-07 08:24:14,13.86,25.75,Cart
0x00205FFF26C5,2019-08-07 08:24:18,13.24,25.64,Cart
0x00205FFF26C5,2019-08-07 08:24:20,13.11,25.41,Cart
0x00205FFF26C5,2019-08-07 08:24:28,13.03,25.77,Cart
0x00205FFF26C5,2019-08-07 08:24:30,12.18,25.63,Cart
0x00205FFF26C5,2019-08-07 08:24:35,9.76,25.79,Cart
0x00205FFF26C5,2019-08-07 08:24:37,8.94,25.09,Cart
0x00205FFF26C5,2019-08-07 08:24:53,7.99,24.32,Cart
0x00205FFF26C5,2019-08-07 08:25:16,10.99,22.18,Cart
0x00205FFF26C5,2019-08-07 08:25:17,7.49,24.3,Cart
0x00205FFF26C5,2019-08-07 08:25:19,5.56,25.0,Cart
0x00205FFF26C5,2019-08-07 08:25:21,3.95,24.22,Cart
0x00205FFF26C5,2019-08-07 08:25:25,2.4,21.31,Cart
0x00205FFF26C5,2019-08-07 08:25:27,1.62,20.24,Cart
0x00205FFF26C5,2019-08-07 08:25:30,4.75,19.56,Cart
