tag_id,time,x,y,description
0x00205FFF26EF,2019-08-01 08:50:17,38.92,23.45,Cart
0x00205FFF26EF,2019-08-01 08:50:18,39.61,25.66,Cart
0x00205FFF26EF,2019-08-01 08:50:20,39.65,24.86,Cart
0x00205FFF26EF,2019-08-01 08:50:22,38.87,24.98,Cart
0x00205FFF26EF,2019-08-01 08:50:23,38.36,25.26,Cart
0x00205FFF26EF,2019-08-01 08:50:45,36.94,24.46,Cart
0x00205FFF26EF,2019-08-01 08:50:50,34.35,22.66,Cart
0x00205FFF26EF,2019-08-01 08:50:51,36.74,24.23,Cart
0x00205FFF26EF,2019-08-01 08:50:57,37.0,24.32,Cart
0x00205FFF26EF,2019-08-01 08:51:01,31.0,21.39,Cart
0x00205FFF26EF,2019-08-01 08:51:05,29.18,25.67,Cart
0x00205FFF26EF,2019-08-01 08:51:07,25.66,24.08,Cart
0x00205FFF26EF,2019-08-01 08:51:08,24.19,23.05,Cart
0x00205FFF26EF,2019-08-01 08:51:09,24.04,24.63,Cart
0x00205FFF26EF,2019-08-01 08:51:10,22.42,23.94,Cart
0x00205FFF26EF,2019-08-01 08:51:12,20.55,23.17,Cart
0x00205FFF26EF,2019-08-01 08:51:13,18.75,24.63,Cart
0x00205FFF26EF,2019-08-01 08:51:15,16.45,24.53,Cart
0x00205FFF26EF,2019-08-01 08:51:17,13.58,25.48,Cart
0x00205FFF26EF,2019-08-01 08:51:20,11.5,25.54,Cart
0x00205FFF26EF,2019-08-01 08:51:21,10.86,24.17,Cart
0x00205FFF26EF,2019-08-01 08:51:23,9.1,25.04,Cart
0x00205FFF26EF,2019-08-01 08:51:31,8.26,25.3,Cart
0x00205FFF26EF,2019-08-01 08:51:33,6.03,25.83,Cart
0x00205FFF26EF,2019-08-01 08:51:34,4.0,25.64,Cart
0x00205FFF26EF,2019-08-01 08:51:38,2.44,22.94,Cart
0x00205FFF26EF,2019-08-01 08:51:41,1.25,20.22,Cart
0x00205FFF26EF,2019-08-01 08:51:42,2.03,19.85,Cart
0x00205FFF26EF,2019-08-01 08:51:43,3.15,17.11,Cart
0x00205FFF26EF,2019-08-01 08:51:53,1.61,18.92,Cart
0x00205FFF26EF,2019-08-01 08:51:54,0.88,19.22,Cart
0x00205FFF26EF,2019-08-01 08:51:55,1.32,19.43,Cart
0x00205FFF26EF,2019-08-01 08:51:59,1.19,19.78,Cart
0x00205FFF26EF,2019-08-01 08:52:00,0.89,19.07,Cart
0x00205FFF26EF,2019-08-01 08:52:02,1.11,18.25,Cart
0x00205FFF26EF,2019-08-01 08:52:03,1.5,17.38,Cart
0x00205FFF26EF,2019-08-01 08:52:05,2.05,14.63,Cart
0x00205FFF26EF,2019-08-01 08:52:08,2.83,12.25,Cart
0x00205FFF26EF,2019-08-01 08:52:09,2.78,10.18,Cart
0x00205FFF26EF,2019-08-01 08:52:10,2.52,8.95,Cart
0x00205FFF26EF,2019-08-01 08:52:12,1.35,7.33,Cart
0x00205FFF26EF,2019-08-01 08:52:14,0.81,6.65,Cart
0x00205FFF26EF,2019-08-01 08:52:15,0.74,5.36,Cart
0x00205FFF26EF,2019-08-01 08:52:17,0.94,4.42,Cart
0x00205FFF26EF,2019-08-01 08:52:27,1.49,3.79,Cart
0x00205FFF26EF,2019-08-01 08:52:29,2.09,3.44,Cart
0x00205FFF26EF,2019-08-01 08:52:31,3.81,1.55,Cart
0x00205FFF26EF,2019-08-01 08:52:32,4.85,1.49,Cart
0x00205FFF26EF,2019-08-01 08:52:36,6.83,3.83,Cart
0x00205FFF26EF,2019-08-01 08:53:12,10.01,2.93,Cart
0x00205FFF26EF,2019-08-01 08:53:13,10.36,2.89,Cart
0x00205FFF26EF,2019-08-01 08:53:15,11.73,7.94,Cart
0x00205FFF26EF,2019-08-01 08:53:20,16.46,1.94,Cart
0x00205FFF26EF,2019-08-01 08:53:22,19.53,2.55,Cart
0x00205FFF26EF,2019-08-01 08:53:29,25.12,2.17,Cart
0x00205FFF26EF,2019-08-01 08:53:34,29.42,1.83,Cart
0x00205FFF26EF,2019-08-01 08:53:41,27.09,2.59,Cart
0x00205FFF26EF,2019-08-01 08:53:43,28.9,2.56,Cart
0x00205FFF26EF,2019-08-01 08:53:45,28.71,1.61,Cart
0x00205FFF26EF,2019-08-01 08:53:47,28.76,1.6,Cart
0x00205FFF26EF,2019-08-01 08:53:49,28.09,3.44,Cart
0x00205FFF26EF,2019-08-01 08:53:50,26.96,3.33,Cart
0x00205FFF26EF,2019-08-01 08:53:51,25.87,3.12,Cart
0x00205FFF26EF,2019-08-01 08:53:53,24.47,2.88,Cart
0x00205FFF26EF,2019-08-01 08:53:54,23.06,1.76,Cart
0x00205FFF26EF,2019-08-01 08:54:13,24.53,0.99,Cart
0x00205FFF26EF,2019-08-01 08:54:15,22.39,2.79,Cart
0x00205FFF26EF,2019-08-01 08:54:17,21.36,3.81,Cart
0x00205FFF26EF,2019-08-01 08:54:18,21.71,4.83,Cart
0x00205FFF26EF,2019-08-01 08:54:21,22.14,6.15,Cart
