tag_id,time,x,y,description
0x00205FFF282E,2019-08-01 09:45:05,40.53,24.11,Cart
0x00205FFF282E,2019-08-01 09:45:07,40.71,23.89,Cart
0x00205FFF282E,2019-08-01 09:45:08,39.54,23.99,Cart
0x00205FFF282E,2019-08-01 09:45:09,38.26,24.31,Cart
0x00205FFF282E,2019-08-01 09:45:11,38.88,24.54,Cart
0x00205FFF282E,2019-08-01 09:45:12,38.73,23.86,Cart
0x00205FFF282E,2019-08-01 09:45:16,38.28,23.28,Cart
0x00205FFF282E,2019-08-01 09:45:17,33.02,18.65,Cart
0x00205FFF282E,2019-08-01 09:45:30,38.52,23.02,Cart
0x00205FFF282E,2019-08-01 09:45:31,38.86,23.69,Cart
0x00205FFF282E,2019-08-01 09:45:33,37.39,22.92,Cart
0x00205FFF282E,2019-08-01 09:45:34,36.83,23.06,Cart
0x00205FFF282E,2019-08-01 09:45:36,35.06,22.92,Cart
0x00205FFF282E,2019-08-01 09:45:38,32.2,22.03,Cart
0x00205FFF282E,2019-08-01 09:45:40,31.58,22.89,Cart
0x00205FFF282E,2019-08-01 09:45:41,31.09,23.34,Cart
0x00205FFF282E,2019-08-01 09:45:43,30.61,24.72,Cart
0x00205FFF282E,2019-08-01 09:45:48,27.3,25.86,Cart
0x00205FFF282E,2019-08-01 09:45:49,25.32,24.0,Cart
0x00205FFF282E,2019-08-01 09:45:51,24.04,25.1,Cart
0x00205FFF282E,2019-08-01 09:45:53,22.94,25.64,Cart
0x00205FFF282E,2019-08-01 09:46:01,22.38,24.21,Cart
0x00205FFF282E,2019-08-01 09:46:04,21.24,22.6,Cart
0x00205FFF282E,2019-08-01 09:46:06,19.77,22.94,Cart
0x00205FFF282E,2019-08-01 09:46:07,19.51,24.5,Cart
0x00205FFF282E,2019-08-01 09:46:09,17.85,23.91,Cart
0x00205FFF282E,2019-08-01 09:46:10,16.98,23.66,Cart
0x00205FFF282E,2019-08-01 09:46:14,13.48,25.13,Cart
0x00205FFF282E,2019-08-01 09:46:16,12.08,25.25,Cart
0x00205FFF282E,2019-08-01 09:46:20,11.63,22.41,Cart
0x00205FFF282E,2019-08-01 09:46:24,7.65,25.55,Cart
0x00205FFF282E,2019-08-01 09:46:25,8.91,23.74,Cart
0x00205FFF282E,2019-08-01 09:46:27,7.07,25.17,Cart
0x00205FFF282E,2019-08-01 09:46:28,6.1,25.25,Cart
0x00205FFF282E,2019-08-01 09:46:31,4.42,23.87,Cart
0x00205FFF282E,2019-08-01 09:46:35,2.47,22.8,Cart
0x00205FFF282E,2019-08-01 09:46:37,2.59,20.45,Cart
0x00205FFF282E,2019-08-01 09:46:39,3.23,20.14,Cart
0x00205FFF282E,2019-08-01 09:46:41,2.0,19.08,Cart
0x00205FFF282E,2019-08-01 09:46:45,3.0,17.59,Cart
0x00205FFF282E,2019-08-01 09:46:51,1.56,16.75,Cart
0x00205FFF282E,2019-08-01 09:46:53,2.39,16.5,Cart
0x00205FFF282E,2019-08-01 09:46:58,0.9,16.53,Cart
0x00205FFF282E,2019-08-01 09:47:00,2.36,16.1,Cart
