tag_id,time,x,y,description
0x00205FFF28D4,2019-08-09 09:47:21,32.56,15.92,Cart
0x00205FFF28D4,2019-08-09 09:47:26,31.74,22.19,Cart
0x00205FFF28D4,2019-08-09 09:47:31,26.18,23.15,Cart
0x00205FFF28D4,2019-08-09 09:47:32,24.43,23.36,Cart
0x00205FFF28D4,2019-08-09 09:47:34,23.23,24.59,Cart
0x00205FFF28D4,2019-08-09 09:47:35,21.87,25.66,Cart
0x00205FFF28D4,2019-08-09 09:47:36,21.2,25.26,Cart
0x00205FFF28D4,2019-08-09 09:47:38,18.72,25.21,Cart
0x00205FFF28D4,2019-08-09 09:47:41,17.53,25.68,Cart
0x00205FFF28D4,2019-08-09 09:47:44,16.59,24.52,Cart
0x00205FFF28D4,2019-08-09 09:49:29,16.23,23.31,Cart
0x00205FFF28D4,2019-08-09 09:49:43,14.5,24.44,Cart
0x00205FFF28D4,2019-08-09 09:49:47,8.9,25.69,Cart
0x00205FFF28D4,2019-08-09 09:49:48,7.22,25.81,Cart
0x00205FFF28D4,2019-08-09 09:49:49,6.19,25.39,Cart
0x00205FFF28D4,2019-08-09 09:49:51,4.1,24.27,Cart
0x00205FFF28D4,2019-08-09 09:49:52,3.0,23.72,Cart
0x00205FFF28D4,2019-08-09 09:49:54,1.67,23.48,Cart
0x00205FFF28D4,2019-08-09 09:49:55,0.86,22.76,Cart
0x00205FFF28D4,2019-08-09 09:49:56,1.19,21.5,Cart
0x00205FFF28D4,2019-08-09 09:49:58,1.08,19.86,Cart
0x00205FFF28D4,2019-08-09 09:49:59,0.84,19.21,Cart
0x00205FFF28D4,2019-08-09 09:50:01,1.45,18.97,Cart
0x00205FFF28D4,2019-08-09 09:50:03,2.71,19.28,Cart
0x00205FFF28D4,2019-08-09 09:50:04,2.99,18.37,Cart
0x00205FFF28D4,2019-08-09 09:50:06,6.1,18.8,Cart
0x00205FFF28D4,2019-08-09 09:50:09,8.82,20.25,Cart
0x00205FFF28D4,2019-08-09 09:50:16,8.57,20.48,Cart
0x00205FFF28D4,2019-08-09 09:50:18,7.15,21.52,Cart
0x00205FFF28D4,2019-08-09 09:50:19,8.17,20.7,Cart
0x00205FFF28D4,2019-08-09 09:50:21,8.49,20.5,Cart
0x00205FFF28D4,2019-08-09 09:50:23,8.77,18.42,Cart
0x00205FFF28D4,2019-08-09 09:50:24,8.37,18.88,Cart
0x00205FFF28D4,2019-08-09 09:50:28,3.11,19.56,Cart
0x00205FFF28D4,2019-08-09 09:50:30,1.76,19.58,Cart
0x00205FFF28D4,2019-08-09 09:50:31,3.58,18.88,Cart
0x00205FFF28D4,2019-08-09 09:50:33,2.08,18.64,Cart
0x00205FFF28D4,2019-08-09 09:50:34,2.32,18.59,Cart
0x00205FFF28D4,2019-08-09 09:50:35,1.76,18.26,Cart
0x00205FFF28D4,2019-08-09 09:50:42,1.37,17.23,Cart
0x00205FFF28D4,2019-08-09 09:50:44,1.1,17.33,Cart
0x00205FFF28D4,2019-08-09 09:50:46,1.3,16.73,Cart
0x00205FFF28D4,2019-08-09 09:50:47,1.38,16.46,Cart
0x00205FFF28D4,2019-08-09 09:50:48,1.26,15.96,Cart
0x00205FFF28D4,2019-08-09 09:50:49,1.12,15.75,Cart
0x00205FFF28D4,2019-08-09 09:50:51,0.87,15.34,Cart
0x00205FFF28D4,2019-08-09 09:50:52,0.8,15.35,Cart
0x00205FFF28D4,2019-08-09 09:50:53,0.85,15.37,Cart
0x00205FFF28D4,2019-08-09 09:50:55,0.79,15.43,Cart
0x00205FFF28D4,2019-08-09 09:51:07,0.8,15.54,Cart
0x00205FFF28D4,2019-08-09 09:51:09,0.81,15.53,Cart
0x00205FFF28D4,2019-08-09 09:51:10,0.81,15.61,Cart
0x00205FFF28D4,2019-08-09 09:51:11,0.81,15.66,Cart
0x00205FFF28D4,2019-08-09 09:51:24,1.21,15.45,Cart
0x00205FFF28D4,2019-08-09 09:51:26,0.82,14.07,Cart
0x00205FFF28D4,2019-08-09 09:51:27,1.73,13.8,Cart
0x00205FFF28D4,2019-08-09 09:51:29,2.46,12.87,Cart
0x00205FFF28D4,2019-08-09 09:51:30,2.49,12.11,Cart
0x00205FFF28D4,2019-08-09 09:51:31,2.33,11.14,Cart
0x00205FFF28D4,2019-08-09 09:51:32,2.22,10.08,Cart
0x00205FFF28D4,2019-08-09 09:51:33,1.94,9.91,Cart
0x00205FFF28D4,2019-08-09 09:51:35,1.9,8.8,Cart
0x00205FFF28D4,2019-08-09 09:51:40,1.32,8.51,Cart
0x00205FFF28D4,2019-08-09 09:51:41,1.61,8.55,Cart
0x00205FFF28D4,2019-08-09 09:51:43,1.99,8.27,Cart
0x00205FFF28D4,2019-08-09 09:51:44,1.97,7.94,Cart
0x00205FFF28D4,2019-08-09 09:51:46,1.86,7.33,Cart
0x00205FFF28D4,2019-08-09 09:51:53,3.26,7.4,Cart
0x00205FFF28D4,2019-08-09 09:51:55,2.89,7.72,Cart
0x00205FFF28D4,2019-08-09 09:51:57,2.87,7.87,Cart
0x00205FFF28D4,2019-08-09 09:52:01,2.52,7.92,Cart
0x00205FFF28D4,2019-08-09 09:52:03,3.27,7.3,Cart
0x00205FFF28D4,2019-08-09 09:52:04,4.03,7.33,Cart
0x00205FFF28D4,2019-08-09 09:52:06,3.52,7.1,Cart
0x00205FFF28D4,2019-08-09 09:52:07,3.39,7.05,Cart
0x00205FFF28D4,2019-08-09 09:52:11,5.91,8.51,Cart
0x00205FFF28D4,2019-08-09 09:52:12,5.44,7.19,Cart
0x00205FFF28D4,2019-08-09 09:52:18,5.0,6.72,Cart
0x00205FFF28D4,2019-08-09 09:52:19,6.03,7.19,Cart
0x00205FFF28D4,2019-08-09 09:52:21,7.65,8.43,Cart
0x00205FFF28D4,2019-08-09 09:52:22,9.28,8.79,Cart
0x00205FFF28D4,2019-08-09 09:52:23,9.81,8.77,Cart
0x00205FFF28D4,2019-08-09 09:52:25,11.07,8.17,Cart
0x00205FFF28D4,2019-08-09 09:52:28,11.54,8.24,Cart
0x00205FFF28D4,2019-08-09 09:52:29,11.19,7.82,Cart
0x00205FFF28D4,2019-08-09 09:52:40,10.35,6.72,Cart
0x00205FFF28D4,2019-08-09 09:52:42,10.86,7.7,Cart
0x00205FFF28D4,2019-08-09 09:52:45,11.12,7.78,Cart
0x00205FFF28D4,2019-08-09 09:52:48,10.56,7.1,Cart
0x00205FFF28D4,2019-08-09 09:52:50,7.25,7.35,Cart
0x00205FFF28D4,2019-08-09 09:52:52,5.16,7.2,Cart
0x00205FFF28D4,2019-08-09 09:52:53,3.84,6.9,Cart
0x00205FFF28D4,2019-08-09 09:52:54,3.95,7.27,Cart
0x00205FFF28D4,2019-08-09 09:52:56,2.62,6.53,Cart
0x00205FFF28D4,2019-08-09 09:52:57,2.04,5.41,Cart
0x00205FFF28D4,2019-08-09 09:52:58,1.61,4.65,Cart
0x00205FFF28D4,2019-08-09 09:53:00,2.38,3.89,Cart
0x00205FFF28D4,2019-08-09 09:53:01,2.79,3.66,Cart
0x00205FFF28D4,2019-08-09 09:53:03,3.2,3.42,Cart
0x00205FFF28D4,2019-08-09 09:53:06,3.94,1.86,Cart
0x00205FFF28D4,2019-08-09 09:53:08,3.55,1.93,Cart
0x00205FFF28D4,2019-08-09 09:53:10,3.36,2.1,Cart
0x00205FFF28D4,2019-08-09 09:53:18,3.54,2.57,Cart
0x00205FFF28D4,2019-08-09 09:53:20,3.62,1.69,Cart
0x00205FFF28D4,2019-08-09 09:53:22,3.86,2.22,Cart
0x00205FFF28D4,2019-08-09 09:53:23,3.63,2.11,Cart
0x00205FFF28D4,2019-08-09 09:53:24,3.68,2.41,Cart
0x00205FFF28D4,2019-08-09 09:53:26,4.34,1.56,Cart
0x00205FFF28D4,2019-08-09 09:53:32,5.69,1.03,Cart
0x00205FFF28D4,2019-08-09 09:53:46,5.71,1.04,Cart
0x00205FFF28D4,2019-08-09 09:53:52,5.84,1.03,Cart
0x00205FFF28D4,2019-08-09 09:53:53,5.83,1.05,Cart
0x00205FFF28D4,2019-08-09 09:53:55,5.81,1.05,Cart
0x00205FFF28D4,2019-08-09 09:53:57,5.84,1.05,Cart
0x00205FFF28D4,2019-08-09 09:53:59,5.88,1.05,Cart
0x00205FFF28D4,2019-08-09 09:54:03,5.79,1.05,Cart
0x00205FFF28D4,2019-08-09 09:54:04,5.86,1.05,Cart
0x00205FFF28D4,2019-08-09 09:54:23,5.73,1.05,Cart
0x00205FFF28D4,2019-08-09 09:54:25,5.54,1.05,Cart
0x00205FFF28D4,2019-08-09 09:54:27,5.6,1.05,Cart
0x00205FFF28D4,2019-08-09 09:54:31,5.7,1.05,Cart
0x00205FFF28D4,2019-08-09 09:54:32,5.72,1.05,Cart
0x00205FFF28D4,2019-08-09 09:54:40,5.86,1.18,Cart
0x00205FFF28D4,2019-08-09 09:54:43,5.56,1.05,Cart
0x00205FFF28D4,2019-08-09 09:54:46,5.86,1.05,Cart
0x00205FFF28D4,2019-08-09 09:54:49,6.0,1.05,Cart
0x00205FFF28D4,2019-08-09 09:54:58,7.1,1.05,Cart
0x00205FFF28D4,2019-08-09 09:54:59,6.78,1.25,Cart
0x00205FFF28D4,2019-08-09 09:55:07,7.3,1.08,Cart
0x00205FFF28D4,2019-08-09 09:55:11,9.76,3.69,Cart
0x00205FFF28D4,2019-08-09 09:55:14,10.36,4.66,Cart
0x00205FFF28D4,2019-08-09 09:55:16,10.73,4.83,Cart
0x00205FFF28D4,2019-08-09 09:55:19,11.59,4.73,Cart
0x00205FFF28D4,2019-08-09 09:55:37,10.98,1.76,Cart
0x00205FFF28D4,2019-08-09 09:55:38,11.39,1.2,Cart
0x00205FFF28D4,2019-08-09 09:55:39,12.06,2.93,Cart
0x00205FFF28D4,2019-08-09 09:55:40,12.73,2.88,Cart
0x00205FFF28D4,2019-08-09 09:55:42,13.69,2.47,Cart
0x00205FFF28D4,2019-08-09 09:55:43,14.37,3.08,Cart
0x00205FFF28D4,2019-08-09 09:55:45,14.3,1.9,Cart
0x00205FFF28D4,2019-08-09 09:55:49,16.96,2.71,Cart
0x00205FFF28D4,2019-08-09 09:55:50,17.41,3.46,Cart
0x00205FFF28D4,2019-08-09 09:55:51,18.25,2.14,Cart
0x00205FFF28D4,2019-08-09 09:55:53,20.34,1.05,Cart
0x00205FFF28D4,2019-08-09 09:56:01,19.47,2.74,Cart
0x00205FFF28D4,2019-08-09 09:56:06,22.44,2.92,Cart
0x00205FFF28D4,2019-08-09 09:56:08,24.1,1.82,Cart
0x00205FFF28D4,2019-08-09 09:56:10,23.37,2.85,Cart
0x00205FFF28D4,2019-08-09 09:56:17,23.42,4.71,Cart
0x00205FFF28D4,2019-08-09 09:56:19,23.51,3.19,Cart
0x00205FFF28D4,2019-08-09 09:56:21,23.42,2.12,Cart
0x00205FFF28D4,2019-08-09 09:56:22,23.39,2.12,Cart
0x00205FFF28D4,2019-08-09 09:56:24,23.34,1.99,Cart
0x00205FFF28D4,2019-08-09 09:56:27,23.36,2.17,Cart
0x00205FFF28D4,2019-08-09 09:56:29,23.51,2.46,Cart
0x00205FFF28D4,2019-08-09 09:56:30,23.24,2.54,Cart
0x00205FFF28D4,2019-08-09 09:56:31,23.32,2.48,Cart
0x00205FFF28D4,2019-08-09 09:56:32,22.67,2.93,Cart
0x00205FFF28D4,2019-08-09 09:56:34,22.32,2.94,Cart
0x00205FFF28D4,2019-08-09 09:56:36,22.35,3.64,Cart
0x00205FFF28D4,2019-08-09 09:56:37,22.3,4.5,Cart
0x00205FFF28D4,2019-08-09 09:56:38,21.89,5.46,Cart
0x00205FFF28D4,2019-08-09 09:56:42,22.16,5.01,Cart
0x00205FFF28D4,2019-08-09 09:56:44,22.06,5.81,Cart
0x00205FFF28D4,2019-08-09 09:56:46,21.68,6.16,Cart
0x00205FFF28D4,2019-08-09 09:56:47,22.0,6.27,Cart
0x00205FFF28D4,2019-08-09 09:56:50,22.27,6.22,Cart
0x00205FFF28D4,2019-08-09 09:57:13,22.06,5.43,Cart
0x00205FFF28D4,2019-08-09 09:57:16,21.52,5.29,Cart
0x00205FFF28D4,2019-08-09 09:57:17,21.92,5.21,Cart
