tag_id,time,x,y,description
0x00205FFF28DA,2019-08-01 09:50:30,40.28,24.47,Cart
0x00205FFF28DA,2019-08-01 09:50:31,40.13,24.63,Cart
0x00205FFF28DA,2019-08-01 09:50:32,37.39,23.74,Cart
0x00205FFF28DA,2019-08-01 09:50:36,39.14,25.07,Cart
0x00205FFF28DA,2019-08-01 09:50:41,38.7,22.97,Cart
0x00205FFF28DA,2019-08-01 09:50:42,39.2,24.01,Cart
0x00205FFF28DA,2019-08-01 09:50:43,37.94,23.54,Cart
0x00205FFF28DA,2019-08-01 09:50:44,37.43,23.19,Cart
0x00205FFF28DA,2019-08-01 09:50:46,35.36,22.78,Cart
0x00205FFF28DA,2019-08-01 09:50:47,33.38,22.28,Cart
0x00205FFF28DA,2019-08-01 09:50:49,31.28,21.89,Cart
0x00205FFF28DA,2019-08-01 09:50:50,31.47,23.01,Cart
0x00205FFF28DA,2019-08-01 09:50:51,30.87,23.57,Cart
0x00205FFF28DA,2019-08-01 09:50:53,29.11,24.41,Cart
0x00205FFF28DA,2019-08-01 09:50:55,28.61,25.31,Cart
0x00205FFF28DA,2019-08-01 09:50:57,25.72,25.29,Cart
0x00205FFF28DA,2019-08-01 09:51:01,22.73,24.99,Cart
0x00205FFF28DA,2019-08-01 09:51:02,22.48,24.72,Cart
0x00205FFF28DA,2019-08-01 09:51:03,21.87,22.59,Cart
0x00205FFF28DA,2019-08-01 09:51:04,21.9,22.17,Cart
0x00205FFF28DA,2019-08-01 09:51:06,21.56,21.42,Cart
0x00205FFF28DA,2019-08-01 09:51:07,22.0,21.09,Cart
0x00205FFF28DA,2019-08-01 09:51:33,21.53,21.64,Cart
0x00205FFF28DA,2019-08-01 09:51:35,21.46,22.07,Cart
0x00205FFF28DA,2019-08-01 09:51:36,21.63,21.58,Cart
0x00205FFF28DA,2019-08-01 09:51:37,21.39,21.19,Cart
0x00205FFF28DA,2019-08-01 09:51:38,21.27,20.13,Cart
0x00205FFF28DA,2019-08-01 09:51:40,21.18,19.68,Cart
0x00205FFF28DA,2019-08-01 09:51:41,20.99,20.31,Cart
0x00205FFF28DA,2019-08-01 09:51:43,20.36,20.09,Cart
0x00205FFF28DA,2019-08-01 09:51:44,19.78,20.04,Cart
0x00205FFF28DA,2019-08-01 09:51:46,19.05,19.85,Cart
0x00205FFF28DA,2019-08-01 09:51:49,18.63,18.95,Cart
0x00205FFF28DA,2019-08-01 09:51:50,18.85,18.69,Cart
0x00205FFF28DA,2019-08-01 09:52:02,17.63,19.94,Cart
0x00205FFF28DA,2019-08-01 09:52:04,15.44,20.2,Cart
0x00205FFF28DA,2019-08-01 09:52:05,13.82,19.67,Cart
0x00205FFF28DA,2019-08-01 09:52:06,12.87,19.41,Cart
0x00205FFF28DA,2019-08-01 09:52:07,11.69,19.66,Cart
0x00205FFF28DA,2019-08-01 09:52:09,10.77,19.54,Cart
0x00205FFF28DA,2019-08-01 09:52:11,9.19,19.17,Cart
0x00205FFF28DA,2019-08-01 09:52:13,9.36,18.4,Cart
0x00205FFF28DA,2019-08-01 09:52:15,9.43,20.28,Cart
0x00205FFF28DA,2019-08-01 09:52:17,7.99,19.36,Cart
0x00205FFF28DA,2019-08-01 09:52:18,7.7,18.93,Cart
0x00205FFF28DA,2019-08-01 09:52:19,7.24,19.41,Cart
0x00205FFF28DA,2019-08-01 09:52:25,7.74,19.04,Cart
0x00205FFF28DA,2019-08-01 09:52:26,6.7,19.87,Cart
0x00205FFF28DA,2019-08-01 09:52:37,8.49,17.37,Cart
0x00205FFF28DA,2019-08-01 09:52:40,5.57,20.08,Cart
0x00205FFF28DA,2019-08-01 09:52:41,4.57,19.98,Cart
0x00205FFF28DA,2019-08-01 09:52:42,3.8,20.96,Cart
0x00205FFF28DA,2019-08-01 09:52:43,4.18,22.27,Cart
0x00205FFF28DA,2019-08-01 09:52:44,2.72,21.21,Cart
0x00205FFF28DA,2019-08-01 09:52:47,1.56,18.99,Cart
0x00205FFF28DA,2019-08-01 09:52:48,1.05,17.16,Cart
0x00205FFF28DA,2019-08-01 09:52:50,0.68,15.9,Cart
0x00205FFF28DA,2019-08-01 09:52:53,3.22,15.01,Cart
0x00205FFF28DA,2019-08-01 09:52:55,5.18,14.43,Cart
0x00205FFF28DA,2019-08-01 09:52:56,5.79,14.52,Cart
0x00205FFF28DA,2019-08-01 09:52:58,7.0,14.34,Cart
0x00205FFF28DA,2019-08-01 09:52:59,7.65,14.2,Cart
0x00205FFF28DA,2019-08-01 09:53:01,8.8,14.32,Cart
0x00205FFF28DA,2019-08-01 09:53:44,9.88,14.64,Cart
0x00205FFF28DA,2019-08-01 09:53:47,9.09,14.7,Cart
0x00205FFF28DA,2019-08-01 09:53:49,10.18,14.89,Cart
0x00205FFF28DA,2019-08-01 09:53:51,11.67,15.21,Cart
0x00205FFF28DA,2019-08-01 09:53:52,12.82,15.42,Cart
0x00205FFF28DA,2019-08-01 09:53:54,13.84,15.42,Cart
0x00205FFF28DA,2019-08-01 09:54:01,13.85,16.03,Cart
0x00205FFF28DA,2019-08-01 09:54:02,14.12,14.73,Cart
0x00205FFF28DA,2019-08-01 09:54:03,14.48,14.92,Cart
0x00205FFF28DA,2019-08-01 09:54:05,15.35,15.16,Cart
0x00205FFF28DA,2019-08-01 09:54:08,15.97,15.32,Cart
0x00205FFF28DA,2019-08-01 09:54:09,16.25,15.76,Cart
0x00205FFF28DA,2019-08-01 09:54:11,17.12,16.19,Cart
0x00205FFF28DA,2019-08-01 09:54:27,17.75,15.57,Cart
0x00205FFF28DA,2019-08-01 09:54:28,17.0,15.8,Cart
0x00205FFF28DA,2019-08-01 09:54:30,17.4,15.29,Cart
0x00205FFF28DA,2019-08-01 09:55:02,17.33,15.39,Cart
0x00205FFF28DA,2019-08-01 09:56:56,17.69,16.03,Cart
0x00205FFF28DA,2019-08-01 09:56:58,17.67,15.92,Cart
0x00205FFF28DA,2019-08-01 09:57:01,17.95,15.59,Cart
0x00205FFF28DA,2019-08-01 09:57:02,18.44,15.27,Cart
0x00205FFF28DA,2019-08-01 09:57:05,19.72,15.28,Cart
0x00205FFF28DA,2019-08-01 09:57:11,20.08,15.75,Cart
0x00205FFF28DA,2019-08-01 09:57:13,20.75,16.51,Cart
