tag_id,time,x,y,description
0x00205FFF28DB,2019-08-08 08:11:00,39.67,23.31,Cart
0x00205FFF28DB,2019-08-08 08:11:02,39.64,24.84,Cart
0x00205FFF28DB,2019-08-08 08:11:04,39.15,25.26,Cart
0x00205FFF28DB,2019-08-08 08:11:05,38.67,25.11,Cart
0x00205FFF28DB,2019-08-08 08:11:06,38.8,24.94,Cart
0x00205FFF28DB,2019-08-08 08:11:24,40.68,24.89,Cart
0x00205FFF28DB,2019-08-08 08:11:28,40.71,24.86,Cart
0x00205FFF28DB,2019-08-08 08:11:33,39.38,25.34,Cart
0x00205FFF28DB,2019-08-08 08:11:38,39.41,25.81,Cart
0x00205FFF28DB,2019-08-08 08:11:39,39.24,25.33,Cart
0x00205FFF28DB,2019-08-08 08:11:41,39.78,24.46,Cart
0x00205FFF28DB,2019-08-08 08:11:42,39.38,24.95,Cart
0x00205FFF28DB,2019-08-08 08:11:49,40.06,24.51,Cart
0x00205FFF28DB,2019-08-08 08:12:11,39.11,24.97,Cart
0x00205FFF28DB,2019-08-08 08:12:12,39.3,24.81,Cart
0x00205FFF28DB,2019-08-08 08:12:18,38.87,24.25,Cart
0x00205FFF28DB,2019-08-08 08:12:20,38.92,24.24,Cart
0x00205FFF28DB,2019-08-08 08:12:21,38.66,24.57,Cart
0x00205FFF28DB,2019-08-08 08:12:22,39.28,24.96,Cart
0x00205FFF28DB,2019-08-08 08:12:23,38.94,23.89,Cart
0x00205FFF28DB,2019-08-08 08:12:25,38.33,23.38,Cart
0x00205FFF28DB,2019-08-08 08:12:32,31.12,24.72,Cart
0x00205FFF28DB,2019-08-08 08:12:51,30.13,23.78,Cart
0x00205FFF28DB,2019-08-08 08:12:57,29.27,22.28,Cart
0x00205FFF28DB,2019-08-08 08:12:58,31.72,25.62,Cart
0x00205FFF28DB,2019-08-08 08:13:02,30.69,25.74,Cart
0x00205FFF28DB,2019-08-08 08:13:11,31.89,25.94,Cart
0x00205FFF28DB,2019-08-08 08:13:15,28.49,23.94,Cart
0x00205FFF28DB,2019-08-08 08:13:27,29.33,25.76,Cart
0x00205FFF28DB,2019-08-08 08:13:38,30.06,25.81,Cart
0x00205FFF28DB,2019-08-08 08:13:46,29.89,25.81,Cart
0x00205FFF28DB,2019-08-08 08:13:48,28.84,25.81,Cart
0x00205FFF28DB,2019-08-08 08:13:50,26.6,24.45,Cart
0x00205FFF28DB,2019-08-08 08:13:51,26.18,25.25,Cart
0x00205FFF28DB,2019-08-08 08:13:53,25.28,24.44,Cart
0x00205FFF28DB,2019-08-08 08:13:55,25.24,23.93,Cart
0x00205FFF28DB,2019-08-08 08:14:02,24.91,24.4,Cart
0x00205FFF28DB,2019-08-08 08:14:05,24.92,24.13,Cart
0x00205FFF28DB,2019-08-08 08:14:06,23.96,23.59,Cart
0x00205FFF28DB,2019-08-08 08:14:11,21.89,23.28,Cart
0x00205FFF28DB,2019-08-08 08:14:12,21.0,22.9,Cart
0x00205FFF28DB,2019-08-08 08:14:13,20.32,23.34,Cart
0x00205FFF28DB,2019-08-08 08:14:16,19.46,24.55,Cart
0x00205FFF28DB,2019-08-08 08:14:18,19.72,24.82,Cart
0x00205FFF28DB,2019-08-08 08:14:19,19.71,25.14,Cart
0x00205FFF28DB,2019-08-08 08:14:20,19.67,25.37,Cart
0x00205FFF28DB,2019-08-08 08:14:57,19.46,24.49,Cart
0x00205FFF28DB,2019-08-08 08:15:00,19.56,24.46,Cart
0x00205FFF28DB,2019-08-08 08:15:11,19.16,24.96,Cart
0x00205FFF28DB,2019-08-08 08:15:13,19.61,24.52,Cart
0x00205FFF28DB,2019-08-08 08:15:15,18.98,23.64,Cart
0x00205FFF28DB,2019-08-08 08:15:16,18.54,23.65,Cart
0x00205FFF28DB,2019-08-08 08:15:38,17.93,24.29,Cart
0x00205FFF28DB,2019-08-08 08:15:40,18.02,25.77,Cart
0x00205FFF28DB,2019-08-08 08:15:52,18.0,24.85,Cart
0x00205FFF28DB,2019-08-08 08:15:53,16.86,24.08,Cart
0x00205FFF28DB,2019-08-08 08:15:54,15.96,23.3,Cart
0x00205FFF28DB,2019-08-08 08:15:57,13.27,24.86,Cart
0x00205FFF28DB,2019-08-08 08:16:01,13.4,24.88,Cart
0x00205FFF28DB,2019-08-08 08:16:03,14.19,22.66,Cart
0x00205FFF28DB,2019-08-08 08:16:06,12.67,24.92,Cart
0x00205FFF28DB,2019-08-08 08:16:09,12.85,25.66,Cart
