tag_id,time,x,y,description
0x00205FFF28F7,2019-08-01 09:21:02,39.91,25.48,Cart
0x00205FFF28F7,2019-08-01 09:21:05,38.54,24.84,Cart
0x00205FFF28F7,2019-08-01 09:21:07,34.18,22.59,Cart
0x00205FFF28F7,2019-08-01 09:21:09,33.16,22.83,Cart
0x00205FFF28F7,2019-08-01 09:21:10,31.24,21.89,Cart
0x00205FFF28F7,2019-08-01 09:21:14,29.22,25.41,Cart
0x00205FFF28F7,2019-08-01 09:21:15,28.48,24.31,Cart
0x00205FFF28F7,2019-08-01 09:21:16,25.75,16.56,Cart
0x00205FFF28F7,2019-08-01 09:21:18,24.09,20.01,Cart
0x00205FFF28F7,2019-08-01 09:21:19,23.93,22.16,Cart
0x00205FFF28F7,2019-08-01 09:21:21,22.33,23.55,Cart
0x00205FFF28F7,2019-08-01 09:21:22,21.77,22.72,Cart
0x00205FFF28F7,2019-08-01 09:21:26,21.53,20.47,Cart
0x00205FFF28F7,2019-08-01 09:21:28,20.96,19.71,Cart
0x00205FFF28F7,2019-08-01 09:21:30,20.38,19.45,Cart
0x00205FFF28F7,2019-08-01 09:21:52,20.44,19.0,Cart
0x00205FFF28F7,2019-08-01 09:21:54,20.66,19.05,Cart
0x00205FFF28F7,2019-08-01 09:21:56,21.04,19.68,Cart
0x00205FFF28F7,2019-08-01 09:21:59,22.23,20.91,Cart
0x00205FFF28F7,2019-08-01 09:22:00,22.08,20.95,Cart
0x00205FFF28F7,2019-08-01 09:22:01,22.01,20.87,Cart
0x00205FFF28F7,2019-08-01 09:22:02,22.4,21.75,Cart
0x00205FFF28F7,2019-08-01 09:22:04,20.71,22.77,Cart
0x00205FFF28F7,2019-08-01 09:22:06,19.36,24.74,Cart
0x00205FFF28F7,2019-08-01 09:22:08,17.33,25.47,Cart
0x00205FFF28F7,2019-08-01 09:22:09,15.44,25.2,Cart
0x00205FFF28F7,2019-08-01 09:22:10,14.06,25.22,Cart
0x00205FFF28F7,2019-08-01 09:22:15,11.99,22.39,Cart
0x00205FFF28F7,2019-08-01 09:22:17,11.35,21.24,Cart
0x00205FFF28F7,2019-08-01 09:22:19,11.36,20.99,Cart
0x00205FFF28F7,2019-08-01 09:22:20,9.95,22.5,Cart
0x00205FFF28F7,2019-08-01 09:22:22,10.56,22.06,Cart
0x00205FFF28F7,2019-08-01 09:22:23,9.77,23.13,Cart
0x00205FFF28F7,2019-08-01 09:22:25,10.28,22.75,Cart
0x00205FFF28F7,2019-08-01 09:22:29,10.94,21.45,Cart
0x00205FFF28F7,2019-08-01 09:22:32,6.63,25.0,Cart
0x00205FFF28F7,2019-08-01 09:22:34,8.6,24.32,Cart
0x00205FFF28F7,2019-08-01 09:22:36,7.22,24.39,Cart
0x00205FFF28F7,2019-08-01 09:22:37,10.13,22.57,Cart
0x00205FFF28F7,2019-08-01 09:22:39,11.3,21.67,Cart
0x00205FFF28F7,2019-08-01 09:22:42,11.95,22.33,Cart
0x00205FFF28F7,2019-08-01 09:22:54,12.08,22.01,Cart
0x00205FFF28F7,2019-08-01 09:23:02,10.29,21.84,Cart
0x00205FFF28F7,2019-08-01 09:23:03,6.58,24.86,Cart
0x00205FFF28F7,2019-08-01 09:23:04,4.3,26.2,Cart
