tag_id,time,x,y,description
0x00205FFF2927,2019-08-01 11:13:38,39.27,25.5,Cart
0x00205FFF2927,2019-08-01 11:13:39,39.48,24.38,Cart
0x00205FFF2927,2019-08-01 11:13:41,37.9,24.43,Cart
0x00205FFF2927,2019-08-01 11:13:42,36.99,23.58,Cart
0x00205FFF2927,2019-08-01 11:13:46,38.21,23.32,Cart
0x00205FFF2927,2019-08-01 11:13:47,38.62,22.39,Cart
0x00205FFF2927,2019-08-01 11:13:48,38.13,20.33,Cart
0x00205FFF2927,2019-08-01 11:13:50,38.25,18.88,Cart
0x00205FFF2927,2019-08-01 11:13:53,40.34,14.75,Cart
0x00205FFF2927,2019-08-01 11:13:55,39.91,13.46,Cart
0x00205FFF2927,2019-08-01 11:13:57,39.17,11.7,Cart
0x00205FFF2927,2019-08-01 11:13:58,39.01,10.91,Cart
0x00205FFF2927,2019-08-01 11:14:00,39.0,10.14,Cart
0x00205FFF2927,2019-08-01 11:14:09,39.05,10.47,Cart
0x00205FFF2927,2019-08-01 11:14:13,40.64,7.98,Cart
0x00205FFF2927,2019-08-01 11:14:15,38.78,7.9,Cart
0x00205FFF2927,2019-08-01 11:14:17,37.11,8.05,Cart
0x00205FFF2927,2019-08-01 11:14:18,36.25,8.25,Cart
0x00205FFF2927,2019-08-01 11:14:20,34.84,8.8,Cart
0x00205FFF2927,2019-08-01 11:14:21,34.15,9.21,Cart
0x00205FFF2927,2019-08-01 11:14:22,33.67,9.71,Cart
0x00205FFF2927,2019-08-01 11:14:23,33.24,10.28,Cart
0x00205FFF2927,2019-08-01 11:14:25,32.35,10.77,Cart
0x00205FFF2927,2019-08-01 11:14:26,31.87,10.89,Cart
0x00205FFF2927,2019-08-01 11:14:27,30.51,11.43,Cart
0x00205FFF2927,2019-08-01 11:14:30,28.59,11.34,Cart
0x00205FFF2927,2019-08-01 11:14:31,28.74,11.21,Cart
0x00205FFF2927,2019-08-01 11:14:38,29.11,10.74,Cart
0x00205FFF2927,2019-08-01 11:14:39,28.28,11.26,Cart
0x00205FFF2927,2019-08-01 11:14:41,25.81,10.58,Cart
0x00205FFF2927,2019-08-01 11:14:42,25.0,11.22,Cart
0x00205FFF2927,2019-08-01 11:14:44,22.68,10.8,Cart
0x00205FFF2927,2019-08-01 11:14:46,21.87,11.14,Cart
0x00205FFF2927,2019-08-01 11:14:48,21.71,12.21,Cart
0x00205FFF2927,2019-08-01 11:14:50,21.35,13.25,Cart
0x00205FFF2927,2019-08-01 11:14:55,21.6,13.78,Cart
0x00205FFF2927,2019-08-01 11:14:56,22.05,14.52,Cart
0x00205FFF2927,2019-08-01 11:14:58,22.02,15.4,Cart
0x00205FFF2927,2019-08-01 11:14:59,21.85,15.58,Cart
0x00205FFF2927,2019-08-01 11:15:00,21.66,16.2,Cart
0x00205FFF2927,2019-08-01 11:15:03,20.92,16.07,Cart
0x00205FFF2927,2019-08-01 11:15:04,20.18,16.44,Cart
0x00205FFF2927,2019-08-01 11:15:05,19.92,16.37,Cart
0x00205FFF2927,2019-08-01 11:15:07,19.26,16.26,Cart
0x00205FFF2927,2019-08-01 11:15:10,17.36,15.7,Cart
0x00205FFF2927,2019-08-01 11:15:13,14.69,15.45,Cart
0x00205FFF2927,2019-08-01 11:15:14,13.94,15.48,Cart
0x00205FFF2927,2019-08-01 11:15:15,13.12,15.86,Cart
0x00205FFF2927,2019-08-01 11:15:17,12.22,16.01,Cart
0x00205FFF2927,2019-08-01 11:15:19,10.08,15.45,Cart
0x00205FFF2927,2019-08-01 11:15:22,7.54,14.35,Cart
0x00205FFF2927,2019-08-01 11:15:24,5.63,14.81,Cart
0x00205FFF2927,2019-08-01 11:15:29,1.59,13.93,Cart
0x00205FFF2927,2019-08-01 11:15:31,2.1,11.88,Cart
0x00205FFF2927,2019-08-01 11:15:32,2.77,11.68,Cart
0x00205FFF2927,2019-08-01 11:15:33,3.54,11.12,Cart
0x00205FFF2927,2019-08-01 11:15:35,2.67,11.02,Cart
0x00205FFF2927,2019-08-01 11:15:37,2.75,10.89,Cart
0x00205FFF2927,2019-08-01 11:15:40,4.79,9.62,Cart
0x00205FFF2927,2019-08-01 11:15:41,4.95,10.25,Cart
0x00205FFF2927,2019-08-01 11:15:43,6.75,10.34,Cart
0x00205FFF2927,2019-08-01 11:15:44,7.79,10.26,Cart
0x00205FFF2927,2019-08-01 11:15:46,9.3,10.32,Cart
0x00205FFF2927,2019-08-01 11:15:47,9.95,10.86,Cart
0x00205FFF2927,2019-08-01 11:15:48,10.39,10.4,Cart
0x00205FFF2927,2019-08-01 11:15:50,10.48,9.99,Cart
0x00205FFF2927,2019-08-01 11:16:10,9.74,10.84,Cart
0x00205FFF2927,2019-08-01 11:16:12,11.99,10.48,Cart
0x00205FFF2927,2019-08-01 11:16:13,12.53,10.17,Cart
0x00205FFF2927,2019-08-01 11:16:15,14.86,10.22,Cart
