tag_id,time,x,y,description
0x00205FFF298F,2019-08-01 08:11:49,40.69,24.6,Cart
0x00205FFF298F,2019-08-01 08:11:54,40.19,25.07,Cart
0x00205FFF298F,2019-08-01 08:11:56,40.69,25.15,Cart
0x00205FFF298F,2019-08-01 08:11:57,39.41,23.46,Cart
0x00205FFF298F,2019-08-01 08:11:59,38.91,20.56,Cart
0x00205FFF298F,2019-08-01 08:12:00,38.94,20.66,Cart
0x00205FFF298F,2019-08-01 08:12:01,38.25,20.16,Cart
0x00205FFF298F,2019-08-01 08:12:02,37.25,20.01,Cart
0x00205FFF298F,2019-08-01 08:12:04,34.86,18.62,Cart
0x00205FFF298F,2019-08-01 08:12:05,33.46,18.64,Cart
0x00205FFF298F,2019-08-01 08:12:06,32.22,18.48,Cart
0x00205FFF298F,2019-08-01 08:12:07,30.84,18.96,Cart
0x00205FFF298F,2019-08-01 08:12:09,28.82,18.84,Cart
0x00205FFF298F,2019-08-01 08:12:10,27.88,19.0,Cart
0x00205FFF298F,2019-08-01 08:12:11,26.66,19.15,Cart
0x00205FFF298F,2019-08-01 08:12:13,24.98,19.17,Cart
0x00205FFF298F,2019-08-01 08:12:14,23.78,19.69,Cart
0x00205FFF298F,2019-08-01 08:12:15,22.49,19.68,Cart
0x00205FFF298F,2019-08-01 08:12:17,21.24,19.82,Cart
0x00205FFF298F,2019-08-01 08:12:19,19.66,20.28,Cart
0x00205FFF298F,2019-08-01 08:12:21,18.08,20.34,Cart
0x00205FFF298F,2019-08-01 08:12:22,17.23,19.39,Cart
0x00205FFF298F,2019-08-01 08:12:24,14.1,19.85,Cart
0x00205FFF298F,2019-08-01 08:12:27,12.52,19.71,Cart
0x00205FFF298F,2019-08-01 08:12:29,12.13,19.17,Cart
0x00205FFF298F,2019-08-01 08:12:31,11.2,19.03,Cart
0x00205FFF298F,2019-08-01 08:12:33,10.68,19.35,Cart
0x00205FFF298F,2019-08-01 08:12:56,10.64,19.55,Cart
0x00205FFF298F,2019-08-01 08:12:57,10.88,19.7,Cart
0x00205FFF298F,2019-08-01 08:13:04,10.99,19.6,Cart
0x00205FFF298F,2019-08-01 08:13:05,11.1,18.77,Cart
0x00205FFF298F,2019-08-01 08:13:06,11.28,18.66,Cart
0x00205FFF298F,2019-08-01 08:13:12,11.0,19.32,Cart
0x00205FFF298F,2019-08-01 08:13:16,12.56,19.17,Cart
0x00205FFF298F,2019-08-01 08:13:18,12.7,19.19,Cart
0x00205FFF298F,2019-08-01 08:14:09,12.71,20.14,Cart
0x00205FFF298F,2019-08-01 08:14:11,12.69,19.58,Cart
0x00205FFF298F,2019-08-01 08:14:13,13.25,17.84,Cart
0x00205FFF298F,2019-08-01 08:14:14,12.96,18.32,Cart
0x00205FFF298F,2019-08-01 08:14:26,13.3,18.95,Cart
0x00205FFF298F,2019-08-01 08:14:29,13.13,19.93,Cart
0x00205FFF298F,2019-08-01 08:14:58,13.24,18.46,Cart
0x00205FFF298F,2019-08-01 08:15:00,13.01,18.61,Cart
0x00205FFF298F,2019-08-01 08:15:01,12.61,19.29,Cart
0x00205FFF298F,2019-08-01 08:15:04,11.24,20.16,Cart
0x00205FFF298F,2019-08-01 08:15:05,10.71,20.18,Cart
0x00205FFF298F,2019-08-01 08:15:07,9.86,20.24,Cart
0x00205FFF298F,2019-08-01 08:15:09,8.24,19.44,Cart
0x00205FFF298F,2019-08-01 08:15:11,5.8,20.08,Cart
0x00205FFF298F,2019-08-01 08:15:14,4.2,19.41,Cart
0x00205FFF298F,2019-08-01 08:15:16,2.95,19.65,Cart
0x00205FFF298F,2019-08-01 08:15:17,2.57,19.4,Cart
0x00205FFF298F,2019-08-01 08:15:18,2.63,19.21,Cart
0x00205FFF298F,2019-08-01 08:15:20,1.25,18.26,Cart
0x00205FFF298F,2019-08-01 08:15:22,1.24,17.7,Cart
0x00205FFF298F,2019-08-01 08:15:23,1.07,16.91,Cart
0x00205FFF298F,2019-08-01 08:15:26,2.14,15.53,Cart
0x00205FFF298F,2019-08-01 08:15:27,2.75,15.25,Cart
0x00205FFF298F,2019-08-01 08:15:29,3.72,14.76,Cart
0x00205FFF298F,2019-08-01 08:15:30,4.31,14.55,Cart
0x00205FFF298F,2019-08-01 08:15:31,4.7,14.67,Cart
0x00205FFF298F,2019-08-01 08:15:33,5.1,14.86,Cart
0x00205FFF298F,2019-08-01 08:15:34,5.06,14.96,Cart
0x00205FFF298F,2019-08-01 08:15:36,5.78,15.02,Cart
0x00205FFF298F,2019-08-01 08:15:37,7.93,14.09,Cart
0x00205FFF298F,2019-08-01 08:15:38,7.64,14.51,Cart
0x00205FFF298F,2019-08-01 08:15:40,9.7,13.2,Cart
0x00205FFF298F,2019-08-01 08:15:41,9.6,13.74,Cart
0x00205FFF298F,2019-08-01 08:15:42,9.51,14.51,Cart
0x00205FFF298F,2019-08-01 08:15:44,10.32,14.55,Cart
0x00205FFF298F,2019-08-01 08:15:45,10.61,14.9,Cart
0x00205FFF298F,2019-08-01 08:15:47,11.58,15.54,Cart
0x00205FFF298F,2019-08-01 08:15:53,12.46,15.57,Cart
0x00205FFF298F,2019-08-01 08:15:54,13.28,15.38,Cart
0x00205FFF298F,2019-08-01 08:16:31,12.13,15.66,Cart
0x00205FFF298F,2019-08-01 08:16:32,12.06,16.06,Cart
0x00205FFF298F,2019-08-01 08:16:44,13.15,15.44,Cart
0x00205FFF298F,2019-08-01 08:16:46,12.9,15.24,Cart
0x00205FFF298F,2019-08-01 08:17:13,13.65,15.9,Cart
0x00205FFF298F,2019-08-01 08:17:17,14.15,15.92,Cart
0x00205FFF298F,2019-08-01 08:17:20,13.79,15.87,Cart
0x00205FFF298F,2019-08-01 08:18:39,14.6,16.11,Cart
0x00205FFF298F,2019-08-01 08:18:40,14.6,15.68,Cart
