tag_id,time,x,y,description
0x00205FFF29A8,2019-08-01 08:00:01,18.17,19.7,Cart
0x00205FFF29A8,2019-08-01 08:00:03,18.48,20.02,Cart
0x00205FFF29A8,2019-08-01 08:00:41,19.27,21.02,Cart
0x00205FFF29A8,2019-08-01 08:00:44,18.21,20.04,Cart
0x00205FFF29A8,2019-08-01 08:00:46,16.93,19.67,Cart
0x00205FFF29A8,2019-08-01 08:00:47,16.02,20.0,Cart
0x00205FFF29A8,2019-08-01 08:00:53,12.89,19.24,Cart
0x00205FFF29A8,2019-08-01 08:00:57,11.16,20.67,Cart
0x00205FFF29A8,2019-08-01 08:00:58,11.48,20.29,Cart
0x00205FFF29A8,2019-08-01 08:00:59,11.16,19.96,Cart
0x00205FFF29A8,2019-08-01 08:01:02,10.79,18.61,Cart
0x00205FFF29A8,2019-08-01 08:01:09,10.96,18.97,Cart
0x00205FFF29A8,2019-08-01 08:01:10,10.89,19.47,Cart
0x00205FFF29A8,2019-08-01 08:01:12,8.9,21.69,Cart
0x00205FFF29A8,2019-08-01 08:01:13,7.42,20.0,Cart
0x00205FFF29A8,2019-08-01 08:01:15,5.99,20.02,Cart
0x00205FFF29A8,2019-08-01 08:01:17,1.57,16.37,Cart
0x00205FFF29A8,2019-08-01 08:01:18,3.19,19.12,Cart
0x00205FFF29A8,2019-08-01 08:01:20,2.82,20.22,Cart
0x00205FFF29A8,2019-08-01 08:01:21,1.84,20.52,Cart
0x00205FFF29A8,2019-08-01 08:01:22,1.33,20.93,Cart
0x00205FFF29A8,2019-08-01 08:01:25,1.45,22.22,Cart
0x00205FFF29A8,2019-08-01 08:01:26,2.29,23.95,Cart
0x00205FFF29A8,2019-08-01 08:01:27,3.04,23.8,Cart
0x00205FFF29A8,2019-08-01 08:01:31,5.07,24.47,Cart
0x00205FFF29A8,2019-08-01 08:01:33,6.36,25.2,Cart
0x00205FFF29A8,2019-08-01 08:01:36,5.89,25.26,Cart
0x00205FFF29A8,2019-08-01 08:01:39,6.18,25.65,Cart
0x00205FFF29A8,2019-08-01 08:01:41,6.61,25.82,Cart
0x00205FFF29A8,2019-08-01 08:01:50,10.87,22.55,Cart
