tag_id,time,x,y,description
0x00205FFF29B7,2019-08-01 09:37:22,40.71,23.83,Cart
0x00205FFF29B7,2019-08-01 09:37:24,39.35,25.12,Cart
0x00205FFF29B7,2019-08-01 09:37:25,38.88,25.12,Cart
0x00205FFF29B7,2019-08-01 09:37:27,37.96,24.83,Cart
0x00205FFF29B7,2019-08-01 09:37:28,33.54,23.13,Cart
0x00205FFF29B7,2019-08-01 09:37:32,31.42,24.46,Cart
0x00205FFF29B7,2019-08-01 09:37:34,29.85,25.24,Cart
0x00205FFF29B7,2019-08-01 09:37:35,26.86,24.1,Cart
0x00205FFF29B7,2019-08-01 09:37:37,24.1,25.25,Cart
0x00205FFF29B7,2019-08-01 09:37:39,21.81,23.88,Cart
0x00205FFF29B7,2019-08-01 09:37:42,20.8,22.19,Cart
0x00205FFF29B7,2019-08-01 09:37:43,20.82,20.81,Cart
0x00205FFF29B7,2019-08-01 09:37:45,19.25,19.67,Cart
0x00205FFF29B7,2019-08-01 09:37:46,18.14,19.27,Cart
0x00205FFF29B7,2019-08-01 09:37:47,17.37,19.28,Cart
0x00205FFF29B7,2019-08-01 09:37:48,15.76,19.53,Cart
0x00205FFF29B7,2019-08-01 09:37:50,13.62,19.34,Cart
0x00205FFF29B7,2019-08-01 09:37:52,11.51,20.04,Cart
0x00205FFF29B7,2019-08-01 09:37:53,10.5,20.1,Cart
0x00205FFF29B7,2019-08-01 09:37:54,8.35,20.71,Cart
0x00205FFF29B7,2019-08-01 09:37:57,6.47,22.16,Cart
0x00205FFF29B7,2019-08-01 09:37:59,4.75,21.17,Cart
0x00205FFF29B7,2019-08-01 09:38:01,5.04,22.3,Cart
0x00205FFF29B7,2019-08-01 09:38:02,3.31,21.17,Cart
0x00205FFF29B7,2019-08-01 09:38:04,1.77,20.64,Cart
0x00205FFF29B7,2019-08-01 09:38:07,1.27,20.51,Cart
0x00205FFF29B7,2019-08-01 09:38:09,0.67,20.74,Cart
0x00205FFF29B7,2019-08-01 09:38:10,2.82,21.9,Cart
