tag_id,time,x,y,description
0x00205FFF29BA,2019-08-01 08:00:34,39.82,24.52,Cart
0x00205FFF29BA,2019-08-01 08:01:10,39.62,25.0,Cart
0x00205FFF29BA,2019-08-01 08:01:14,39.83,25.81,Cart
0x00205FFF29BA,2019-08-01 08:01:23,40.25,24.38,Cart
0x00205FFF29BA,2019-08-01 08:01:24,40.69,23.91,Cart
0x00205FFF29BA,2019-08-01 08:01:26,40.34,24.45,Cart
0x00205FFF29BA,2019-08-01 08:01:29,34.98,18.12,Cart
0x00205FFF29BA,2019-08-01 08:01:30,37.64,21.12,Cart
0x00205FFF29BA,2019-08-01 08:01:31,38.66,22.46,Cart
0x00205FFF29BA,2019-08-01 08:01:32,39.76,22.63,Cart
0x00205FFF29BA,2019-08-01 08:01:34,39.74,21.71,Cart
0x00205FFF29BA,2019-08-01 08:01:38,36.24,20.96,Cart
0x00205FFF29BA,2019-08-01 08:01:39,34.77,20.44,Cart
0x00205FFF29BA,2019-08-01 08:01:40,33.76,19.11,Cart
0x00205FFF29BA,2019-08-01 08:01:42,31.36,19.01,Cart
0x00205FFF29BA,2019-08-01 08:01:43,30.43,19.35,Cart
0x00205FFF29BA,2019-08-01 08:01:46,27.52,19.54,Cart
0x00205FFF29BA,2019-08-01 08:01:47,26.72,19.38,Cart
0x00205FFF29BA,2019-08-01 08:01:48,25.86,19.21,Cart
0x00205FFF29BA,2019-08-01 08:01:50,23.48,19.6,Cart
0x00205FFF29BA,2019-08-01 08:01:52,21.87,19.71,Cart
0x00205FFF29BA,2019-08-01 08:01:53,20.47,19.67,Cart
0x00205FFF29BA,2019-08-01 08:01:55,18.81,20.05,Cart
0x00205FFF29BA,2019-08-01 08:01:56,17.35,19.54,Cart
0x00205FFF29BA,2019-08-01 08:01:57,15.89,19.57,Cart
0x00205FFF29BA,2019-08-01 08:01:59,13.88,19.72,Cart
0x00205FFF29BA,2019-08-01 08:02:00,12.72,19.64,Cart
0x00205FFF29BA,2019-08-01 08:02:01,11.43,19.92,Cart
0x00205FFF29BA,2019-08-01 08:02:03,10.48,20.27,Cart
0x00205FFF29BA,2019-08-01 08:02:04,8.05,19.93,Cart
0x00205FFF29BA,2019-08-01 08:02:05,6.95,20.33,Cart
0x00205FFF29BA,2019-08-01 08:02:06,6.14,18.59,Cart
0x00205FFF29BA,2019-08-01 08:02:08,4.01,18.71,Cart
0x00205FFF29BA,2019-08-01 08:02:13,3.86,20.11,Cart
0x00205FFF29BA,2019-08-01 08:02:15,3.89,20.79,Cart
0x00205FFF29BA,2019-08-01 08:02:16,3.69,20.31,Cart
0x00205FFF29BA,2019-08-01 08:02:17,2.87,20.01,Cart
0x00205FFF29BA,2019-08-01 08:02:18,3.19,20.56,Cart
0x00205FFF29BA,2019-08-01 08:02:20,3.15,21.57,Cart
0x00205FFF29BA,2019-08-01 08:02:22,1.9,21.84,Cart
0x00205FFF29BA,2019-08-01 08:02:23,2.31,22.66,Cart
0x00205FFF29BA,2019-08-01 08:02:25,2.68,23.51,Cart
0x00205FFF29BA,2019-08-01 08:02:27,3.05,23.82,Cart
0x00205FFF29BA,2019-08-01 08:02:28,4.05,23.61,Cart
0x00205FFF29BA,2019-08-01 08:02:29,5.19,24.3,Cart
0x00205FFF29BA,2019-08-01 08:02:33,7.39,24.05,Cart
0x00205FFF29BA,2019-08-01 08:02:39,4.46,25.5,Cart
0x00205FFF29BA,2019-08-01 08:02:40,3.43,24.67,Cart
0x00205FFF29BA,2019-08-01 08:02:43,1.0,23.15,Cart
0x00205FFF29BA,2019-08-01 08:02:44,0.7,21.38,Cart
0x00205FFF29BA,2019-08-01 08:02:46,1.14,19.6,Cart
0x00205FFF29BA,2019-08-01 08:02:47,0.96,18.83,Cart
0x00205FFF29BA,2019-08-01 08:02:50,1.55,16.66,Cart
0x00205FFF29BA,2019-08-01 08:02:52,1.81,15.5,Cart
0x00205FFF29BA,2019-08-01 08:02:54,2.32,13.77,Cart
0x00205FFF29BA,2019-08-01 08:02:56,2.5,11.82,Cart
0x00205FFF29BA,2019-08-01 08:02:58,2.26,11.04,Cart
0x00205FFF29BA,2019-08-01 08:03:04,7.12,10.85,Cart
0x00205FFF29BA,2019-08-01 08:03:05,8.67,11.05,Cart
0x00205FFF29BA,2019-08-01 08:03:06,10.65,12.05,Cart
0x00205FFF29BA,2019-08-01 08:03:07,11.86,11.32,Cart
0x00205FFF29BA,2019-08-01 08:03:09,14.76,10.99,Cart
0x00205FFF29BA,2019-08-01 08:03:11,17.15,10.99,Cart
0x00205FFF29BA,2019-08-01 08:03:12,17.97,10.8,Cart
0x00205FFF29BA,2019-08-01 08:03:14,19.78,10.89,Cart
0x00205FFF29BA,2019-08-01 08:03:15,21.52,10.34,Cart
0x00205FFF29BA,2019-08-01 08:03:16,21.74,10.34,Cart
0x00205FFF29BA,2019-08-01 08:03:18,22.72,11.7,Cart
0x00205FFF29BA,2019-08-01 08:03:19,22.59,12.94,Cart
0x00205FFF29BA,2019-08-01 08:03:20,22.34,15.2,Cart
0x00205FFF29BA,2019-08-01 08:03:22,22.32,17.71,Cart
0x00205FFF29BA,2019-08-01 08:03:23,22.62,18.8,Cart
0x00205FFF29BA,2019-08-01 08:03:25,22.96,19.85,Cart
0x00205FFF29BA,2019-08-01 08:03:26,23.25,20.07,Cart
0x00205FFF29BA,2019-08-01 08:03:27,24.77,20.6,Cart
0x00205FFF29BA,2019-08-01 08:03:28,25.95,20.16,Cart
0x00205FFF29BA,2019-08-01 08:03:29,27.28,20.07,Cart
0x00205FFF29BA,2019-08-01 08:03:32,30.29,20.19,Cart
0x00205FFF29BA,2019-08-01 08:03:34,32.58,19.34,Cart
0x00205FFF29BA,2019-08-01 08:03:35,33.13,18.74,Cart
0x00205FFF29BA,2019-08-01 08:03:36,34.89,19.17,Cart
0x00205FFF29BA,2019-08-01 08:03:38,37.04,20.22,Cart
0x00205FFF29BA,2019-08-01 08:03:40,35.78,19.38,Cart
0x00205FFF29BA,2019-08-01 08:03:41,34.8,18.66,Cart
0x00205FFF29BA,2019-08-01 08:03:44,35.28,19.13,Cart
0x00205FFF29BA,2019-08-01 08:03:45,34.67,18.13,Cart
0x00205FFF29BA,2019-08-01 08:03:49,36.36,20.35,Cart
0x00205FFF29BA,2019-08-01 08:03:50,36.59,19.77,Cart
0x00205FFF29BA,2019-08-01 08:03:51,37.51,19.58,Cart
0x00205FFF29BA,2019-08-01 08:03:52,38.62,19.33,Cart
0x00205FFF29BA,2019-08-01 08:03:53,39.9,18.78,Cart
0x00205FFF29BA,2019-08-01 08:03:54,39.47,18.22,Cart
0x00205FFF29BA,2019-08-01 08:03:56,39.22,16.76,Cart
0x00205FFF29BA,2019-08-01 08:03:57,39.85,15.71,Cart
0x00205FFF29BA,2019-08-01 08:04:00,39.38,11.89,Cart
0x00205FFF29BA,2019-08-01 08:04:01,38.77,11.07,Cart
0x00205FFF29BA,2019-08-01 08:04:03,38.63,8.59,Cart
0x00205FFF29BA,2019-08-01 08:04:04,38.35,7.64,Cart
0x00205FFF29BA,2019-08-01 08:04:06,37.39,7.55,Cart
0x00205FFF29BA,2019-08-01 08:04:07,36.45,7.58,Cart
0x00205FFF29BA,2019-08-01 08:04:08,35.38,7.63,Cart
0x00205FFF29BA,2019-08-01 08:04:09,34.86,7.47,Cart
0x00205FFF29BA,2019-08-01 08:04:11,34.83,7.0,Cart
0x00205FFF29BA,2019-08-01 08:04:12,35.0,6.24,Cart
0x00205FFF29BA,2019-08-01 08:04:28,35.09,5.79,Cart
0x00205FFF29BA,2019-08-01 08:04:30,34.85,5.66,Cart
0x00205FFF29BA,2019-08-01 08:04:32,35.06,5.7,Cart
0x00205FFF29BA,2019-08-01 08:04:34,34.97,5.76,Cart
0x00205FFF29BA,2019-08-01 08:04:37,34.86,5.89,Cart
0x00205FFF29BA,2019-08-01 08:04:38,34.96,5.61,Cart
0x00205FFF29BA,2019-08-01 08:04:40,34.27,4.17,Cart
0x00205FFF29BA,2019-08-01 08:04:42,34.63,2.14,Cart
0x00205FFF29BA,2019-08-01 08:04:43,34.9,1.29,Cart
0x00205FFF29BA,2019-08-01 08:04:45,35.56,1.67,Cart
0x00205FFF29BA,2019-08-01 08:04:48,37.08,1.88,Cart
0x00205FFF29BA,2019-08-01 08:05:08,38.96,1.74,Cart
0x00205FFF29BA,2019-08-01 08:06:03,40.71,4.93,Cart
0x00205FFF29BA,2019-08-01 08:06:06,40.75,6.13,Cart
0x00205FFF29BA,2019-08-01 08:06:08,40.76,6.96,Cart
0x00205FFF29BA,2019-08-01 08:06:09,40.76,6.92,Cart
0x00205FFF29BA,2019-08-01 08:06:10,40.76,7.63,Cart
0x00205FFF29BA,2019-08-01 08:06:24,40.71,20.79,Cart
0x00205FFF29BA,2019-08-01 08:06:25,40.76,22.23,Cart
0x00205FFF29BA,2019-08-01 09:23:55,38.32,22.19,Cart
0x00205FFF29BA,2019-08-01 09:23:56,32.82,17.2,Cart
0x00205FFF29BA,2019-08-01 09:23:57,36.57,21.25,Cart
0x00205FFF29BA,2019-08-01 09:23:59,34.28,18.04,Cart
0x00205FFF29BA,2019-08-01 09:24:00,36.62,21.01,Cart
0x00205FFF29BA,2019-08-01 09:24:02,38.15,21.74,Cart
0x00205FFF29BA,2019-08-01 09:24:03,38.83,22.09,Cart
0x00205FFF29BA,2019-08-01 09:24:04,39.36,21.46,Cart
0x00205FFF29BA,2019-08-01 09:24:05,39.73,22.02,Cart
0x00205FFF29BA,2019-08-01 09:24:06,39.6,21.87,Cart
0x00205FFF29BA,2019-08-01 09:24:10,39.0,21.07,Cart
0x00205FFF29BA,2019-08-01 09:24:13,39.18,20.41,Cart
0x00205FFF29BA,2019-08-01 09:24:23,39.17,20.2,Cart
0x00205FFF29BA,2019-08-01 09:24:25,39.93,20.19,Cart
0x00205FFF29BA,2019-08-01 09:24:26,39.55,20.02,Cart
0x00205FFF29BA,2019-08-01 09:24:28,39.59,19.51,Cart
0x00205FFF29BA,2019-08-01 09:24:29,39.61,19.87,Cart
0x00205FFF29BA,2019-08-01 09:24:30,39.2,19.65,Cart
0x00205FFF29BA,2019-08-01 09:24:34,39.48,18.81,Cart
0x00205FFF29BA,2019-08-01 09:24:36,39.11,19.27,Cart
0x00205FFF29BA,2019-08-01 09:24:38,39.52,19.51,Cart
0x00205FFF29BA,2019-08-01 09:24:40,38.6,19.39,Cart
0x00205FFF29BA,2019-08-01 09:24:42,37.52,19.34,Cart
0x00205FFF29BA,2019-08-01 09:24:44,36.07,20.25,Cart
0x00205FFF29BA,2019-08-01 09:24:45,35.25,20.03,Cart
0x00205FFF29BA,2019-08-01 09:24:47,33.61,20.15,Cart
0x00205FFF29BA,2019-08-01 09:24:48,32.28,19.62,Cart
0x00205FFF29BA,2019-08-01 09:24:50,31.16,19.77,Cart
