tag_id,time,x,y,description
0x00205FFF2AB2,2019-08-02 10:55:11,40.71,23.88,Cart
0x00205FFF2AB2,2019-08-02 10:55:12,40.71,24.55,Cart
0x00205FFF2AB2,2019-08-02 10:55:14,39.49,24.98,Cart
0x00205FFF2AB2,2019-08-02 10:55:15,38.72,24.61,Cart
0x00205FFF2AB2,2019-08-02 10:55:17,38.04,23.69,Cart
0x00205FFF2AB2,2019-08-02 10:55:18,37.85,23.44,Cart
0x00205FFF2AB2,2019-08-02 10:55:33,38.04,22.67,Cart
0x00205FFF2AB2,2019-08-02 10:55:35,38.05,23.1,Cart
0x00205FFF2AB2,2019-08-02 10:55:44,38.41,22.41,Cart
0x00205FFF2AB2,2019-08-02 10:55:51,38.03,22.84,Cart
0x00205FFF2AB2,2019-08-02 10:55:52,37.19,23.83,Cart
0x00205FFF2AB2,2019-08-02 10:55:59,29.39,23.1,Cart
0x00205FFF2AB2,2019-08-02 10:56:01,28.11,24.48,Cart
0x00205FFF2AB2,2019-08-02 10:56:02,27.73,24.45,Cart
0x00205FFF2AB2,2019-08-02 10:56:05,26.94,24.16,Cart
0x00205FFF2AB2,2019-08-02 10:56:12,26.39,25.76,Cart
0x00205FFF2AB2,2019-08-02 10:56:22,27.08,23.71,Cart
0x00205FFF2AB2,2019-08-02 10:56:24,26.7,23.9,Cart
0x00205FFF2AB2,2019-08-02 10:56:27,26.93,23.95,Cart
0x00205FFF2AB2,2019-08-02 10:56:28,26.18,24.16,Cart
0x00205FFF2AB2,2019-08-02 10:56:34,21.23,24.05,Cart
0x00205FFF2AB2,2019-08-02 10:57:01,17.68,22.17,Cart
0x00205FFF2AB2,2019-08-02 10:57:06,11.76,24.44,Cart
0x00205FFF2AB2,2019-08-02 10:57:07,9.79,25.08,Cart
0x00205FFF2AB2,2019-08-02 10:57:12,5.14,25.22,Cart
0x00205FFF2AB2,2019-08-02 10:57:15,1.84,22.47,Cart
0x00205FFF2AB2,2019-08-02 10:57:17,1.85,21.71,Cart
0x00205FFF2AB2,2019-08-02 10:57:22,3.49,18.85,Cart
0x00205FFF2AB2,2019-08-02 10:57:23,5.15,19.46,Cart
0x00205FFF2AB2,2019-08-02 10:57:24,5.93,19.85,Cart
0x00205FFF2AB2,2019-08-02 10:57:28,11.06,20.04,Cart
0x00205FFF2AB2,2019-08-02 10:57:29,10.9,19.45,Cart
0x00205FFF2AB2,2019-08-02 10:57:30,11.09,19.21,Cart
0x00205FFF2AB2,2019-08-02 10:57:32,9.71,18.12,Cart
0x00205FFF2AB2,2019-08-02 10:57:33,8.89,18.02,Cart
0x00205FFF2AB2,2019-08-02 10:57:46,8.94,17.39,Cart
0x00205FFF2AB2,2019-08-02 10:57:47,8.73,17.67,Cart
0x00205FFF2AB2,2019-08-02 10:57:49,8.78,17.68,Cart
0x00205FFF2AB2,2019-08-02 10:57:50,9.1,18.06,Cart
0x00205FFF2AB2,2019-08-02 10:57:51,10.12,18.41,Cart
0x00205FFF2AB2,2019-08-02 10:57:53,12.2,19.52,Cart
0x00205FFF2AB2,2019-08-02 10:57:54,13.74,19.91,Cart
0x00205FFF2AB2,2019-08-02 10:57:56,15.32,20.47,Cart
0x00205FFF2AB2,2019-08-02 10:57:57,16.55,21.02,Cart
0x00205FFF2AB2,2019-08-02 10:57:58,17.89,20.99,Cart
0x00205FFF2AB2,2019-08-02 10:58:01,21.97,20.12,Cart
0x00205FFF2AB2,2019-08-02 10:58:04,24.52,19.95,Cart
0x00205FFF2AB2,2019-08-02 10:58:05,25.79,19.95,Cart
0x00205FFF2AB2,2019-08-02 10:58:06,26.62,19.71,Cart
0x00205FFF2AB2,2019-08-02 10:58:08,28.8,20.28,Cart
0x00205FFF2AB2,2019-08-02 10:58:11,30.45,20.71,Cart
0x00205FFF2AB2,2019-08-02 10:58:12,31.1,20.04,Cart
0x00205FFF2AB2,2019-08-02 10:58:14,32.37,19.8,Cart
0x00205FFF2AB2,2019-08-02 10:58:15,33.41,19.22,Cart
0x00205FFF2AB2,2019-08-02 10:58:17,34.16,18.88,Cart
0x00205FFF2AB2,2019-08-02 10:58:18,34.84,19.44,Cart
0x00205FFF2AB2,2019-08-02 10:58:20,35.77,19.73,Cart
0x00205FFF2AB2,2019-08-02 10:58:21,35.84,20.05,Cart
0x00205FFF2AB2,2019-08-02 10:58:23,36.45,19.96,Cart
0x00205FFF2AB2,2019-08-02 10:58:29,37.42,19.16,Cart
0x00205FFF2AB2,2019-08-02 10:58:30,36.74,18.68,Cart
0x00205FFF2AB2,2019-08-02 10:58:31,37.52,19.35,Cart
0x00205FFF2AB2,2019-08-02 10:58:33,38.3,18.87,Cart
0x00205FFF2AB2,2019-08-02 10:58:34,38.27,18.08,Cart
0x00205FFF2AB2,2019-08-02 10:58:36,37.92,16.69,Cart
0x00205FFF2AB2,2019-08-02 10:58:38,37.38,15.69,Cart
0x00205FFF2AB2,2019-08-02 10:58:39,36.38,15.55,Cart
0x00205FFF2AB2,2019-08-02 10:58:41,35.48,14.56,Cart
0x00205FFF2AB2,2019-08-02 10:58:42,35.02,14.88,Cart
0x00205FFF2AB2,2019-08-02 10:58:43,34.79,15.05,Cart
0x00205FFF2AB2,2019-08-02 10:58:45,34.72,15.34,Cart
