tag_id,time,x,y,description
0x00205FFF2B3D,2019-08-01 09:16:02,40.76,23.48,Cart
0x00205FFF2B3D,2019-08-01 09:16:04,39.92,24.21,Cart
0x00205FFF2B3D,2019-08-01 09:16:06,39.52,23.69,Cart
0x00205FFF2B3D,2019-08-01 09:16:09,38.61,21.85,Cart
0x00205FFF2B3D,2019-08-01 09:16:11,38.1,20.37,Cart
0x00205FFF2B3D,2019-08-01 09:16:13,38.2,20.15,Cart
0x00205FFF2B3D,2019-08-01 09:16:15,38.49,19.83,Cart
0x00205FFF2B3D,2019-08-01 09:16:16,38.63,19.68,Cart
0x00205FFF2B3D,2019-08-01 09:16:23,38.3,20.1,Cart
0x00205FFF2B3D,2019-08-01 09:16:24,40.36,20.02,Cart
0x00205FFF2B3D,2019-08-01 09:16:26,39.49,19.91,Cart
0x00205FFF2B3D,2019-08-01 09:16:27,37.23,19.61,Cart
0x00205FFF2B3D,2019-08-01 09:16:29,34.69,19.33,Cart
0x00205FFF2B3D,2019-08-01 09:16:31,32.32,19.11,Cart
0x00205FFF2B3D,2019-08-01 09:16:35,31.17,19.87,Cart
0x00205FFF2B3D,2019-08-01 09:16:50,31.21,19.04,Cart
0x00205FFF2B3D,2019-08-01 09:16:51,30.87,19.69,Cart
0x00205FFF2B3D,2019-08-01 09:16:52,30.56,19.51,Cart
0x00205FFF2B3D,2019-08-01 09:16:54,28.39,19.82,Cart
0x00205FFF2B3D,2019-08-01 09:16:55,26.83,19.91,Cart
0x00205FFF2B3D,2019-08-01 09:16:56,25.41,20.03,Cart
0x00205FFF2B3D,2019-08-01 09:16:57,24.29,20.4,Cart
0x00205FFF2B3D,2019-08-01 09:16:59,21.9,20.3,Cart
0x00205FFF2B3D,2019-08-01 09:17:01,21.76,20.46,Cart
0x00205FFF2B3D,2019-08-01 09:17:02,21.89,21.01,Cart
0x00205FFF2B3D,2019-08-01 09:17:04,21.31,23.24,Cart
0x00205FFF2B3D,2019-08-01 09:17:06,21.46,23.73,Cart
0x00205FFF2B3D,2019-08-01 09:17:07,20.7,22.93,Cart
0x00205FFF2B3D,2019-08-01 09:17:08,20.48,23.87,Cart
0x00205FFF2B3D,2019-08-01 09:17:10,19.02,24.54,Cart
0x00205FFF2B3D,2019-08-01 09:17:11,17.99,24.42,Cart
0x00205FFF2B3D,2019-08-01 09:17:19,17.36,25.82,Cart
0x00205FFF2B3D,2019-08-01 09:17:20,17.47,25.83,Cart
0x00205FFF2B3D,2019-08-01 09:17:22,17.16,23.68,Cart
0x00205FFF2B3D,2019-08-01 09:17:23,20.44,23.21,Cart
0x00205FFF2B3D,2019-08-01 09:17:25,21.91,21.73,Cart
0x00205FFF2B3D,2019-08-01 09:17:27,22.35,20.38,Cart
0x00205FFF2B3D,2019-08-01 09:17:28,22.11,19.82,Cart
0x00205FFF2B3D,2019-08-01 09:17:29,21.68,19.57,Cart
0x00205FFF2B3D,2019-08-01 09:17:31,20.34,19.3,Cart
0x00205FFF2B3D,2019-08-01 09:17:32,18.58,19.42,Cart
0x00205FFF2B3D,2019-08-01 09:17:33,17.67,19.43,Cart
0x00205FFF2B3D,2019-08-01 09:17:34,16.1,19.32,Cart
0x00205FFF2B3D,2019-08-01 09:17:35,15.32,19.16,Cart
0x00205FFF2B3D,2019-08-01 09:17:37,15.19,19.74,Cart
