tag_id,time,x,y,description
0x00205FFF2C7D,2019-08-01 09:45:55,34.65,22.27,Cart
0x00205FFF2C7D,2019-08-01 09:45:57,40.24,25.81,Cart
0x00205FFF2C7D,2019-08-01 09:45:59,38.9,24.24,Cart
0x00205FFF2C7D,2019-08-01 09:46:00,37.26,23.64,Cart
0x00205FFF2C7D,2019-08-01 09:46:05,32.42,24.95,Cart
0x00205FFF2C7D,2019-08-01 09:46:14,26.97,23.63,Cart
0x00205FFF2C7D,2019-08-01 09:46:15,28.44,24.94,Cart
0x00205FFF2C7D,2019-08-01 09:46:17,27.36,23.69,Cart
0x00205FFF2C7D,2019-08-01 09:46:19,26.09,23.31,Cart
0x00205FFF2C7D,2019-08-01 09:46:20,25.41,23.04,Cart
0x00205FFF2C7D,2019-08-01 09:46:22,24.27,24.71,Cart
0x00205FFF2C7D,2019-08-01 09:46:25,22.11,24.94,Cart
0x00205FFF2C7D,2019-08-01 09:46:28,20.73,25.8,Cart
0x00205FFF2C7D,2019-08-01 09:46:29,20.02,25.83,Cart
0x00205FFF2C7D,2019-08-01 09:46:31,19.75,25.12,Cart
0x00205FFF2C7D,2019-08-01 09:47:44,17.24,25.74,Cart
0x00205FFF2C7D,2019-08-01 09:47:45,18.73,25.41,Cart
0x00205FFF2C7D,2019-08-01 09:47:53,19.6,25.75,Cart
0x00205FFF2C7D,2019-08-01 09:47:55,20.04,25.77,Cart
0x00205FFF2C7D,2019-08-01 09:47:57,19.56,25.8,Cart
0x00205FFF2C7D,2019-08-01 09:47:58,18.53,25.81,Cart
0x00205FFF2C7D,2019-08-01 09:48:00,16.96,24.55,Cart
0x00205FFF2C7D,2019-08-01 09:48:04,12.51,25.65,Cart
0x00205FFF2C7D,2019-08-01 09:48:13,11.73,25.72,Cart
0x00205FFF2C7D,2019-08-01 09:48:17,8.88,25.14,Cart
0x00205FFF2C7D,2019-08-01 09:48:21,8.12,25.4,Cart
0x00205FFF2C7D,2019-08-01 09:48:25,6.05,25.43,Cart
0x00205FFF2C7D,2019-08-01 09:48:26,5.06,24.86,Cart
0x00205FFF2C7D,2019-08-01 09:48:27,4.18,23.73,Cart
0x00205FFF2C7D,2019-08-01 09:48:30,2.48,22.28,Cart
0x00205FFF2C7D,2019-08-01 09:48:31,1.07,21.14,Cart
0x00205FFF2C7D,2019-08-01 09:48:32,1.82,20.24,Cart
0x00205FFF2C7D,2019-08-01 09:48:33,2.73,19.17,Cart
0x00205FFF2C7D,2019-08-01 09:48:36,2.47,18.91,Cart
0x00205FFF2C7D,2019-08-01 09:48:37,3.87,19.15,Cart
0x00205FFF2C7D,2019-08-01 09:48:39,6.03,19.72,Cart
0x00205FFF2C7D,2019-08-01 09:48:40,7.5,18.71,Cart
0x00205FFF2C7D,2019-08-01 09:48:41,9.29,18.51,Cart
0x00205FFF2C7D,2019-08-01 09:48:44,11.7,18.81,Cart
0x00205FFF2C7D,2019-08-01 09:48:46,10.68,18.16,Cart
0x00205FFF2C7D,2019-08-01 09:48:48,9.74,17.95,Cart
0x00205FFF2C7D,2019-08-01 09:48:50,7.71,18.65,Cart
0x00205FFF2C7D,2019-08-01 09:48:52,4.48,19.31,Cart
0x00205FFF2C7D,2019-08-01 09:48:54,1.36,19.77,Cart
0x00205FFF2C7D,2019-08-01 09:48:55,1.62,19.74,Cart
0x00205FFF2C7D,2019-08-01 09:48:56,1.05,19.25,Cart
0x00205FFF2C7D,2019-08-01 09:48:57,0.64,18.42,Cart
0x00205FFF2C7D,2019-08-01 09:49:00,1.15,16.25,Cart
0x00205FFF2C7D,2019-08-01 09:49:01,2.02,15.3,Cart
0x00205FFF2C7D,2019-08-01 09:49:03,3.37,14.63,Cart
0x00205FFF2C7D,2019-08-01 09:49:04,4.86,14.5,Cart
0x00205FFF2C7D,2019-08-01 09:49:05,5.86,14.91,Cart
0x00205FFF2C7D,2019-08-01 09:49:07,8.03,14.84,Cart
0x00205FFF2C7D,2019-08-01 09:49:10,9.42,14.93,Cart
0x00205FFF2C7D,2019-08-01 09:49:14,9.29,15.01,Cart
0x00205FFF2C7D,2019-08-01 09:49:16,9.71,14.98,Cart
0x00205FFF2C7D,2019-08-01 09:49:17,10.32,15.16,Cart
0x00205FFF2C7D,2019-08-01 09:49:18,11.14,14.54,Cart
0x00205FFF2C7D,2019-08-01 09:49:19,11.8,14.25,Cart
0x00205FFF2C7D,2019-08-01 09:49:21,12.67,14.47,Cart
0x00205FFF2C7D,2019-08-01 09:49:23,12.88,14.39,Cart
0x00205FFF2C7D,2019-08-01 09:49:29,13.37,14.48,Cart
0x00205FFF2C7D,2019-08-01 09:49:30,13.58,14.91,Cart
0x00205FFF2C7D,2019-08-01 09:49:32,13.07,15.33,Cart
0x00205FFF2C7D,2019-08-01 09:49:33,11.96,14.31,Cart
0x00205FFF2C7D,2019-08-01 09:49:34,10.43,14.31,Cart
0x00205FFF2C7D,2019-08-01 09:49:36,9.56,13.08,Cart
0x00205FFF2C7D,2019-08-01 09:49:37,9.76,12.5,Cart
0x00205FFF2C7D,2019-08-01 09:49:40,11.32,11.04,Cart
0x00205FFF2C7D,2019-08-01 09:49:41,11.68,10.74,Cart
0x00205FFF2C7D,2019-08-01 09:49:42,12.51,11.39,Cart
0x00205FFF2C7D,2019-08-01 09:49:45,13.25,11.09,Cart
0x00205FFF2C7D,2019-08-01 09:49:55,13.06,10.8,Cart
0x00205FFF2C7D,2019-08-01 09:49:57,14.2,9.78,Cart
0x00205FFF2C7D,2019-08-01 09:49:58,14.37,11.04,Cart
0x00205FFF2C7D,2019-08-01 09:49:59,15.04,12.41,Cart
0x00205FFF2C7D,2019-08-01 09:50:00,15.46,11.59,Cart
0x00205FFF2C7D,2019-08-01 09:50:01,16.11,11.65,Cart
0x00205FFF2C7D,2019-08-01 09:50:03,16.86,12.52,Cart
0x00205FFF2C7D,2019-08-01 09:50:05,17.42,11.39,Cart
0x00205FFF2C7D,2019-08-01 09:50:07,17.45,12.12,Cart
0x00205FFF2C7D,2019-08-01 09:50:09,17.03,11.26,Cart
0x00205FFF2C7D,2019-08-01 09:50:11,15.45,10.34,Cart
0x00205FFF2C7D,2019-08-01 09:50:12,14.74,11.36,Cart
0x00205FFF2C7D,2019-08-01 09:50:13,13.72,12.22,Cart
0x00205FFF2C7D,2019-08-01 09:50:14,12.16,11.86,Cart
0x00205FFF2C7D,2019-08-01 09:50:15,11.55,11.07,Cart
0x00205FFF2C7D,2019-08-01 09:50:17,9.43,10.8,Cart
0x00205FFF2C7D,2019-08-01 09:50:20,6.5,9.81,Cart
0x00205FFF2C7D,2019-08-01 09:50:21,5.23,9.86,Cart
0x00205FFF2C7D,2019-08-01 09:50:23,4.34,9.92,Cart
0x00205FFF2C7D,2019-08-01 09:50:24,3.34,10.55,Cart
0x00205FFF2C7D,2019-08-01 09:50:27,2.8,10.28,Cart
0x00205FFF2C7D,2019-08-01 09:50:28,1.59,9.51,Cart
0x00205FFF2C7D,2019-08-01 09:50:29,1.9,8.86,Cart
0x00205FFF2C7D,2019-08-01 09:50:30,1.39,8.85,Cart
0x00205FFF2C7D,2019-08-01 09:50:31,2.09,8.04,Cart
0x00205FFF2C7D,2019-08-01 09:50:33,3.15,7.28,Cart
0x00205FFF2C7D,2019-08-01 09:50:37,2.69,5.27,Cart
0x00205FFF2C7D,2019-08-01 09:50:38,1.86,5.54,Cart
0x00205FFF2C7D,2019-08-01 09:50:39,1.86,5.74,Cart
0x00205FFF2C7D,2019-08-01 09:50:41,1.87,4.88,Cart
0x00205FFF2C7D,2019-08-01 09:50:42,3.03,3.81,Cart
0x00205FFF2C7D,2019-08-01 09:50:43,3.76,2.23,Cart
0x00205FFF2C7D,2019-08-01 09:50:50,8.54,1.11,Cart
0x00205FFF2C7D,2019-08-01 09:50:52,11.4,2.1,Cart
0x00205FFF2C7D,2019-08-01 09:50:55,13.51,4.17,Cart
0x00205FFF2C7D,2019-08-01 09:50:59,16.54,3.63,Cart
0x00205FFF2C7D,2019-08-01 09:51:00,15.98,5.46,Cart
0x00205FFF2C7D,2019-08-01 09:51:03,16.94,3.32,Cart
0x00205FFF2C7D,2019-08-01 09:51:04,16.95,3.15,Cart
0x00205FFF2C7D,2019-08-01 09:51:06,17.0,3.11,Cart
0x00205FFF2C7D,2019-08-01 09:51:07,17.06,3.11,Cart
0x00205FFF2C7D,2019-08-01 09:51:08,17.18,2.9,Cart
0x00205FFF2C7D,2019-08-01 09:51:10,17.15,2.9,Cart
0x00205FFF2C7D,2019-08-01 09:51:12,17.22,1.65,Cart
0x00205FFF2C7D,2019-08-01 09:51:16,17.99,1.02,Cart
0x00205FFF2C7D,2019-08-01 09:51:17,18.48,2.29,Cart
0x00205FFF2C7D,2019-08-01 09:51:19,19.34,2.71,Cart
0x00205FFF2C7D,2019-08-01 09:51:20,19.93,2.31,Cart
0x00205FFF2C7D,2019-08-01 09:51:23,22.0,3.18,Cart
0x00205FFF2C7D,2019-08-01 09:51:25,24.05,1.73,Cart
0x00205FFF2C7D,2019-08-01 09:51:26,24.72,2.21,Cart
0x00205FFF2C7D,2019-08-01 09:51:28,25.65,2.77,Cart
0x00205FFF2C7D,2019-08-01 09:51:30,26.03,3.73,Cart
0x00205FFF2C7D,2019-08-01 09:51:33,25.51,3.46,Cart
0x00205FFF2C7D,2019-08-01 09:51:36,23.28,4.79,Cart
0x00205FFF2C7D,2019-08-01 09:51:39,25.4,1.76,Cart
0x00205FFF2C7D,2019-08-01 09:51:40,25.05,3.27,Cart
0x00205FFF2C7D,2019-08-01 09:51:59,24.68,3.71,Cart
0x00205FFF2C7D,2019-08-01 09:52:00,24.47,4.01,Cart
0x00205FFF2C7D,2019-08-01 09:52:01,24.37,4.03,Cart
0x00205FFF2C7D,2019-08-01 09:52:03,24.42,3.71,Cart
0x00205FFF2C7D,2019-08-01 09:52:04,24.1,4.59,Cart
0x00205FFF2C7D,2019-08-01 09:52:07,23.6,3.63,Cart
0x00205FFF2C7D,2019-08-01 09:52:08,23.59,2.1,Cart
0x00205FFF2C7D,2019-08-01 09:52:09,23.98,2.61,Cart
0x00205FFF2C7D,2019-08-01 09:52:11,25.61,2.86,Cart
0x00205FFF2C7D,2019-08-01 09:52:12,26.28,3.09,Cart
0x00205FFF2C7D,2019-08-01 09:52:13,26.83,3.31,Cart
0x00205FFF2C7D,2019-08-01 09:52:15,29.1,2.42,Cart
0x00205FFF2C7D,2019-08-01 09:52:17,31.1,2.27,Cart
0x00205FFF2C7D,2019-08-01 09:52:18,31.96,2.2,Cart
0x00205FFF2C7D,2019-08-01 09:52:19,33.33,2.38,Cart
0x00205FFF2C7D,2019-08-01 09:52:21,34.54,1.68,Cart
0x00205FFF2C7D,2019-08-01 09:52:26,34.91,1.18,Cart
0x00205FFF2C7D,2019-08-01 09:52:27,35.28,1.46,Cart
0x00205FFF2C7D,2019-08-01 09:52:29,35.85,1.82,Cart
0x00205FFF2C7D,2019-08-01 09:52:31,35.9,1.3,Cart
0x00205FFF2C7D,2019-08-01 09:52:32,35.87,1.11,Cart
0x00205FFF2C7D,2019-08-01 09:52:34,35.16,2.47,Cart
0x00205FFF2C7D,2019-08-01 09:52:37,35.78,1.67,Cart
0x00205FFF2C7D,2019-08-01 09:52:38,35.67,2.1,Cart
0x00205FFF2C7D,2019-08-01 09:52:39,35.84,2.13,Cart
0x00205FFF2C7D,2019-08-01 09:52:42,36.03,1.93,Cart
0x00205FFF2C7D,2019-08-01 09:52:44,36.1,1.96,Cart
0x00205FFF2C7D,2019-08-01 09:52:47,36.65,2.3,Cart
0x00205FFF2C7D,2019-08-01 09:52:49,36.32,2.69,Cart
0x00205FFF2C7D,2019-08-01 09:52:52,36.46,2.6,Cart
0x00205FFF2C7D,2019-08-01 09:52:53,36.67,1.35,Cart
0x00205FFF2C7D,2019-08-01 09:52:56,36.74,1.67,Cart
0x00205FFF2C7D,2019-08-01 09:52:58,37.17,1.03,Cart
0x00205FFF2C7D,2019-08-01 09:52:59,37.46,2.16,Cart
0x00205FFF2C7D,2019-08-01 09:53:00,37.17,1.49,Cart
0x00205FFF2C7D,2019-08-01 09:53:14,36.85,3.02,Cart
0x00205FFF2C7D,2019-08-01 09:53:16,37.39,1.07,Cart
0x00205FFF2C7D,2019-08-01 09:53:48,38.19,2.21,Cart
0x00205FFF2C7D,2019-08-01 09:54:01,38.62,1.51,Cart
0x00205FFF2C7D,2019-08-01 09:54:23,39.56,2.08,Cart
0x00205FFF2C7D,2019-08-01 09:54:35,39.9,2.45,Cart
0x00205FFF2C7D,2019-08-01 09:55:26,40.76,5.35,Cart
0x00205FFF2C7D,2019-08-01 09:55:27,40.76,6.95,Cart
0x00205FFF2C7D,2019-08-01 09:55:35,40.76,18.11,Cart
0x00205FFF2C7D,2019-08-01 12:02:52,39.35,25.23,Cart
0x00205FFF2C7D,2019-08-01 12:02:54,39.25,24.81,Cart
0x00205FFF2C7D,2019-08-01 12:02:57,39.59,24.22,Cart
0x00205FFF2C7D,2019-08-01 12:03:25,39.43,24.57,Cart
0x00205FFF2C7D,2019-08-01 12:03:32,39.35,24.84,Cart
0x00205FFF2C7D,2019-08-01 12:03:59,38.59,24.68,Cart
0x00205FFF2C7D,2019-08-01 12:04:03,36.37,25.31,Cart
0x00205FFF2C7D,2019-08-01 12:04:10,35.35,24.09,Cart
0x00205FFF2C7D,2019-08-01 12:04:24,34.96,23.71,Cart
0x00205FFF2C7D,2019-08-01 12:04:35,33.71,24.91,Cart
0x00205FFF2C7D,2019-08-01 12:04:36,33.01,24.64,Cart
0x00205FFF2C7D,2019-08-01 12:04:45,31.04,24.02,Cart
0x00205FFF2C7D,2019-08-01 12:04:47,29.83,24.65,Cart
0x00205FFF2C7D,2019-08-01 12:04:48,28.64,23.51,Cart
0x00205FFF2C7D,2019-08-01 12:04:51,26.12,24.11,Cart
0x00205FFF2C7D,2019-08-01 12:04:52,25.38,24.46,Cart
0x00205FFF2C7D,2019-08-01 12:04:57,23.29,25.3,Cart
0x00205FFF2C7D,2019-08-01 12:04:59,21.26,23.55,Cart
0x00205FFF2C7D,2019-08-01 12:05:02,19.98,23.09,Cart
0x00205FFF2C7D,2019-08-01 12:05:03,19.46,24.76,Cart
0x00205FFF2C7D,2019-08-01 12:05:11,18.8,25.84,Cart
0x00205FFF2C7D,2019-08-01 12:05:13,18.03,23.69,Cart
0x00205FFF2C7D,2019-08-01 12:05:15,16.89,23.14,Cart
0x00205FFF2C7D,2019-08-01 12:05:16,16.65,22.96,Cart
0x00205FFF2C7D,2019-08-01 12:05:21,16.94,22.82,Cart
0x00205FFF2C7D,2019-08-01 12:05:23,16.39,23.07,Cart
0x00205FFF2C7D,2019-08-01 12:05:30,14.9,25.75,Cart
0x00205FFF2C7D,2019-08-01 12:05:32,14.67,24.01,Cart
0x00205FFF2C7D,2019-08-01 12:05:34,14.55,24.53,Cart
0x00205FFF2C7D,2019-08-01 12:05:39,13.94,25.12,Cart
0x00205FFF2C7D,2019-08-01 12:05:41,13.15,25.31,Cart
0x00205FFF2C7D,2019-08-01 12:05:43,12.1,25.38,Cart
0x00205FFF2C7D,2019-08-01 12:05:45,12.12,23.41,Cart
0x00205FFF2C7D,2019-08-01 12:05:47,10.07,24.36,Cart
0x00205FFF2C7D,2019-08-01 12:05:50,10.08,24.54,Cart
0x00205FFF2C7D,2019-08-01 12:06:02,11.81,22.84,Cart
0x00205FFF2C7D,2019-08-01 12:06:07,10.31,24.86,Cart
0x00205FFF2C7D,2019-08-01 12:06:09,10.22,24.78,Cart
0x00205FFF2C7D,2019-08-01 12:06:13,7.31,25.76,Cart
0x00205FFF2C7D,2019-08-01 12:06:15,5.28,25.25,Cart
0x00205FFF2C7D,2019-08-01 12:06:16,4.4,23.98,Cart
0x00205FFF2C7D,2019-08-01 12:06:17,2.99,25.03,Cart
0x00205FFF2C7D,2019-08-01 12:06:18,2.89,25.47,Cart
0x00205FFF2C7D,2019-08-01 12:06:20,1.73,23.25,Cart
0x00205FFF2C7D,2019-08-01 12:06:21,1.91,21.56,Cart
0x00205FFF2C7D,2019-08-01 12:06:22,1.63,20.46,Cart
0x00205FFF2C7D,2019-08-01 12:06:24,1.76,19.24,Cart
0x00205FFF2C7D,2019-08-01 12:06:25,1.98,19.14,Cart
0x00205FFF2C7D,2019-08-01 12:06:26,3.08,19.1,Cart
0x00205FFF2C7D,2019-08-01 12:06:27,5.07,19.82,Cart
0x00205FFF2C7D,2019-08-01 12:06:29,6.81,19.08,Cart
0x00205FFF2C7D,2019-08-01 12:06:32,8.46,18.75,Cart
0x00205FFF2C7D,2019-08-01 12:06:33,9.19,18.23,Cart
0x00205FFF2C7D,2019-08-01 12:06:35,9.81,19.6,Cart
0x00205FFF2C7D,2019-08-01 12:06:36,8.86,19.01,Cart
0x00205FFF2C7D,2019-08-01 12:06:39,11.33,20.0,Cart
0x00205FFF2C7D,2019-08-01 12:06:40,11.16,20.39,Cart
0x00205FFF2C7D,2019-08-01 12:06:43,11.33,20.34,Cart
0x00205FFF2C7D,2019-08-01 12:06:46,12.61,19.34,Cart
0x00205FFF2C7D,2019-08-01 12:06:47,11.7,20.35,Cart
0x00205FFF2C7D,2019-08-01 12:06:48,12.39,19.32,Cart
0x00205FFF2C7D,2019-08-01 12:06:55,12.11,11.92,Cart
0x00205FFF2C7D,2019-08-01 12:06:56,12.61,18.59,Cart
0x00205FFF2C7D,2019-08-01 12:06:58,14.5,22.19,Cart
0x00205FFF2C7D,2019-08-01 12:07:26,13.91,20.99,Cart
0x00205FFF2C7D,2019-08-01 12:07:27,13.57,20.08,Cart
0x00205FFF2C7D,2019-08-01 12:07:29,12.68,19.72,Cart
0x00205FFF2C7D,2019-08-01 12:07:30,12.18,19.88,Cart
0x00205FFF2C7D,2019-08-01 12:07:31,11.51,19.89,Cart
0x00205FFF2C7D,2019-08-01 12:07:33,10.51,20.44,Cart
0x00205FFF2C7D,2019-08-01 12:07:43,10.78,19.86,Cart
0x00205FFF2C7D,2019-08-01 12:07:44,11.21,19.9,Cart
0x00205FFF2C7D,2019-08-01 12:08:07,11.23,19.61,Cart
0x00205FFF2C7D,2019-08-01 12:08:09,9.07,21.29,Cart
0x00205FFF2C7D,2019-08-01 12:08:11,7.29,20.97,Cart
0x00205FFF2C7D,2019-08-01 12:08:12,6.35,20.36,Cart
0x00205FFF2C7D,2019-08-01 12:08:14,5.06,20.63,Cart
0x00205FFF2C7D,2019-08-01 12:08:16,3.88,20.25,Cart
0x00205FFF2C7D,2019-08-01 12:08:18,1.99,18.68,Cart
0x00205FFF2C7D,2019-08-01 12:08:20,1.39,17.75,Cart
0x00205FFF2C7D,2019-08-01 12:08:21,1.37,17.0,Cart
0x00205FFF2C7D,2019-08-01 12:08:23,1.87,16.17,Cart
0x00205FFF2C7D,2019-08-01 12:08:24,2.02,15.92,Cart
0x00205FFF2C7D,2019-08-01 12:08:25,1.26,15.49,Cart
0x00205FFF2C7D,2019-08-01 12:08:27,2.08,15.51,Cart
0x00205FFF2C7D,2019-08-01 12:08:29,3.05,14.86,Cart
0x00205FFF2C7D,2019-08-01 12:08:30,3.92,14.99,Cart
0x00205FFF2C7D,2019-08-01 12:08:31,4.54,14.58,Cart
0x00205FFF2C7D,2019-08-01 12:08:33,4.58,14.79,Cart
0x00205FFF2C7D,2019-08-01 12:08:37,4.22,14.95,Cart
0x00205FFF2C7D,2019-08-01 12:08:38,3.79,15.28,Cart
0x00205FFF2C7D,2019-08-01 12:09:11,3.6,14.77,Cart
0x00205FFF2C7D,2019-08-01 12:09:14,1.58,14.23,Cart
0x00205FFF2C7D,2019-08-01 12:09:16,2.07,13.14,Cart
0x00205FFF2C7D,2019-08-01 12:09:17,1.87,12.22,Cart
0x00205FFF2C7D,2019-08-01 12:09:18,2.48,11.96,Cart
0x00205FFF2C7D,2019-08-01 12:09:19,2.84,11.54,Cart
0x00205FFF2C7D,2019-08-01 12:09:21,2.67,11.15,Cart
0x00205FFF2C7D,2019-08-01 12:09:22,2.59,10.8,Cart
0x00205FFF2C7D,2019-08-01 12:09:23,2.47,10.44,Cart
0x00205FFF2C7D,2019-08-01 12:09:32,1.96,10.21,Cart
0x00205FFF2C7D,2019-08-01 12:09:34,1.87,9.8,Cart
0x00205FFF2C7D,2019-08-01 12:09:36,1.75,9.61,Cart
0x00205FFF2C7D,2019-08-01 12:09:37,1.04,9.2,Cart
0x00205FFF2C7D,2019-08-01 12:09:41,2.0,8.99,Cart
0x00205FFF2C7D,2019-08-01 12:09:43,1.85,9.03,Cart
