tag_id,time,x,y,description
0x00205FFF2DF0,2019-08-01 08:00:57,40.71,24.07,Cart
0x00205FFF2DF0,2019-08-01 08:01:02,39.57,25.59,Cart
0x00205FFF2DF0,2019-08-01 08:01:04,38.57,24.08,Cart
0x00205FFF2DF0,2019-08-01 08:01:06,38.53,24.49,Cart
0x00205FFF2DF0,2019-08-01 08:01:07,38.11,24.15,Cart
0x00205FFF2DF0,2019-08-01 08:01:08,37.61,23.79,Cart
0x00205FFF2DF0,2019-08-01 08:01:09,37.2,24.5,Cart
0x00205FFF2DF0,2019-08-01 08:01:12,36.03,24.52,Cart
0x00205FFF2DF0,2019-08-01 08:01:14,34.97,24.44,Cart
0x00205FFF2DF0,2019-08-01 08:01:15,33.46,24.21,Cart
0x00205FFF2DF0,2019-08-01 08:01:17,31.74,23.67,Cart
0x00205FFF2DF0,2019-08-01 08:01:19,31.49,24.36,Cart
0x00205FFF2DF0,2019-08-01 08:01:23,28.85,24.74,Cart
0x00205FFF2DF0,2019-08-01 08:01:25,26.97,23.68,Cart
0x00205FFF2DF0,2019-08-01 08:01:27,25.81,23.33,Cart
0x00205FFF2DF0,2019-08-01 08:01:28,25.84,23.55,Cart
0x00205FFF2DF0,2019-08-01 08:01:29,25.93,23.46,Cart
0x00205FFF2DF0,2019-08-01 08:01:36,24.85,24.03,Cart
0x00205FFF2DF0,2019-08-01 08:01:37,25.34,25.59,Cart
0x00205FFF2DF0,2019-08-01 08:01:38,24.47,24.04,Cart
0x00205FFF2DF0,2019-08-01 08:01:39,23.49,23.34,Cart
0x00205FFF2DF0,2019-08-01 08:01:40,22.94,23.17,Cart
0x00205FFF2DF0,2019-08-01 08:01:42,22.75,24.31,Cart
0x00205FFF2DF0,2019-08-01 08:01:52,22.12,25.79,Cart
0x00205FFF2DF0,2019-08-01 08:01:54,21.42,23.95,Cart
0x00205FFF2DF0,2019-08-01 08:01:55,20.86,23.61,Cart
0x00205FFF2DF0,2019-08-01 08:01:57,20.5,24.15,Cart
0x00205FFF2DF0,2019-08-01 08:02:01,20.15,25.09,Cart
0x00205FFF2DF0,2019-08-01 08:02:02,19.24,23.79,Cart
0x00205FFF2DF0,2019-08-01 08:02:03,19.1,25.05,Cart
0x00205FFF2DF0,2019-08-01 08:02:05,18.28,25.64,Cart
0x00205FFF2DF0,2019-08-01 08:02:31,18.08,24.38,Cart
0x00205FFF2DF0,2019-08-01 08:02:32,18.35,25.58,Cart
0x00205FFF2DF0,2019-08-01 08:02:34,18.34,24.91,Cart
0x00205FFF2DF0,2019-08-01 08:02:37,19.08,25.24,Cart
0x00205FFF2DF0,2019-08-01 08:02:39,19.25,25.16,Cart
0x00205FFF2DF0,2019-08-01 08:02:44,17.15,24.13,Cart
0x00205FFF2DF0,2019-08-01 08:02:46,17.22,23.36,Cart
0x00205FFF2DF0,2019-08-01 08:02:49,16.13,24.67,Cart
0x00205FFF2DF0,2019-08-01 08:03:01,16.17,23.84,Cart
0x00205FFF2DF0,2019-08-01 08:03:05,13.06,25.8,Cart
0x00205FFF2DF0,2019-08-01 08:03:07,11.64,24.11,Cart
0x00205FFF2DF0,2019-08-01 08:03:10,9.37,24.6,Cart
0x00205FFF2DF0,2019-08-01 08:03:28,8.7,25.51,Cart
0x00205FFF2DF0,2019-08-01 08:03:34,4.65,25.8,Cart
0x00205FFF2DF0,2019-08-01 08:03:40,1.25,21.63,Cart
0x00205FFF2DF0,2019-08-01 08:03:41,1.35,20.54,Cart
0x00205FFF2DF0,2019-08-01 08:03:42,1.75,19.89,Cart
0x00205FFF2DF0,2019-08-01 08:03:43,2.26,19.51,Cart
0x00205FFF2DF0,2019-08-01 08:03:44,2.45,19.12,Cart
0x00205FFF2DF0,2019-08-01 08:03:46,2.55,18.84,Cart
0x00205FFF2DF0,2019-08-01 08:04:20,2.68,19.12,Cart
0x00205FFF2DF0,2019-08-01 08:04:21,3.29,19.31,Cart
0x00205FFF2DF0,2019-08-01 08:04:24,2.34,19.21,Cart
