tag_id,time,x,y,description
0x00205FFF344C,2019-08-03 14:23:03,39.88,24.6,Cart
0x00205FFF344C,2019-08-03 14:23:05,38.97,24.73,Cart
0x00205FFF344C,2019-08-03 14:23:06,37.98,23.87,Cart
0x00205FFF344C,2019-08-03 14:23:07,38.25,24.99,Cart
0x00205FFF344C,2019-08-03 14:23:16,38.35,24.79,Cart
0x00205FFF344C,2019-08-03 14:23:18,39.13,24.71,Cart
0x00205FFF344C,2019-08-03 14:23:21,37.2,24.18,Cart
0x00205FFF344C,2019-08-03 14:23:24,34.44,23.69,Cart
0x00205FFF344C,2019-08-03 14:23:28,33.35,25.57,Cart
0x00205FFF344C,2019-08-03 14:23:31,31.07,23.87,Cart
0x00205FFF344C,2019-08-03 14:23:33,29.42,22.7,Cart
0x00205FFF344C,2019-08-03 14:23:38,28.08,23.11,Cart
0x00205FFF344C,2019-08-03 14:23:51,28.19,22.88,Cart
0x00205FFF344C,2019-08-03 14:23:53,26.48,23.55,Cart
0x00205FFF344C,2019-08-03 14:23:56,24.28,23.6,Cart
0x00205FFF344C,2019-08-03 14:23:57,23.96,25.53,Cart
0x00205FFF344C,2019-08-03 14:23:59,22.59,24.32,Cart
0x00205FFF344C,2019-08-03 14:24:01,21.39,24.55,Cart
0x00205FFF344C,2019-08-03 14:24:03,21.13,24.52,Cart
0x00205FFF344C,2019-08-03 14:24:04,21.73,24.2,Cart
0x00205FFF344C,2019-08-03 14:24:06,22.42,23.96,Cart
0x00205FFF344C,2019-08-03 14:24:09,22.95,23.71,Cart
0x00205FFF344C,2019-08-03 14:24:24,22.62,24.69,Cart
0x00205FFF344C,2019-08-03 14:24:26,21.42,23.54,Cart
0x00205FFF344C,2019-08-03 14:24:27,20.6,23.68,Cart
0x00205FFF344C,2019-08-03 14:24:29,20.3,23.7,Cart
0x00205FFF344C,2019-08-03 14:24:45,19.58,23.6,Cart
0x00205FFF344C,2019-08-03 14:24:46,19.37,24.13,Cart
0x00205FFF344C,2019-08-03 14:24:47,16.06,25.18,Cart
0x00205FFF344C,2019-08-03 14:24:48,16.59,25.53,Cart
0x00205FFF344C,2019-08-03 14:24:51,15.24,24.54,Cart
0x00205FFF344C,2019-08-03 14:24:52,15.48,23.63,Cart
0x00205FFF344C,2019-08-03 14:24:57,15.65,23.13,Cart
0x00205FFF344C,2019-08-03 14:24:58,15.56,23.42,Cart
0x00205FFF344C,2019-08-03 14:25:09,13.21,24.55,Cart
0x00205FFF344C,2019-08-03 14:25:10,13.19,23.49,Cart
0x00205FFF344C,2019-08-03 14:25:12,10.67,24.13,Cart
0x00205FFF344C,2019-08-03 14:25:14,10.85,22.73,Cart
0x00205FFF344C,2019-08-03 14:25:15,8.79,24.06,Cart
0x00205FFF344C,2019-08-03 14:25:16,7.51,24.25,Cart
0x00205FFF344C,2019-08-03 14:25:17,6.24,24.44,Cart
0x00205FFF344C,2019-08-03 14:25:19,4.58,25.33,Cart
0x00205FFF344C,2019-08-03 14:25:20,3.13,24.72,Cart
0x00205FFF344C,2019-08-03 14:25:21,2.39,24.29,Cart
0x00205FFF344C,2019-08-03 14:25:23,1.29,23.58,Cart
0x00205FFF344C,2019-08-03 14:25:24,0.66,22.57,Cart
0x00205FFF344C,2019-08-03 14:25:25,1.17,21.56,Cart
0x00205FFF344C,2019-08-03 14:25:28,2.21,20.48,Cart
0x00205FFF344C,2019-08-03 14:25:30,2.2,19.8,Cart
0x00205FFF344C,2019-08-03 14:25:31,2.39,19.56,Cart
0x00205FFF344C,2019-08-03 14:25:40,2.47,17.42,Cart
0x00205FFF344C,2019-08-03 14:25:42,2.6,16.63,Cart
0x00205FFF344C,2019-08-03 14:25:44,1.1,16.51,Cart
0x00205FFF344C,2019-08-03 14:25:49,2.61,16.58,Cart
0x00205FFF344C,2019-08-03 14:25:52,4.5,17.21,Cart
0x00205FFF344C,2019-08-03 14:26:02,2.89,16.24,Cart
0x00205FFF344C,2019-08-03 14:26:04,1.49,15.89,Cart
0x00205FFF344C,2019-08-03 14:26:05,0.99,15.4,Cart
0x00205FFF344C,2019-08-03 14:26:07,2.1,15.44,Cart
0x00205FFF344C,2019-08-03 14:26:23,3.03,15.2,Cart
0x00205FFF344C,2019-08-03 14:26:25,2.73,16.3,Cart
0x00205FFF344C,2019-08-03 14:26:44,2.69,17.98,Cart
0x00205FFF344C,2019-08-03 14:26:48,0.86,17.86,Cart
0x00205FFF344C,2019-08-03 14:26:50,1.7,19.22,Cart
0x00205FFF344C,2019-08-03 14:26:53,3.02,19.54,Cart
0x00205FFF344C,2019-08-03 14:26:55,5.38,19.34,Cart
0x00205FFF344C,2019-08-03 14:26:57,6.91,19.01,Cart
0x00205FFF344C,2019-08-03 14:26:58,7.48,19.21,Cart
0x00205FFF344C,2019-08-03 14:27:03,7.2,18.04,Cart
0x00205FFF344C,2019-08-03 14:27:04,7.2,18.46,Cart
0x00205FFF344C,2019-08-03 14:27:05,6.76,19.18,Cart
0x00205FFF344C,2019-08-03 14:27:10,6.6,20.18,Cart
0x00205FFF344C,2019-08-03 14:27:12,8.11,18.43,Cart
0x00205FFF344C,2019-08-03 14:27:13,9.58,18.01,Cart
0x00205FFF344C,2019-08-03 14:27:14,9.57,18.77,Cart
0x00205FFF344C,2019-08-03 14:27:15,10.4,18.94,Cart
0x00205FFF344C,2019-08-03 14:27:19,14.08,18.47,Cart
0x00205FFF344C,2019-08-03 14:27:21,14.72,20.39,Cart
0x00205FFF344C,2019-08-03 14:27:23,15.77,19.89,Cart
0x00205FFF344C,2019-08-03 14:27:25,16.89,19.98,Cart
0x00205FFF344C,2019-08-03 14:27:27,19.1,20.17,Cart
0x00205FFF344C,2019-08-03 14:27:30,21.49,19.88,Cart
0x00205FFF344C,2019-08-03 14:27:31,22.61,19.88,Cart
0x00205FFF344C,2019-08-03 14:27:33,24.23,19.75,Cart
0x00205FFF344C,2019-08-03 14:27:34,25.57,19.3,Cart
0x00205FFF344C,2019-08-03 14:27:37,28.56,19.02,Cart
0x00205FFF344C,2019-08-03 14:27:39,30.23,19.51,Cart
0x00205FFF344C,2019-08-03 14:27:40,31.36,20.53,Cart
0x00205FFF344C,2019-08-03 14:27:41,32.27,20.52,Cart
0x00205FFF344C,2019-08-03 14:27:42,32.79,20.0,Cart
0x00205FFF344C,2019-08-03 14:27:43,33.14,20.32,Cart
0x00205FFF344C,2019-08-03 14:27:45,34.72,19.37,Cart
0x00205FFF344C,2019-08-03 14:27:46,35.22,18.99,Cart
0x00205FFF344C,2019-08-03 14:27:47,36.16,19.22,Cart
0x00205FFF344C,2019-08-03 14:27:50,35.91,19.23,Cart
0x00205FFF344C,2019-08-03 14:27:52,35.97,19.21,Cart
0x00205FFF344C,2019-08-03 14:27:53,35.8,19.02,Cart
0x00205FFF344C,2019-08-03 14:27:55,35.45,19.32,Cart
0x00205FFF344C,2019-08-03 14:27:56,34.65,20.97,Cart
0x00205FFF344C,2019-08-03 14:27:58,33.13,19.98,Cart
0x00205FFF344C,2019-08-03 14:27:59,32.33,19.59,Cart
0x00205FFF344C,2019-08-03 14:28:01,31.66,19.2,Cart
0x00205FFF344C,2019-08-03 14:28:02,31.34,19.27,Cart
0x00205FFF344C,2019-08-03 14:28:04,31.09,20.22,Cart
0x00205FFF344C,2019-08-03 14:28:06,31.09,20.12,Cart
0x00205FFF344C,2019-08-03 14:28:07,31.92,20.13,Cart
0x00205FFF344C,2019-08-03 14:28:09,32.68,19.62,Cart
0x00205FFF344C,2019-08-03 14:28:11,32.95,18.85,Cart
0x00205FFF344C,2019-08-03 14:28:12,33.33,18.87,Cart
0x00205FFF344C,2019-08-03 14:28:13,33.37,19.82,Cart
0x00205FFF344C,2019-08-03 14:28:15,33.83,19.3,Cart
0x00205FFF344C,2019-08-03 14:28:17,35.09,19.65,Cart
0x00205FFF344C,2019-08-03 14:28:18,35.97,19.12,Cart
0x00205FFF344C,2019-08-03 14:28:21,38.02,19.26,Cart
0x00205FFF344C,2019-08-03 14:28:22,38.91,19.42,Cart
0x00205FFF344C,2019-08-03 14:28:23,39.39,19.07,Cart
0x00205FFF344C,2019-08-03 14:28:24,39.4,18.14,Cart
0x00205FFF344C,2019-08-03 14:28:25,39.35,17.26,Cart
0x00205FFF344C,2019-08-03 14:28:26,38.65,16.36,Cart
0x00205FFF344C,2019-08-03 14:28:29,37.39,15.02,Cart
0x00205FFF344C,2019-08-03 14:28:30,36.79,15.32,Cart
0x00205FFF344C,2019-08-03 14:28:31,35.8,15.08,Cart
0x00205FFF344C,2019-08-03 14:28:33,34.38,14.77,Cart
0x00205FFF344C,2019-08-03 14:28:34,34.14,14.83,Cart
0x00205FFF344C,2019-08-03 14:28:35,33.59,14.61,Cart
0x00205FFF344C,2019-08-03 14:28:36,33.32,14.87,Cart
0x00205FFF344C,2019-08-03 14:28:37,32.73,14.41,Cart
0x00205FFF344C,2019-08-03 14:28:39,32.17,14.31,Cart
0x00205FFF344C,2019-08-03 14:28:40,32.08,14.8,Cart
0x00205FFF344C,2019-08-03 14:28:42,32.2,14.85,Cart
0x00205FFF344C,2019-08-03 14:28:53,31.98,14.74,Cart
0x00205FFF344C,2019-08-03 14:28:55,30.02,15.21,Cart
0x00205FFF344C,2019-08-03 14:28:58,28.76,14.99,Cart
0x00205FFF344C,2019-08-03 14:28:59,28.06,14.83,Cart
0x00205FFF344C,2019-08-03 14:29:00,27.57,14.53,Cart
0x00205FFF344C,2019-08-03 14:29:02,26.42,14.49,Cart
0x00205FFF344C,2019-08-03 14:29:03,26.44,14.65,Cart
0x00205FFF344C,2019-08-03 14:29:18,26.98,14.5,Cart
0x00205FFF344C,2019-08-03 14:29:20,26.13,14.6,Cart
0x00205FFF344C,2019-08-03 14:29:23,25.99,14.61,Cart
0x00205FFF344C,2019-08-03 14:29:24,26.01,14.55,Cart
0x00205FFF344C,2019-08-03 14:29:25,26.29,14.55,Cart
0x00205FFF344C,2019-08-03 14:29:28,25.82,14.66,Cart
0x00205FFF344C,2019-08-03 14:29:30,25.0,14.43,Cart
0x00205FFF344C,2019-08-03 14:29:31,24.75,14.43,Cart
0x00205FFF344C,2019-08-03 14:29:36,24.67,14.38,Cart
0x00205FFF344C,2019-08-03 14:29:37,24.09,15.26,Cart
0x00205FFF344C,2019-08-03 14:29:39,23.06,16.1,Cart
0x00205FFF344C,2019-08-03 14:29:41,20.79,15.5,Cart
0x00205FFF344C,2019-08-03 14:29:43,19.92,15.47,Cart
0x00205FFF344C,2019-08-03 14:29:44,18.98,14.9,Cart
0x00205FFF344C,2019-08-03 14:29:45,19.11,15.77,Cart
0x00205FFF344C,2019-08-03 14:29:47,18.22,15.83,Cart
0x00205FFF344C,2019-08-03 14:29:49,16.47,14.72,Cart
0x00205FFF344C,2019-08-03 14:29:51,14.4,14.71,Cart
0x00205FFF344C,2019-08-03 14:29:52,14.96,13.49,Cart
0x00205FFF344C,2019-08-03 14:29:54,14.25,13.49,Cart
0x00205FFF344C,2019-08-03 14:29:55,13.67,14.04,Cart
0x00205FFF344C,2019-08-03 14:29:56,13.13,14.58,Cart
0x00205FFF344C,2019-08-03 14:30:00,12.85,15.61,Cart
0x00205FFF344C,2019-08-03 14:30:02,14.52,13.75,Cart
0x00205FFF344C,2019-08-03 14:30:15,13.65,14.24,Cart
0x00205FFF344C,2019-08-03 14:30:16,13.38,14.69,Cart
0x00205FFF344C,2019-08-03 14:30:18,13.76,15.25,Cart
0x00205FFF344C,2019-08-03 14:31:05,13.54,15.76,Cart
0x00205FFF344C,2019-08-03 14:31:08,9.39,14.89,Cart
0x00205FFF344C,2019-08-03 14:31:09,9.43,14.78,Cart
0x00205FFF344C,2019-08-03 14:31:10,8.46,14.95,Cart
0x00205FFF344C,2019-08-03 14:31:12,8.22,14.96,Cart
0x00205FFF344C,2019-08-03 14:31:14,8.22,15.22,Cart
0x00205FFF344C,2019-08-03 14:31:15,8.1,15.3,Cart
0x00205FFF344C,2019-08-03 14:31:17,7.13,16.0,Cart
0x00205FFF344C,2019-08-03 14:31:22,7.83,15.81,Cart
0x00205FFF344C,2019-08-03 14:31:24,8.52,14.7,Cart
0x00205FFF344C,2019-08-03 14:31:28,7.63,14.67,Cart
0x00205FFF344C,2019-08-03 14:31:36,7.27,14.84,Cart
0x00205FFF344C,2019-08-03 14:31:37,6.47,14.89,Cart
0x00205FFF344C,2019-08-03 14:31:39,5.94,15.05,Cart
0x00205FFF344C,2019-08-03 14:31:40,5.67,15.2,Cart
0x00205FFF344C,2019-08-03 14:31:42,5.09,15.44,Cart
0x00205FFF344C,2019-08-03 14:31:43,5.0,15.85,Cart
0x00205FFF344C,2019-08-03 14:31:49,5.11,15.84,Cart
0x00205FFF344C,2019-08-03 14:31:50,5.67,15.19,Cart
0x00205FFF344C,2019-08-03 14:31:52,4.74,15.39,Cart
0x00205FFF344C,2019-08-03 14:31:53,4.17,15.4,Cart
0x00205FFF344C,2019-08-03 14:31:55,3.49,15.02,Cart
0x00205FFF344C,2019-08-03 14:31:56,2.75,14.71,Cart
0x00205FFF344C,2019-08-03 14:31:58,1.31,14.3,Cart
0x00205FFF344C,2019-08-03 14:32:00,0.79,13.57,Cart
0x00205FFF344C,2019-08-03 14:32:01,1.54,12.51,Cart
0x00205FFF344C,2019-08-03 14:32:03,1.87,11.04,Cart
0x00205FFF344C,2019-08-03 14:32:04,2.24,10.41,Cart
0x00205FFF344C,2019-08-03 14:32:05,2.39,10.41,Cart
0x00205FFF344C,2019-08-03 14:32:06,2.56,10.08,Cart
0x00205FFF344C,2019-08-03 14:32:08,3.91,9.79,Cart
0x00205FFF344C,2019-08-03 14:32:09,4.95,10.15,Cart
0x00205FFF344C,2019-08-03 14:32:10,6.03,10.48,Cart
0x00205FFF344C,2019-08-03 14:32:12,7.45,11.2,Cart
0x00205FFF344C,2019-08-03 14:32:15,8.01,11.33,Cart
0x00205FFF344C,2019-08-03 14:32:17,8.03,11.64,Cart
0x00205FFF344C,2019-08-03 14:32:19,8.08,12.11,Cart
0x00205FFF344C,2019-08-03 14:32:34,8.38,11.87,Cart
0x00205FFF344C,2019-08-03 14:32:37,7.91,12.42,Cart
0x00205FFF344C,2019-08-03 14:32:40,9.27,11.94,Cart
0x00205FFF344C,2019-08-03 14:32:42,10.16,11.76,Cart
0x00205FFF344C,2019-08-03 14:32:43,10.92,11.66,Cart
0x00205FFF344C,2019-08-03 14:32:44,11.46,11.26,Cart
0x00205FFF344C,2019-08-03 14:32:47,14.04,10.71,Cart
0x00205FFF344C,2019-08-03 14:32:49,16.3,11.4,Cart
0x00205FFF344C,2019-08-03 14:32:50,17.55,11.41,Cart
0x00205FFF344C,2019-08-03 14:32:51,18.71,11.75,Cart
0x00205FFF344C,2019-08-03 14:32:54,18.74,10.73,Cart
0x00205FFF344C,2019-08-03 14:32:56,17.33,11.09,Cart
0x00205FFF344C,2019-08-03 14:33:04,17.2,11.22,Cart
0x00205FFF344C,2019-08-03 14:33:06,19.01,12.54,Cart
0x00205FFF344C,2019-08-03 14:33:09,21.04,13.32,Cart
0x00205FFF344C,2019-08-03 14:33:10,20.58,11.09,Cart
0x00205FFF344C,2019-08-03 14:33:11,21.58,10.16,Cart
0x00205FFF344C,2019-08-03 14:33:12,22.04,10.23,Cart
0x00205FFF344C,2019-08-03 14:33:14,23.63,10.02,Cart
0x00205FFF344C,2019-08-03 14:33:16,24.31,10.19,Cart
0x00205FFF344C,2019-08-03 14:33:18,24.09,10.71,Cart
0x00205FFF344C,2019-08-03 14:33:21,23.88,10.88,Cart
0x00205FFF344C,2019-08-03 14:33:23,23.84,11.12,Cart
0x00205FFF344C,2019-08-03 14:33:24,22.46,10.84,Cart
0x00205FFF344C,2019-08-03 14:33:26,21.22,10.7,Cart
0x00205FFF344C,2019-08-03 14:33:27,24.15,10.53,Cart
0x00205FFF344C,2019-08-03 14:33:29,25.98,10.81,Cart
0x00205FFF344C,2019-08-03 14:33:30,26.69,10.82,Cart
0x00205FFF344C,2019-08-03 14:33:32,27.61,10.55,Cart
0x00205FFF344C,2019-08-03 14:33:33,27.96,10.82,Cart
0x00205FFF344C,2019-08-03 14:33:51,28.16,10.8,Cart
0x00205FFF344C,2019-08-03 14:33:53,27.15,12.9,Cart
0x00205FFF344C,2019-08-03 14:33:55,25.8,14.12,Cart
0x00205FFF344C,2019-08-03 14:34:13,30.08,10.9,Cart
0x00205FFF344C,2019-08-03 14:34:14,30.87,10.44,Cart
0x00205FFF344C,2019-08-03 14:34:16,31.08,10.31,Cart
0x00205FFF344C,2019-08-03 14:34:17,32.41,10.4,Cart
0x00205FFF344C,2019-08-03 14:34:18,32.37,10.55,Cart
0x00205FFF344C,2019-08-03 14:34:20,31.7,11.44,Cart
0x00205FFF344C,2019-08-03 14:34:24,34.03,10.05,Cart
0x00205FFF344C,2019-08-03 14:34:26,34.6,8.67,Cart
0x00205FFF344C,2019-08-03 14:34:28,34.11,7.06,Cart
0x00205FFF344C,2019-08-03 14:34:29,33.96,6.87,Cart
0x00205FFF344C,2019-08-03 14:34:30,33.77,6.59,Cart
0x00205FFF344C,2019-08-03 14:34:31,32.45,6.28,Cart
0x00205FFF344C,2019-08-03 14:34:33,28.88,6.3,Cart
0x00205FFF344C,2019-08-03 14:34:34,27.41,6.14,Cart
0x00205FFF344C,2019-08-03 14:34:36,26.54,6.4,Cart
0x00205FFF344C,2019-08-03 14:34:38,27.7,6.17,Cart
0x00205FFF344C,2019-08-03 14:34:43,28.63,5.57,Cart
