tag_id,time,x,y,description
0x0020600007C8,2019-08-01 12:21:11,40.21,23.85,Cart
0x0020600007C8,2019-08-01 12:21:13,38.25,24.33,Cart
0x0020600007C8,2019-08-01 12:21:14,37.97,24.89,Cart
0x0020600007C8,2019-08-01 12:21:23,29.41,25.14,Cart
0x0020600007C8,2019-08-01 12:21:26,26.12,24.28,Cart
0x0020600007C8,2019-08-01 12:21:32,21.97,25.48,Cart
0x0020600007C8,2019-08-01 12:21:34,20.54,24.9,Cart
0x0020600007C8,2019-08-01 12:21:37,20.54,24.28,Cart
0x0020600007C8,2019-08-01 12:21:39,20.65,23.9,Cart
0x0020600007C8,2019-08-01 12:21:42,20.9,23.14,Cart
0x0020600007C8,2019-08-01 12:21:43,20.68,23.22,Cart
0x0020600007C8,2019-08-01 12:21:45,20.04,25.38,Cart
0x0020600007C8,2019-08-01 12:21:49,16.22,23.57,Cart
0x0020600007C8,2019-08-01 12:21:51,16.04,23.94,Cart
0x0020600007C8,2019-08-01 12:21:52,16.14,24.15,Cart
0x0020600007C8,2019-08-01 12:21:58,16.02,24.16,Cart
0x0020600007C8,2019-08-01 12:22:07,16.09,23.96,Cart
0x0020600007C8,2019-08-01 12:22:10,13.24,25.92,Cart
0x0020600007C8,2019-08-01 12:22:12,11.18,25.41,Cart
0x0020600007C8,2019-08-01 12:22:22,7.08,25.54,Cart
0x0020600007C8,2019-08-01 12:22:29,0.81,21.53,Cart
0x0020600007C8,2019-08-01 12:22:30,2.49,21.2,Cart
0x0020600007C8,2019-08-01 12:22:32,2.06,19.85,Cart
0x0020600007C8,2019-08-01 12:22:33,1.33,18.06,Cart
0x0020600007C8,2019-08-01 12:22:36,1.09,15.64,Cart
0x0020600007C8,2019-08-01 12:22:38,2.47,14.66,Cart
0x0020600007C8,2019-08-01 12:22:39,2.79,14.24,Cart
0x0020600007C8,2019-08-01 12:22:46,3.21,14.59,Cart
0x0020600007C8,2019-08-01 12:22:48,2.72,14.45,Cart
0x0020600007C8,2019-08-01 12:22:54,3.61,14.76,Cart
0x0020600007C8,2019-08-01 12:22:56,4.06,15.09,Cart
0x0020600007C8,2019-08-01 12:22:57,5.13,15.27,Cart
0x0020600007C8,2019-08-01 12:22:59,7.16,14.9,Cart
0x0020600007C8,2019-08-01 12:23:10,8.65,14.46,Cart
0x0020600007C8,2019-08-01 12:23:11,8.79,15.0,Cart
0x0020600007C8,2019-08-01 12:23:13,8.8,15.07,Cart
0x0020600007C8,2019-08-01 12:23:19,9.27,14.79,Cart
0x0020600007C8,2019-08-01 12:23:22,10.02,15.0,Cart
0x0020600007C8,2019-08-01 12:23:24,10.35,14.98,Cart
0x0020600007C8,2019-08-01 12:23:25,11.47,13.4,Cart
0x0020600007C8,2019-08-01 12:23:27,11.21,12.48,Cart
0x0020600007C8,2019-08-01 12:23:29,10.44,11.39,Cart
0x0020600007C8,2019-08-01 12:23:30,9.85,10.97,Cart
0x0020600007C8,2019-08-01 12:23:34,6.14,10.6,Cart
0x0020600007C8,2019-08-01 12:23:36,4.55,11.05,Cart
0x0020600007C8,2019-08-01 12:23:37,4.05,11.01,Cart
0x0020600007C8,2019-08-01 12:23:38,4.44,11.11,Cart
0x0020600007C8,2019-08-01 12:24:02,3.64,10.25,Cart
0x0020600007C8,2019-08-01 12:24:06,2.2,10.04,Cart
0x0020600007C8,2019-08-01 12:24:07,1.59,9.39,Cart
0x0020600007C8,2019-08-01 12:24:08,1.85,8.01,Cart
0x0020600007C8,2019-08-01 12:24:11,1.35,6.35,Cart
0x0020600007C8,2019-08-01 12:24:25,2.09,5.72,Cart
0x0020600007C8,2019-08-01 12:24:27,1.23,5.73,Cart
0x0020600007C8,2019-08-01 12:24:28,1.24,5.78,Cart
0x0020600007C8,2019-08-01 12:24:38,2.87,8.31,Cart
0x0020600007C8,2019-08-01 12:24:40,1.77,4.32,Cart
0x0020600007C8,2019-08-01 12:24:41,1.12,4.31,Cart
0x0020600007C8,2019-08-01 12:24:42,1.82,4.85,Cart
0x0020600007C8,2019-08-01 12:24:43,2.42,5.44,Cart
0x0020600007C8,2019-08-01 12:24:44,3.11,6.07,Cart
0x0020600007C8,2019-08-01 12:24:46,6.68,6.94,Cart
0x0020600007C8,2019-08-01 12:24:47,7.69,7.29,Cart
0x0020600007C8,2019-08-01 12:24:49,10.74,8.24,Cart
0x0020600007C8,2019-08-01 12:24:50,11.38,7.6,Cart
0x0020600007C8,2019-08-01 12:24:51,12.59,7.45,Cart
0x0020600007C8,2019-08-01 12:24:54,12.95,6.93,Cart
0x0020600007C8,2019-08-01 12:24:56,13.58,6.16,Cart
0x0020600007C8,2019-08-01 12:24:58,13.65,6.36,Cart
0x0020600007C8,2019-08-01 12:25:10,16.23,6.57,Cart
0x0020600007C8,2019-08-01 12:25:11,17.58,6.36,Cart
0x0020600007C8,2019-08-01 12:25:12,17.76,5.95,Cart
0x0020600007C8,2019-08-01 12:25:13,18.85,6.31,Cart
0x0020600007C8,2019-08-01 12:25:15,19.6,6.74,Cart
0x0020600007C8,2019-08-01 12:25:16,19.41,6.71,Cart
0x0020600007C8,2019-08-01 12:25:23,19.68,6.69,Cart
0x0020600007C8,2019-08-01 12:25:25,20.44,6.32,Cart
0x0020600007C8,2019-08-01 12:25:27,22.05,5.31,Cart
0x0020600007C8,2019-08-01 12:25:29,21.9,4.98,Cart
0x0020600007C8,2019-08-01 12:25:31,21.72,5.81,Cart
0x0020600007C8,2019-08-01 12:25:33,20.69,6.08,Cart
0x0020600007C8,2019-08-01 12:25:34,20.11,6.16,Cart
0x0020600007C8,2019-08-01 12:25:35,19.8,6.72,Cart
0x0020600007C8,2019-08-01 12:25:36,19.85,6.73,Cart
