tag_id,time,x,y,description
0x002060000EFF,2019-08-09 10:21:09,33.9,17.11,Cart
0x002060000EFF,2019-08-09 10:21:20,34.47,20.53,Cart
0x002060000EFF,2019-08-09 10:22:02,31.2,21.91,Cart
0x002060000EFF,2019-08-09 10:22:31,31.11,21.38,Cart
0x002060000EFF,2019-08-09 10:22:54,28.75,25.81,Cart
0x002060000EFF,2019-08-09 10:23:35,25.36,23.13,Cart
0x002060000EFF,2019-08-09 10:23:37,24.54,21.97,Cart
0x002060000EFF,2019-08-09 10:23:40,23.81,22.98,Cart
0x002060000EFF,2019-08-09 10:23:42,23.57,25.33,Cart
0x002060000EFF,2019-08-09 10:23:44,22.18,24.63,Cart
0x002060000EFF,2019-08-09 10:23:46,21.0,23.31,Cart
0x002060000EFF,2019-08-09 10:23:47,21.13,23.01,Cart
0x002060000EFF,2019-08-09 10:23:49,21.42,22.91,Cart
0x002060000EFF,2019-08-09 10:23:54,21.17,22.6,Cart
0x002060000EFF,2019-08-09 10:23:55,21.94,22.67,Cart
0x002060000EFF,2019-08-09 10:23:56,21.69,22.1,Cart
0x002060000EFF,2019-08-09 10:23:58,21.65,20.35,Cart
0x002060000EFF,2019-08-09 10:23:59,22.32,17.01,Cart
0x002060000EFF,2019-08-09 10:24:01,21.86,17.95,Cart
0x002060000EFF,2019-08-09 10:24:02,21.64,18.73,Cart
0x002060000EFF,2019-08-09 10:24:03,22.09,19.32,Cart
0x002060000EFF,2019-08-09 10:24:11,21.51,19.68,Cart
0x002060000EFF,2019-08-09 10:24:13,22.45,19.84,Cart
0x002060000EFF,2019-08-09 10:24:22,22.77,19.46,Cart
0x002060000EFF,2019-08-09 10:24:23,22.3,19.04,Cart
0x002060000EFF,2019-08-09 10:24:24,23.88,17.75,Cart
0x002060000EFF,2019-08-09 10:24:26,22.44,15.86,Cart
0x002060000EFF,2019-08-09 10:24:27,22.25,15.6,Cart
0x002060000EFF,2019-08-09 10:24:30,22.15,15.64,Cart
0x002060000EFF,2019-08-09 10:24:31,21.81,15.34,Cart
0x002060000EFF,2019-08-09 10:24:33,21.55,15.52,Cart
0x002060000EFF,2019-08-09 10:24:34,21.59,15.93,Cart
0x002060000EFF,2019-08-09 10:24:36,21.63,18.49,Cart
0x002060000EFF,2019-08-09 10:24:38,21.88,17.72,Cart
0x002060000EFF,2019-08-09 10:24:43,22.05,16.56,Cart
0x002060000EFF,2019-08-09 10:24:44,22.08,15.74,Cart
0x002060000EFF,2019-08-09 10:24:46,22.47,14.7,Cart
0x002060000EFF,2019-08-09 10:24:47,22.88,13.76,Cart
0x002060000EFF,2019-08-09 10:24:49,22.44,11.22,Cart
0x002060000EFF,2019-08-09 10:24:51,22.32,9.31,Cart
0x002060000EFF,2019-08-09 10:24:52,22.12,8.42,Cart
0x002060000EFF,2019-08-09 10:24:59,22.0,8.26,Cart
0x002060000EFF,2019-08-09 10:25:00,22.38,7.98,Cart
0x002060000EFF,2019-08-09 10:25:01,22.5,6.44,Cart
0x002060000EFF,2019-08-09 10:25:03,22.9,6.59,Cart
0x002060000EFF,2019-08-09 10:25:04,23.68,6.76,Cart
0x002060000EFF,2019-08-09 10:25:17,23.57,6.98,Cart
0x002060000EFF,2019-08-09 10:25:18,23.73,5.85,Cart
0x002060000EFF,2019-08-09 10:25:20,23.26,7.05,Cart
0x002060000EFF,2019-08-09 10:25:35,23.43,7.29,Cart
0x002060000EFF,2019-08-09 10:25:37,23.64,6.83,Cart
0x002060000EFF,2019-08-09 10:25:56,24.33,6.47,Cart
0x002060000EFF,2019-08-09 10:25:58,24.02,6.94,Cart
0x002060000EFF,2019-08-09 10:26:16,23.69,6.13,Cart
0x002060000EFF,2019-08-09 10:26:17,23.9,5.32,Cart
0x002060000EFF,2019-08-09 10:26:22,24.18,6.12,Cart
0x002060000EFF,2019-08-09 10:26:23,24.05,6.98,Cart
0x002060000EFF,2019-08-09 10:26:25,23.92,7.08,Cart
0x002060000EFF,2019-08-09 10:26:26,23.98,7.01,Cart
0x002060000EFF,2019-08-09 10:26:27,23.79,6.91,Cart
0x002060000EFF,2019-08-09 10:26:29,23.48,7.27,Cart
0x002060000EFF,2019-08-09 10:26:30,23.78,7.18,Cart
0x002060000EFF,2019-08-09 10:26:31,23.98,7.02,Cart
0x002060000EFF,2019-08-09 10:26:32,24.01,6.82,Cart
0x002060000EFF,2019-08-09 10:26:35,23.99,6.91,Cart
0x002060000EFF,2019-08-09 10:26:36,23.98,6.85,Cart
0x002060000EFF,2019-08-09 10:27:13,24.08,6.76,Cart
0x002060000EFF,2019-08-09 10:27:15,23.72,7.57,Cart
0x002060000EFF,2019-08-09 10:27:17,23.84,6.73,Cart
0x002060000EFF,2019-08-09 10:27:21,24.51,7.07,Cart
0x002060000EFF,2019-08-09 10:27:22,24.21,7.12,Cart
0x002060000EFF,2019-08-09 10:27:29,23.68,6.51,Cart
0x002060000EFF,2019-08-09 10:27:30,23.5,6.02,Cart
0x002060000EFF,2019-08-09 10:27:31,23.49,6.33,Cart
0x002060000EFF,2019-08-09 10:27:32,22.82,6.96,Cart
0x002060000EFF,2019-08-09 10:27:35,22.54,6.73,Cart
0x002060000EFF,2019-08-09 10:27:37,22.67,7.01,Cart
0x002060000EFF,2019-08-09 10:27:53,22.72,6.54,Cart
0x002060000EFF,2019-08-09 10:27:54,22.54,6.52,Cart
0x002060000EFF,2019-08-09 10:28:01,22.82,5.56,Cart
0x002060000EFF,2019-08-09 10:28:03,22.24,7.34,Cart
0x002060000EFF,2019-08-09 10:28:04,20.95,8.35,Cart
0x002060000EFF,2019-08-09 10:28:05,21.19,8.56,Cart
0x002060000EFF,2019-08-09 10:28:06,21.55,9.17,Cart
0x002060000EFF,2019-08-09 10:28:08,21.43,10.41,Cart
0x002060000EFF,2019-08-09 10:28:09,21.78,11.41,Cart
0x002060000EFF,2019-08-09 10:28:10,22.03,11.63,Cart
0x002060000EFF,2019-08-09 10:28:12,22.41,13.09,Cart
0x002060000EFF,2019-08-09 10:28:13,22.02,13.53,Cart
0x002060000EFF,2019-08-09 10:28:14,21.84,13.76,Cart
0x002060000EFF,2019-08-09 10:28:15,22.05,14.54,Cart
0x002060000EFF,2019-08-09 10:28:17,22.22,15.26,Cart
0x002060000EFF,2019-08-09 10:28:18,22.51,15.85,Cart
0x002060000EFF,2019-08-09 10:28:21,22.41,15.81,Cart
0x002060000EFF,2019-08-09 10:28:22,22.77,16.32,Cart
0x002060000EFF,2019-08-09 10:28:23,22.9,16.88,Cart
0x002060000EFF,2019-08-09 10:28:41,23.55,16.02,Cart
0x002060000EFF,2019-08-09 10:28:42,23.37,15.87,Cart
0x002060000EFF,2019-08-09 10:28:43,23.34,16.09,Cart
0x002060000EFF,2019-08-09 10:28:46,22.92,16.18,Cart
0x002060000EFF,2019-08-09 10:28:47,23.0,16.29,Cart
0x002060000EFF,2019-08-09 10:28:49,22.97,16.42,Cart
0x002060000EFF,2019-08-09 10:28:51,23.02,15.93,Cart
0x002060000EFF,2019-08-09 10:28:52,22.34,15.48,Cart
0x002060000EFF,2019-08-09 10:28:53,22.06,15.59,Cart
0x002060000EFF,2019-08-09 10:28:54,21.59,15.86,Cart
0x002060000EFF,2019-08-09 10:28:56,19.98,15.66,Cart
0x002060000EFF,2019-08-09 10:28:57,19.34,15.54,Cart
0x002060000EFF,2019-08-09 10:28:59,19.18,15.91,Cart
0x002060000EFF,2019-08-09 10:29:00,18.33,15.48,Cart
0x002060000EFF,2019-08-09 10:29:01,16.9,14.8,Cart
0x002060000EFF,2019-08-09 10:29:02,16.48,15.95,Cart
0x002060000EFF,2019-08-09 10:29:06,15.41,15.45,Cart
0x002060000EFF,2019-08-09 10:29:07,13.79,16.01,Cart
0x002060000EFF,2019-08-09 10:29:09,17.23,16.16,Cart
0x002060000EFF,2019-08-09 10:29:11,17.51,16.73,Cart
0x002060000EFF,2019-08-09 10:29:14,19.38,16.45,Cart
0x002060000EFF,2019-08-09 10:29:16,21.12,16.19,Cart
0x002060000EFF,2019-08-09 10:29:18,21.76,16.56,Cart
0x002060000EFF,2019-08-09 10:29:19,21.6,16.76,Cart
0x002060000EFF,2019-08-09 10:29:20,22.06,17.84,Cart
0x002060000EFF,2019-08-09 10:29:21,22.16,18.68,Cart
0x002060000EFF,2019-08-09 10:29:23,21.62,19.75,Cart
0x002060000EFF,2019-08-09 10:29:26,19.67,20.5,Cart
0x002060000EFF,2019-08-09 10:29:27,18.05,20.45,Cart
0x002060000EFF,2019-08-09 10:29:28,17.22,19.85,Cart
0x002060000EFF,2019-08-09 10:29:29,17.08,19.55,Cart
0x002060000EFF,2019-08-09 10:29:34,17.26,18.84,Cart
0x002060000EFF,2019-08-09 10:29:36,17.16,17.98,Cart
0x002060000EFF,2019-08-09 10:29:42,15.65,20.57,Cart
