tag_id,time,x,y,description
0x002060000F3D,2019-08-01 08:00:01,22.46,24.26,Cart
0x002060000F3D,2019-08-01 08:00:38,22.54,23.03,Cart
0x002060000F3D,2019-08-01 08:00:47,22.49,25.01,Cart
0x002060000F3D,2019-08-01 08:00:49,22.44,25.79,Cart
0x002060000F3D,2019-08-01 08:00:52,22.59,23.89,Cart
0x002060000F3D,2019-08-01 08:00:53,22.11,23.68,Cart
0x002060000F3D,2019-08-01 08:00:54,21.49,24.0,Cart
0x002060000F3D,2019-08-01 08:00:56,21.22,23.75,Cart
0x002060000F3D,2019-08-01 08:00:57,21.41,24.26,Cart
0x002060000F3D,2019-08-01 08:00:58,21.81,24.87,Cart
0x002060000F3D,2019-08-01 08:01:00,22.52,24.62,Cart
0x002060000F3D,2019-08-01 08:01:09,21.9,24.05,Cart
0x002060000F3D,2019-08-01 08:01:10,22.92,24.26,Cart
0x002060000F3D,2019-08-01 08:01:14,23.29,25.79,Cart
0x002060000F3D,2019-08-01 08:01:16,21.56,22.4,Cart
0x002060000F3D,2019-08-01 08:01:18,21.56,21.72,Cart
0x002060000F3D,2019-08-01 08:01:19,21.35,20.74,Cart
0x002060000F3D,2019-08-01 08:01:22,20.33,19.43,Cart
0x002060000F3D,2019-08-01 08:01:23,19.25,19.49,Cart
0x002060000F3D,2019-08-01 08:01:24,18.03,19.39,Cart
0x002060000F3D,2019-08-01 08:01:26,16.45,19.45,Cart
0x002060000F3D,2019-08-01 08:01:27,15.04,19.53,Cart
0x002060000F3D,2019-08-01 08:01:28,13.81,19.36,Cart
0x002060000F3D,2019-08-01 08:01:31,10.85,18.52,Cart
0x002060000F3D,2019-08-01 08:01:32,8.5,19.37,Cart
0x002060000F3D,2019-08-01 08:01:33,7.71,18.41,Cart
0x002060000F3D,2019-08-01 08:01:35,5.9,20.45,Cart
0x002060000F3D,2019-08-01 08:01:37,4.98,21.39,Cart
0x002060000F3D,2019-08-01 08:01:43,6.82,22.65,Cart
0x002060000F3D,2019-08-01 08:01:44,4.94,20.61,Cart
0x002060000F3D,2019-08-01 08:01:45,4.13,19.91,Cart
0x002060000F3D,2019-08-01 08:01:47,3.87,19.06,Cart
0x002060000F3D,2019-08-01 08:01:48,3.96,19.29,Cart
0x002060000F3D,2019-08-01 08:01:49,2.35,20.48,Cart
0x002060000F3D,2019-08-01 08:01:50,2.93,20.23,Cart
0x002060000F3D,2019-08-01 08:01:58,3.43,23.34,Cart
0x002060000F3D,2019-08-01 08:01:59,4.87,25.45,Cart
0x002060000F3D,2019-08-01 08:02:00,5.42,25.11,Cart
0x002060000F3D,2019-08-01 08:02:01,6.28,25.81,Cart
0x002060000F3D,2019-08-01 08:02:03,8.59,24.24,Cart
0x002060000F3D,2019-08-01 08:02:19,6.63,25.25,Cart
0x002060000F3D,2019-08-01 08:02:21,5.46,24.99,Cart
0x002060000F3D,2019-08-01 08:02:23,4.26,24.15,Cart
0x002060000F3D,2019-08-01 08:02:25,3.31,23.37,Cart
0x002060000F3D,2019-08-01 08:02:26,2.42,22.78,Cart
0x002060000F3D,2019-08-01 08:02:27,1.33,22.39,Cart
0x002060000F3D,2019-08-01 08:02:29,2.5,20.89,Cart
0x002060000F3D,2019-08-01 08:02:31,2.34,19.45,Cart
0x002060000F3D,2019-08-01 08:02:33,2.04,17.41,Cart
0x002060000F3D,2019-08-01 08:02:34,1.75,15.61,Cart
0x002060000F3D,2019-08-01 08:02:35,1.88,14.61,Cart
0x002060000F3D,2019-08-01 08:02:36,1.82,13.38,Cart
0x002060000F3D,2019-08-01 08:02:39,2.28,11.13,Cart
0x002060000F3D,2019-08-01 08:02:40,2.75,9.14,Cart
0x002060000F3D,2019-08-01 08:02:42,2.73,7.59,Cart
0x002060000F3D,2019-08-01 08:02:43,2.45,6.78,Cart
0x002060000F3D,2019-08-01 08:02:45,2.57,4.47,Cart
0x002060000F3D,2019-08-01 08:02:47,2.78,3.45,Cart
0x002060000F3D,2019-08-01 08:02:55,3.53,2.85,Cart
0x002060000F3D,2019-08-01 08:02:56,3.78,2.68,Cart
0x002060000F3D,2019-08-01 08:02:57,3.86,2.81,Cart
