tag_id,time,x,y,description
0x002060000F45,2019-08-01 08:00:00,8.56,10.44,Cart
0x002060000F45,2019-08-01 08:00:02,6.46,10.57,Cart
0x002060000F45,2019-08-01 08:00:03,5.79,10.56,Cart
0x002060000F45,2019-08-01 08:00:05,3.94,10.53,Cart
0x002060000F45,2019-08-01 08:00:07,2.64,10.3,Cart
0x002060000F45,2019-08-01 08:00:09,1.54,8.67,Cart
0x002060000F45,2019-08-01 08:00:10,1.64,7.81,Cart
0x002060000F45,2019-08-01 08:00:12,2.24,7.25,Cart
0x002060000F45,2019-08-01 08:00:13,3.36,6.5,Cart
0x002060000F45,2019-08-01 08:00:15,5.55,6.06,Cart
0x002060000F45,2019-08-01 08:00:16,7.25,5.51,Cart
0x002060000F45,2019-08-01 08:00:19,10.88,6.42,Cart
0x002060000F45,2019-08-01 08:00:21,11.75,7.88,Cart
0x002060000F45,2019-08-01 08:00:22,12.8,7.18,Cart
0x002060000F45,2019-08-01 08:00:23,12.88,6.92,Cart
0x002060000F45,2019-08-01 08:00:24,13.55,6.1,Cart
0x002060000F45,2019-08-01 08:00:26,14.95,6.4,Cart
0x002060000F45,2019-08-01 08:00:27,16.08,6.32,Cart
0x002060000F45,2019-08-01 08:00:28,16.4,6.85,Cart
0x002060000F45,2019-08-01 08:00:29,16.88,6.38,Cart
0x002060000F45,2019-08-01 08:00:32,18.13,6.6,Cart
0x002060000F45,2019-08-01 08:00:33,18.67,6.66,Cart
0x002060000F45,2019-08-01 08:00:35,19.88,6.72,Cart
0x002060000F45,2019-08-01 08:00:36,20.16,6.77,Cart
0x002060000F45,2019-08-01 08:00:37,19.37,7.0,Cart
0x002060000F45,2019-08-01 08:00:39,21.18,7.4,Cart
0x002060000F45,2019-08-01 08:00:41,21.89,9.31,Cart
0x002060000F45,2019-08-01 08:00:45,25.4,11.1,Cart
0x002060000F45,2019-08-01 08:00:46,25.25,12.5,Cart
0x002060000F45,2019-08-01 08:00:48,27.7,11.45,Cart
0x002060000F45,2019-08-01 08:00:50,28.94,11.42,Cart
0x002060000F45,2019-08-01 08:00:51,29.39,11.29,Cart
0x002060000F45,2019-08-01 08:00:52,29.95,11.17,Cart
0x002060000F45,2019-08-01 08:00:54,32.09,11.42,Cart
0x002060000F45,2019-08-01 08:00:56,33.71,11.08,Cart
0x002060000F45,2019-08-01 08:00:58,35.01,11.14,Cart
0x002060000F45,2019-08-01 08:00:59,35.06,11.25,Cart
0x002060000F45,2019-08-01 08:01:01,36.51,11.0,Cart
0x002060000F45,2019-08-01 08:01:02,38.07,10.91,Cart
0x002060000F45,2019-08-01 08:01:03,38.34,10.79,Cart
0x002060000F45,2019-08-01 08:01:04,38.79,10.79,Cart
0x002060000F45,2019-08-01 08:01:06,39.05,11.95,Cart
0x002060000F45,2019-08-01 08:01:07,39.11,13.05,Cart
0x002060000F45,2019-08-01 08:01:08,38.82,13.88,Cart
0x002060000F45,2019-08-01 08:01:10,39.21,14.93,Cart
0x002060000F45,2019-08-01 08:01:11,38.76,15.57,Cart
0x002060000F45,2019-08-01 08:01:12,38.01,16.16,Cart
0x002060000F45,2019-08-01 08:01:14,36.14,15.56,Cart
0x002060000F45,2019-08-01 08:01:15,34.88,15.41,Cart
0x002060000F45,2019-08-01 08:01:16,34.2,15.1,Cart
0x002060000F45,2019-08-01 08:01:17,33.14,14.85,Cart
0x002060000F45,2019-08-01 08:01:19,31.89,14.9,Cart
0x002060000F45,2019-08-01 08:01:20,31.07,14.66,Cart
0x002060000F45,2019-08-01 08:01:22,29.93,14.63,Cart
0x002060000F45,2019-08-01 08:01:23,29.66,14.36,Cart
0x002060000F45,2019-08-01 08:01:24,29.67,14.08,Cart
0x002060000F45,2019-08-01 08:01:26,28.48,14.0,Cart
0x002060000F45,2019-08-01 08:01:27,27.38,14.41,Cart
0x002060000F45,2019-08-01 08:01:28,25.98,14.51,Cart
0x002060000F45,2019-08-01 08:01:30,24.85,14.65,Cart
0x002060000F45,2019-08-01 08:01:32,23.49,14.29,Cart
0x002060000F45,2019-08-01 08:01:33,22.26,14.05,Cart
0x002060000F45,2019-08-01 08:01:34,21.75,14.61,Cart
0x002060000F45,2019-08-01 08:01:37,20.79,14.29,Cart
0x002060000F45,2019-08-01 08:01:38,19.72,14.33,Cart
0x002060000F45,2019-08-01 08:01:41,18.12,14.46,Cart
0x002060000F45,2019-08-01 08:01:42,17.24,15.24,Cart
0x002060000F45,2019-08-01 08:01:44,14.94,14.58,Cart
0x002060000F45,2019-08-01 08:01:46,13.34,14.71,Cart
0x002060000F45,2019-08-01 08:01:48,10.91,14.61,Cart
