tag_id,time,x,y,description
0x00206000200E,2019-08-01 08:01:59,40.64,24.48,Cart
0x00206000200E,2019-08-01 08:02:01,38.84,24.06,Cart
0x00206000200E,2019-08-01 08:02:02,39.21,24.4,Cart
0x00206000200E,2019-08-01 08:02:04,39.11,22.66,Cart
0x00206000200E,2019-08-01 08:02:07,38.06,20.29,Cart
0x00206000200E,2019-08-01 08:02:08,36.35,20.48,Cart
0x00206000200E,2019-08-01 08:02:09,35.48,20.75,Cart
0x00206000200E,2019-08-01 08:02:11,32.91,20.03,Cart
0x00206000200E,2019-08-01 08:02:12,31.26,19.98,Cart
0x00206000200E,2019-08-01 08:02:13,29.76,19.4,Cart
0x00206000200E,2019-08-01 08:02:15,27.51,19.28,Cart
0x00206000200E,2019-08-01 08:02:16,25.75,19.63,Cart
0x00206000200E,2019-08-01 08:02:17,24.38,18.99,Cart
0x00206000200E,2019-08-01 08:02:19,22.68,18.77,Cart
0x00206000200E,2019-08-01 08:02:20,22.02,18.97,Cart
0x00206000200E,2019-08-01 08:02:21,20.71,18.96,Cart
0x00206000200E,2019-08-01 08:02:22,19.71,19.28,Cart
0x00206000200E,2019-08-01 08:02:24,17.78,19.31,Cart
0x00206000200E,2019-08-01 08:02:25,17.17,19.79,Cart
0x00206000200E,2019-08-01 08:02:29,17.44,19.8,Cart
0x00206000200E,2019-08-01 08:02:30,16.11,20.98,Cart
0x00206000200E,2019-08-01 08:02:32,14.2,20.21,Cart
0x00206000200E,2019-08-01 08:02:34,12.8,19.34,Cart
0x00206000200E,2019-08-01 08:02:35,12.07,19.69,Cart
0x00206000200E,2019-08-01 08:02:36,11.01,19.78,Cart
0x00206000200E,2019-08-01 08:02:37,10.38,19.76,Cart
0x00206000200E,2019-08-01 08:02:38,10.38,19.94,Cart
0x00206000200E,2019-08-01 08:02:55,10.62,19.78,Cart
0x00206000200E,2019-08-01 08:02:57,10.39,18.95,Cart
0x00206000200E,2019-08-01 08:02:59,10.11,19.34,Cart
0x00206000200E,2019-08-01 08:03:06,3.34,19.23,Cart
0x00206000200E,2019-08-01 08:03:07,1.74,18.86,Cart
0x00206000200E,2019-08-01 08:03:08,1.47,17.45,Cart
0x00206000200E,2019-08-01 08:03:13,4.65,15.46,Cart
0x00206000200E,2019-08-01 08:03:15,7.34,15.7,Cart
0x00206000200E,2019-08-01 08:03:16,10.44,15.77,Cart
0x00206000200E,2019-08-01 08:03:18,10.32,15.2,Cart
0x00206000200E,2019-08-01 08:03:20,10.46,15.18,Cart
0x00206000200E,2019-08-01 08:04:01,11.09,15.74,Cart
0x00206000200E,2019-08-01 08:04:02,10.01,14.21,Cart
0x00206000200E,2019-08-01 08:04:49,9.5,15.1,Cart
0x00206000200E,2019-08-01 08:04:51,10.28,16.01,Cart
0x00206000200E,2019-08-01 08:04:53,10.5,14.73,Cart
0x00206000200E,2019-08-01 08:04:54,10.19,15.04,Cart
0x00206000200E,2019-08-01 08:04:55,10.55,15.01,Cart
0x00206000200E,2019-08-01 08:04:56,10.97,15.16,Cart
0x00206000200E,2019-08-01 08:04:59,12.63,15.22,Cart
0x00206000200E,2019-08-01 08:05:00,12.24,15.97,Cart
0x00206000200E,2019-08-01 08:05:02,13.98,16.25,Cart
0x00206000200E,2019-08-01 08:05:04,14.01,16.13,Cart
0x00206000200E,2019-08-01 08:05:06,13.59,15.7,Cart
0x00206000200E,2019-08-01 08:05:11,13.39,15.03,Cart
0x00206000200E,2019-08-01 08:05:12,13.67,15.7,Cart
0x00206000200E,2019-08-01 08:05:15,14.79,16.25,Cart
0x00206000200E,2019-08-01 08:05:16,14.23,16.35,Cart
0x00206000200E,2019-08-01 08:05:28,14.2,16.26,Cart
0x00206000200E,2019-08-01 08:05:30,15.47,16.71,Cart
0x00206000200E,2019-08-01 08:06:00,14.78,16.08,Cart
0x00206000200E,2019-08-01 08:06:02,15.93,16.4,Cart
0x00206000200E,2019-08-01 08:06:09,16.16,15.78,Cart
0x00206000200E,2019-08-01 08:06:10,17.01,15.78,Cart
0x00206000200E,2019-08-01 08:06:12,17.21,15.87,Cart
0x00206000200E,2019-08-01 08:06:15,17.56,15.71,Cart
0x00206000200E,2019-08-01 08:06:17,18.28,15.16,Cart
0x00206000200E,2019-08-01 08:06:21,19.04,21.3,Cart
0x00206000200E,2019-08-01 08:06:25,18.08,13.54,Cart
0x00206000200E,2019-08-01 08:06:27,19.74,14.39,Cart
0x00206000200E,2019-08-01 08:06:29,22.04,17.35,Cart
0x00206000200E,2019-08-01 08:06:30,22.07,17.3,Cart
0x00206000200E,2019-08-01 08:06:31,21.26,16.76,Cart
0x00206000200E,2019-08-01 08:06:33,21.03,16.49,Cart
0x00206000200E,2019-08-01 08:06:38,20.32,16.08,Cart
0x00206000200E,2019-08-01 08:06:40,21.23,16.14,Cart
0x00206000200E,2019-08-01 08:06:42,21.94,17.32,Cart
0x00206000200E,2019-08-01 08:06:43,22.15,18.48,Cart
0x00206000200E,2019-08-01 08:06:45,22.09,20.71,Cart
0x00206000200E,2019-08-01 08:06:46,21.96,21.88,Cart
0x00206000200E,2019-08-01 08:06:47,21.71,23.31,Cart
0x00206000200E,2019-08-01 08:06:49,20.62,23.68,Cart
0x00206000200E,2019-08-01 08:07:25,19.91,22.78,Cart
0x00206000200E,2019-08-01 08:08:14,20.09,23.31,Cart
0x00206000200E,2019-08-01 08:08:15,18.96,24.11,Cart
0x00206000200E,2019-08-01 08:08:17,16.05,23.45,Cart
0x00206000200E,2019-08-01 08:08:24,12.68,25.37,Cart
0x00206000200E,2019-08-01 08:09:16,15.14,24.99,Cart
0x00206000200E,2019-08-01 08:09:32,14.83,25.65,Cart
0x00206000200E,2019-08-01 08:09:34,15.33,24.04,Cart
0x00206000200E,2019-08-01 08:09:36,15.3,23.88,Cart
0x00206000200E,2019-08-01 08:09:48,15.0,24.03,Cart
0x00206000200E,2019-08-01 08:09:49,14.05,24.67,Cart
0x00206000200E,2019-08-01 08:09:53,11.23,25.06,Cart
0x00206000200E,2019-08-01 08:09:56,9.11,23.68,Cart
0x00206000200E,2019-08-01 08:09:59,9.35,22.82,Cart
0x00206000200E,2019-08-01 08:10:02,5.24,24.34,Cart
0x00206000200E,2019-08-01 08:10:09,5.28,23.28,Cart
0x00206000200E,2019-08-01 08:10:11,5.3,25.0,Cart
0x00206000200E,2019-08-01 08:10:16,3.52,25.94,Cart
0x00206000200E,2019-08-01 08:10:19,2.51,22.39,Cart
0x00206000200E,2019-08-01 08:10:21,2.13,20.77,Cart
0x00206000200E,2019-08-01 08:10:22,1.76,19.76,Cart
0x00206000200E,2019-08-01 08:10:23,1.98,18.43,Cart
0x00206000200E,2019-08-01 08:10:24,1.97,17.78,Cart
0x00206000200E,2019-08-01 08:10:26,1.58,16.7,Cart
0x00206000200E,2019-08-01 08:10:27,2.08,15.64,Cart
0x00206000200E,2019-08-01 08:10:29,2.53,14.96,Cart
0x00206000200E,2019-08-01 08:10:30,2.94,14.65,Cart
0x00206000200E,2019-08-01 08:10:32,5.37,15.1,Cart
0x00206000200E,2019-08-01 08:10:34,7.22,14.97,Cart
0x00206000200E,2019-08-01 08:10:35,7.57,15.84,Cart
0x00206000200E,2019-08-01 08:10:36,7.85,15.37,Cart
0x00206000200E,2019-08-01 08:10:40,8.34,15.11,Cart
0x00206000200E,2019-08-01 08:10:41,7.55,15.65,Cart
0x00206000200E,2019-08-01 08:10:43,7.5,15.84,Cart
0x00206000200E,2019-08-01 08:10:48,8.01,15.65,Cart
0x00206000200E,2019-08-01 08:10:50,7.11,15.52,Cart
0x00206000200E,2019-08-01 08:11:08,7.81,15.4,Cart
0x00206000200E,2019-08-01 08:11:09,8.16,15.14,Cart
0x00206000200E,2019-08-01 08:11:10,7.93,14.03,Cart
0x00206000200E,2019-08-01 08:11:12,7.23,14.41,Cart
0x00206000200E,2019-08-01 08:11:13,5.85,15.35,Cart
0x00206000200E,2019-08-01 08:11:15,5.62,15.79,Cart
0x00206000200E,2019-08-01 08:11:34,5.64,16.0,Cart
0x00206000200E,2019-08-01 08:11:41,5.09,16.04,Cart
0x00206000200E,2019-08-01 08:11:44,5.03,16.15,Cart
0x00206000200E,2019-08-01 08:11:45,4.32,15.45,Cart
0x00206000200E,2019-08-01 08:11:46,3.43,14.97,Cart
0x00206000200E,2019-08-01 08:11:48,2.72,14.86,Cart
0x00206000200E,2019-08-01 08:12:10,2.78,15.01,Cart
0x00206000200E,2019-08-01 08:12:11,3.12,14.84,Cart
0x00206000200E,2019-08-01 08:12:12,2.12,14.9,Cart
0x00206000200E,2019-08-01 08:12:14,1.98,14.96,Cart
0x00206000200E,2019-08-01 08:12:19,0.81,17.64,Cart
0x00206000200E,2019-08-01 08:12:20,0.79,18.05,Cart
0x00206000200E,2019-08-01 08:12:22,0.8,18.12,Cart
0x00206000200E,2019-08-01 08:12:34,0.89,18.57,Cart
0x00206000200E,2019-08-01 08:12:38,0.81,17.93,Cart
0x00206000200E,2019-08-01 08:12:39,1.37,17.73,Cart
0x00206000200E,2019-08-01 08:12:40,2.19,16.85,Cart
0x00206000200E,2019-08-01 08:12:42,1.83,15.85,Cart
0x00206000200E,2019-08-01 08:12:43,2.07,14.25,Cart
0x00206000200E,2019-08-01 08:12:44,2.17,13.55,Cart
0x00206000200E,2019-08-01 08:12:45,1.99,11.76,Cart
0x00206000200E,2019-08-01 08:12:47,2.24,9.87,Cart
0x00206000200E,2019-08-01 08:12:48,2.28,9.34,Cart
0x00206000200E,2019-08-01 08:12:50,1.72,8.01,Cart
0x00206000200E,2019-08-01 08:12:52,1.14,6.85,Cart
0x00206000200E,2019-08-01 08:12:53,0.99,5.44,Cart
0x00206000200E,2019-08-01 08:12:55,1.0,4.35,Cart
0x00206000200E,2019-08-01 08:13:04,2.93,3.37,Cart
0x00206000200E,2019-08-01 08:13:06,2.81,3.59,Cart
0x00206000200E,2019-08-01 08:13:11,2.75,3.53,Cart
0x00206000200E,2019-08-01 08:13:12,2.64,3.72,Cart
0x00206000200E,2019-08-01 08:13:14,4.02,1.86,Cart
0x00206000200E,2019-08-01 08:13:16,5.84,0.95,Cart
0x00206000200E,2019-08-01 08:13:21,11.55,1.87,Cart
0x00206000200E,2019-08-01 08:13:23,12.77,1.59,Cart
0x00206000200E,2019-08-01 08:13:24,13.91,2.57,Cart
0x00206000200E,2019-08-01 08:13:25,14.6,3.63,Cart
0x00206000200E,2019-08-01 08:13:27,15.69,2.97,Cart
0x00206000200E,2019-08-01 08:13:29,16.89,3.29,Cart
0x00206000200E,2019-08-01 08:13:30,16.62,3.91,Cart
0x00206000200E,2019-08-01 08:13:32,17.09,3.74,Cart
0x00206000200E,2019-08-01 08:13:36,18.23,3.89,Cart
0x00206000200E,2019-08-01 08:13:40,19.65,2.19,Cart
0x00206000200E,2019-08-01 08:13:47,19.61,2.92,Cart
0x00206000200E,2019-08-01 08:13:48,20.5,2.89,Cart
0x00206000200E,2019-08-01 08:13:51,23.55,2.57,Cart
0x00206000200E,2019-08-01 08:13:54,26.89,2.07,Cart
0x00206000200E,2019-08-01 08:13:55,27.51,2.69,Cart
0x00206000200E,2019-08-01 08:13:57,30.1,2.05,Cart
0x00206000200E,2019-08-01 08:13:58,30.78,1.9,Cart
0x00206000200E,2019-08-01 08:14:00,32.7,2.24,Cart
