tag_id,time,x,y,description
0x002060002C2E,2019-08-01 08:00:01,6.3,15.1,Cart
0x002060002C2E,2019-08-01 08:00:02,6.13,14.58,Cart
0x002060002C2E,2019-08-01 08:00:04,7.18,14.18,Cart
0x002060002C2E,2019-08-01 08:00:05,8.65,14.67,Cart
0x002060002C2E,2019-08-01 08:00:06,6.94,14.89,Cart
0x002060002C2E,2019-08-01 08:00:08,4.12,14.7,Cart
0x002060002C2E,2019-08-01 08:00:16,3.02,14.7,Cart
0x002060002C2E,2019-08-01 08:00:17,3.17,14.62,Cart
0x002060002C2E,2019-08-01 08:00:19,3.42,14.66,Cart
0x002060002C2E,2019-08-01 08:00:20,3.53,14.72,Cart
0x002060002C2E,2019-08-01 08:00:23,3.42,14.68,Cart
0x002060002C2E,2019-08-01 08:01:00,3.38,14.76,Cart
0x002060002C2E,2019-08-01 08:01:01,4.15,14.4,Cart
0x002060002C2E,2019-08-01 08:01:03,3.01,14.84,Cart
0x002060002C2E,2019-08-01 08:01:05,3.22,14.86,Cart
0x002060002C2E,2019-08-01 08:01:06,4.59,14.89,Cart
0x002060002C2E,2019-08-01 08:01:08,4.34,14.84,Cart
0x002060002C2E,2019-08-01 08:01:10,3.71,14.77,Cart
0x002060002C2E,2019-08-01 08:01:11,3.26,14.9,Cart
0x002060002C2E,2019-08-01 08:01:13,2.19,14.2,Cart
0x002060002C2E,2019-08-01 08:01:14,2.94,13.83,Cart
0x002060002C2E,2019-08-01 08:01:18,2.72,13.24,Cart
0x002060002C2E,2019-08-01 08:01:26,1.47,13.07,Cart
0x002060002C2E,2019-08-01 08:01:27,2.18,13.14,Cart
0x002060002C2E,2019-08-01 08:01:28,2.47,12.85,Cart
0x002060002C2E,2019-08-01 08:01:29,3.25,12.25,Cart
0x002060002C2E,2019-08-01 08:01:34,5.76,10.61,Cart
0x002060002C2E,2019-08-01 08:01:36,6.33,10.57,Cart
0x002060002C2E,2019-08-01 08:01:41,5.76,10.24,Cart
0x002060002C2E,2019-08-01 08:02:03,6.12,11.06,Cart
0x002060002C2E,2019-08-01 08:02:04,6.87,11.29,Cart
0x002060002C2E,2019-08-01 08:02:06,8.26,11.9,Cart
0x002060002C2E,2019-08-01 08:02:07,8.28,11.28,Cart
0x002060002C2E,2019-08-01 08:02:10,9.99,12.77,Cart
0x002060002C2E,2019-08-01 08:02:11,10.77,14.33,Cart
0x002060002C2E,2019-08-01 08:02:12,10.83,14.5,Cart
0x002060002C2E,2019-08-01 08:02:14,9.82,14.43,Cart
0x002060002C2E,2019-08-01 08:02:25,10.13,13.76,Cart
0x002060002C2E,2019-08-01 08:02:26,9.57,14.22,Cart
0x002060002C2E,2019-08-01 08:02:28,11.33,13.31,Cart
0x002060002C2E,2019-08-01 08:02:30,9.91,11.93,Cart
0x002060002C2E,2019-08-01 08:02:31,10.4,11.42,Cart
0x002060002C2E,2019-08-01 08:02:32,10.54,10.76,Cart
0x002060002C2E,2019-08-01 08:02:34,10.48,10.71,Cart
0x002060002C2E,2019-08-01 08:02:36,10.59,10.93,Cart
0x002060002C2E,2019-08-01 08:02:38,11.02,11.24,Cart
0x002060002C2E,2019-08-01 08:02:48,10.06,11.21,Cart
0x002060002C2E,2019-08-01 08:02:50,10.44,11.04,Cart
0x002060002C2E,2019-08-01 08:02:52,8.07,10.93,Cart
0x002060002C2E,2019-08-01 08:02:54,5.79,11.04,Cart
0x002060002C2E,2019-08-01 08:02:56,4.0,10.8,Cart
0x002060002C2E,2019-08-01 08:02:57,3.56,10.54,Cart
0x002060002C2E,2019-08-01 08:02:58,2.96,10.39,Cart
0x002060002C2E,2019-08-01 08:03:04,2.25,10.41,Cart
0x002060002C2E,2019-08-01 08:03:06,2.16,10.47,Cart
0x002060002C2E,2019-08-01 08:03:07,2.11,9.94,Cart
0x002060002C2E,2019-08-01 08:03:10,0.84,9.85,Cart
0x002060002C2E,2019-08-01 08:03:12,1.9,8.69,Cart
0x002060002C2E,2019-08-01 08:03:15,1.7,8.04,Cart
0x002060002C2E,2019-08-01 08:03:17,1.68,7.52,Cart
0x002060002C2E,2019-08-01 08:03:18,1.7,7.32,Cart
0x002060002C2E,2019-08-01 08:03:25,0.83,6.1,Cart
0x002060002C2E,2019-08-01 08:03:27,0.88,5.98,Cart
0x002060002C2E,2019-08-01 08:03:31,1.69,4.56,Cart
0x002060002C2E,2019-08-01 08:03:33,2.27,4.02,Cart
0x002060002C2E,2019-08-01 08:03:35,2.07,3.19,Cart
0x002060002C2E,2019-08-01 08:04:29,2.2,4.02,Cart
0x002060002C2E,2019-08-01 08:04:40,2.47,3.83,Cart
0x002060002C2E,2019-08-01 08:04:41,2.15,3.6,Cart
