tag_id,time,x,y,description
0x002060002D21,2019-08-01 08:02:46,39.61,25.09,Cart
0x002060002D21,2019-08-01 08:02:48,38.38,23.87,Cart
0x002060002D21,2019-08-01 08:02:49,37.2,24.0,Cart
0x002060002D21,2019-08-01 08:02:57,29.02,25.29,Cart
0x002060002D21,2019-08-01 08:02:58,26.57,24.04,Cart
0x002060002D21,2019-08-01 08:03:00,24.54,25.05,Cart
0x002060002D21,2019-08-01 08:03:01,23.14,24.88,Cart
0x002060002D21,2019-08-01 08:03:02,21.51,23.52,Cart
0x002060002D21,2019-08-01 08:03:05,19.89,22.22,Cart
0x002060002D21,2019-08-01 08:04:32,20.9,22.22,Cart
0x002060002D21,2019-08-01 08:04:33,20.84,22.69,Cart
0x002060002D21,2019-08-01 08:04:57,20.7,22.69,Cart
0x002060002D21,2019-08-01 08:05:06,12.1,22.55,Cart
0x002060002D21,2019-08-01 08:05:07,9.01,25.06,Cart
0x002060002D21,2019-08-01 08:05:11,4.8,24.41,Cart
0x002060002D21,2019-08-01 08:05:13,2.03,23.06,Cart
0x002060002D21,2019-08-01 08:05:14,1.76,22.89,Cart
0x002060002D21,2019-08-01 08:05:21,2.95,17.1,Cart
0x002060002D21,2019-08-01 08:05:23,1.05,17.13,Cart
0x002060002D21,2019-08-01 08:05:26,2.99,17.15,Cart
0x002060002D21,2019-08-01 08:05:28,1.64,16.46,Cart
0x002060002D21,2019-08-01 08:05:30,2.55,15.43,Cart
0x002060002D21,2019-08-01 08:05:34,6.48,14.82,Cart
0x002060002D21,2019-08-01 08:05:36,6.94,15.14,Cart
0x002060002D21,2019-08-01 08:05:38,7.01,15.52,Cart
0x002060002D21,2019-08-01 08:05:40,6.82,15.49,Cart
0x002060002D21,2019-08-01 08:05:42,7.09,15.33,Cart
0x002060002D21,2019-08-01 08:05:44,7.75,15.79,Cart
0x002060002D21,2019-08-01 08:06:20,9.61,16.57,Cart
0x002060002D21,2019-08-01 08:06:24,7.3,14.6,Cart
0x002060002D21,2019-08-01 08:06:26,6.04,15.66,Cart
0x002060002D21,2019-08-01 08:06:27,6.13,14.66,Cart
0x002060002D21,2019-08-01 08:06:28,5.0,15.36,Cart
0x002060002D21,2019-08-01 08:06:36,2.65,15.4,Cart
0x002060002D21,2019-08-01 08:06:38,3.05,15.14,Cart
0x002060002D21,2019-08-01 08:06:39,1.95,14.49,Cart
0x002060002D21,2019-08-01 08:06:41,0.95,13.37,Cart
0x002060002D21,2019-08-01 08:06:43,1.78,12.9,Cart
0x002060002D21,2019-08-01 08:06:46,2.24,12.07,Cart
0x002060002D21,2019-08-01 08:06:47,2.57,11.72,Cart
0x002060002D21,2019-08-01 08:06:49,2.43,11.72,Cart
0x002060002D21,2019-08-01 08:06:50,2.57,11.67,Cart
0x002060002D21,2019-08-01 08:06:51,2.51,11.62,Cart
0x002060002D21,2019-08-01 08:06:53,2.67,11.27,Cart
0x002060002D21,2019-08-01 08:06:57,5.68,10.7,Cart
0x002060002D21,2019-08-01 08:07:00,8.02,11.23,Cart
0x002060002D21,2019-08-01 08:07:22,5.23,11.07,Cart
0x002060002D21,2019-08-01 08:07:23,5.55,10.71,Cart
0x002060002D21,2019-08-01 08:07:24,6.19,10.76,Cart
0x002060002D21,2019-08-01 08:07:26,5.73,10.76,Cart
0x002060002D21,2019-08-01 08:07:28,5.31,11.16,Cart
0x002060002D21,2019-08-01 08:07:35,6.17,10.43,Cart
0x002060002D21,2019-08-01 08:07:36,5.65,11.53,Cart
0x002060002D21,2019-08-01 08:07:37,5.84,11.64,Cart
0x002060002D21,2019-08-01 08:07:38,6.87,11.45,Cart
0x002060002D21,2019-08-01 08:07:40,7.8,11.05,Cart
0x002060002D21,2019-08-01 08:07:41,9.51,10.68,Cart
0x002060002D21,2019-08-01 08:07:42,10.3,10.45,Cart
0x002060002D21,2019-08-01 08:07:44,10.9,10.62,Cart
0x002060002D21,2019-08-01 08:07:46,9.51,10.84,Cart
0x002060002D21,2019-08-01 08:07:47,8.45,10.6,Cart
0x002060002D21,2019-08-01 08:07:48,7.69,10.4,Cart
0x002060002D21,2019-08-01 08:07:55,1.93,9.13,Cart
0x002060002D21,2019-08-01 08:08:00,2.06,5.97,Cart
0x002060002D21,2019-08-01 08:08:01,0.89,5.26,Cart
0x002060002D21,2019-08-01 08:08:03,1.77,3.89,Cart
0x002060002D21,2019-08-01 08:08:04,3.01,3.47,Cart
0x002060002D21,2019-08-01 08:08:05,3.63,3.05,Cart
0x002060002D21,2019-08-01 08:08:07,5.14,1.59,Cart
