tag_id,time,x,y,description
0x002060003369,2019-08-01 08:04:48,40.25,24.58,Cart
0x002060003369,2019-08-01 08:04:51,33.33,16.82,Cart
0x002060003369,2019-08-01 08:04:52,40.15,24.1,Cart
0x002060003369,2019-08-01 08:04:53,40.17,24.09,Cart
0x002060003369,2019-08-01 08:04:55,38.63,21.86,Cart
0x002060003369,2019-08-01 08:04:56,37.91,20.04,Cart
0x002060003369,2019-08-01 08:04:58,37.45,20.0,Cart
0x002060003369,2019-08-01 08:05:00,34.92,20.59,Cart
0x002060003369,2019-08-01 08:05:02,32.93,19.66,Cart
0x002060003369,2019-08-01 08:05:04,30.38,19.27,Cart
0x002060003369,2019-08-01 08:05:06,28.94,19.19,Cart
0x002060003369,2019-08-01 08:05:07,26.97,19.49,Cart
0x002060003369,2019-08-01 08:05:08,25.9,19.65,Cart
0x002060003369,2019-08-01 08:05:09,24.86,19.7,Cart
0x002060003369,2019-08-01 08:05:11,23.23,19.96,Cart
0x002060003369,2019-08-01 08:05:13,21.41,19.72,Cart
0x002060003369,2019-08-01 08:05:14,20.77,19.22,Cart
0x002060003369,2019-08-01 08:05:16,19.39,18.82,Cart
0x002060003369,2019-08-01 08:05:17,18.12,18.75,Cart
0x002060003369,2019-08-01 08:05:18,16.8,19.9,Cart
0x002060003369,2019-08-01 08:05:20,16.46,19.86,Cart
0x002060003369,2019-08-01 08:05:21,15.67,19.34,Cart
0x002060003369,2019-08-01 08:05:22,14.15,19.62,Cart
0x002060003369,2019-08-01 08:05:24,11.95,19.91,Cart
0x002060003369,2019-08-01 08:05:25,11.2,20.02,Cart
0x002060003369,2019-08-01 08:05:27,11.37,19.61,Cart
0x002060003369,2019-08-01 08:05:28,11.38,19.75,Cart
0x002060003369,2019-08-01 08:05:31,11.59,19.61,Cart
0x002060003369,2019-08-01 08:05:32,11.61,19.09,Cart
0x002060003369,2019-08-01 08:05:34,10.02,20.57,Cart
0x002060003369,2019-08-01 08:05:35,8.77,19.98,Cart
0x002060003369,2019-08-01 08:05:37,7.23,19.29,Cart
0x002060003369,2019-08-01 08:05:38,6.28,18.66,Cart
0x002060003369,2019-08-01 08:05:39,5.51,18.4,Cart
0x002060003369,2019-08-01 08:05:41,1.89,18.83,Cart
0x002060003369,2019-08-01 08:05:43,0.73,18.33,Cart
0x002060003369,2019-08-01 08:05:45,0.62,16.71,Cart
0x002060003369,2019-08-01 08:05:48,0.75,15.59,Cart
0x002060003369,2019-08-01 08:05:53,1.44,14.66,Cart
0x002060003369,2019-08-01 08:05:54,1.63,14.15,Cart
0x002060003369,2019-08-01 08:05:55,1.83,14.34,Cart
0x002060003369,2019-08-01 08:05:57,2.57,14.01,Cart
0x002060003369,2019-08-01 08:05:58,2.62,13.39,Cart
0x002060003369,2019-08-01 08:05:59,2.78,12.64,Cart
0x002060003369,2019-08-01 08:06:00,2.47,11.44,Cart
0x002060003369,2019-08-01 08:06:02,1.32,9.43,Cart
0x002060003369,2019-08-01 08:06:04,1.04,7.58,Cart
0x002060003369,2019-08-01 08:06:07,2.41,6.54,Cart
0x002060003369,2019-08-01 08:06:09,1.29,4.75,Cart
0x002060003369,2019-08-01 08:06:28,1.39,4.05,Cart
0x002060003369,2019-08-01 08:06:30,2.58,3.44,Cart
0x002060003369,2019-08-01 08:06:31,2.4,3.79,Cart
0x002060003369,2019-08-01 08:06:32,1.3,3.01,Cart
0x002060003369,2019-08-01 08:06:34,7.64,5.33,Cart
0x002060003369,2019-08-01 08:06:43,8.52,3.21,Cart
0x002060003369,2019-08-01 08:06:44,7.9,7.73,Cart
0x002060003369,2019-08-01 08:06:46,9.62,5.67,Cart
0x002060003369,2019-08-01 08:06:50,12.59,2.14,Cart
0x002060003369,2019-08-01 08:06:54,16.38,3.76,Cart
0x002060003369,2019-08-01 08:06:56,20.19,1.22,Cart
0x002060003369,2019-08-01 08:06:58,20.75,2.29,Cart
0x002060003369,2019-08-01 08:06:59,22.84,1.71,Cart
0x002060003369,2019-08-01 08:07:00,22.94,2.44,Cart
0x002060003369,2019-08-01 08:07:03,24.72,3.07,Cart
0x002060003369,2019-08-01 08:07:04,26.42,3.0,Cart
0x002060003369,2019-08-01 08:07:06,28.27,2.7,Cart
0x002060003369,2019-08-01 08:07:07,28.92,2.05,Cart
0x002060003369,2019-08-01 08:07:08,29.59,1.82,Cart
0x002060003369,2019-08-01 08:07:11,30.04,2.04,Cart
0x002060003369,2019-08-01 08:07:12,30.11,2.17,Cart
0x002060003369,2019-08-01 08:07:17,27.09,2.82,Cart
0x002060003369,2019-08-01 08:07:18,26.24,2.93,Cart
0x002060003369,2019-08-01 08:07:19,25.6,2.85,Cart
0x002060003369,2019-08-01 08:07:21,23.85,2.99,Cart
0x002060003369,2019-08-01 08:07:22,22.94,2.87,Cart
0x002060003369,2019-08-01 08:07:23,22.9,2.8,Cart
0x002060003369,2019-08-01 08:07:24,21.46,2.55,Cart
0x002060003369,2019-08-01 08:07:25,21.29,2.76,Cart
0x002060003369,2019-08-01 08:07:28,21.21,4.48,Cart
0x002060003369,2019-08-01 08:07:29,21.74,5.86,Cart
0x002060003369,2019-08-01 08:07:31,22.21,7.03,Cart
0x002060003369,2019-08-01 08:07:32,21.6,8.67,Cart
0x002060003369,2019-08-01 08:07:34,22.0,10.36,Cart
0x002060003369,2019-08-01 08:07:35,21.7,11.11,Cart
0x002060003369,2019-08-01 08:07:36,22.0,12.52,Cart
0x002060003369,2019-08-01 08:07:37,22.38,12.56,Cart
0x002060003369,2019-08-01 08:07:38,22.56,13.34,Cart
