tag_id,time,x,y,description
0x0020600129A7,2019-08-01 09:32:42,40.1,24.66,Cart
0x0020600129A7,2019-08-01 09:32:43,39.55,24.69,Cart
0x0020600129A7,2019-08-01 09:32:44,38.48,24.05,Cart
0x0020600129A7,2019-08-01 09:32:45,36.77,23.09,Cart
0x0020600129A7,2019-08-01 09:32:46,37.84,23.71,Cart
0x0020600129A7,2019-08-01 09:32:48,38.87,23.85,Cart
0x0020600129A7,2019-08-01 09:32:50,39.46,23.83,Cart
0x0020600129A7,2019-08-01 09:32:51,39.44,24.22,Cart
0x0020600129A7,2019-08-01 09:32:52,39.36,24.56,Cart
0x0020600129A7,2019-08-01 09:32:55,39.36,24.92,Cart
0x0020600129A7,2019-08-01 09:32:57,39.33,24.95,Cart
0x0020600129A7,2019-08-01 09:33:04,39.59,24.39,Cart
0x0020600129A7,2019-08-01 09:33:05,39.18,24.71,Cart
0x0020600129A7,2019-08-01 09:33:19,39.03,24.9,Cart
0x0020600129A7,2019-08-01 09:33:29,39.83,23.58,Cart
0x0020600129A7,2019-08-01 09:33:36,39.16,24.63,Cart
0x0020600129A7,2019-08-01 09:33:37,38.96,25.16,Cart
0x0020600129A7,2019-08-01 09:34:09,40.69,25.13,Cart
0x0020600129A7,2019-08-01 09:34:37,40.71,24.51,Cart
0x0020600129A7,2019-08-01 09:34:39,39.95,25.49,Cart
0x0020600129A7,2019-08-01 09:34:40,39.67,24.35,Cart
0x0020600129A7,2019-08-01 09:34:42,39.18,24.13,Cart
0x0020600129A7,2019-08-01 09:34:44,38.67,24.27,Cart
0x0020600129A7,2019-08-01 09:34:46,38.51,23.92,Cart
0x0020600129A7,2019-08-01 09:34:47,35.36,19.72,Cart
0x0020600129A7,2019-08-01 09:34:53,38.15,22.28,Cart
0x0020600129A7,2019-08-01 09:34:54,38.13,23.42,Cart
0x0020600129A7,2019-08-01 09:34:55,38.47,23.78,Cart
0x0020600129A7,2019-08-01 09:35:01,35.25,23.98,Cart
0x0020600129A7,2019-08-01 09:35:02,35.41,24.54,Cart
0x0020600129A7,2019-08-01 09:35:05,32.67,22.44,Cart
0x0020600129A7,2019-08-01 09:35:06,32.32,22.17,Cart
0x0020600129A7,2019-08-01 09:35:28,35.47,24.43,Cart
0x0020600129A7,2019-08-01 09:35:34,31.43,24.59,Cart
0x0020600129A7,2019-08-01 09:35:36,29.38,23.33,Cart
0x0020600129A7,2019-08-01 09:35:43,25.49,25.61,Cart
0x0020600129A7,2019-08-01 09:35:47,23.08,25.79,Cart
0x0020600129A7,2019-08-01 09:35:48,21.94,25.81,Cart
0x0020600129A7,2019-08-01 09:35:50,21.79,23.91,Cart
0x0020600129A7,2019-08-01 09:35:51,22.2,23.51,Cart
0x0020600129A7,2019-08-01 09:35:53,22.33,24.77,Cart
0x0020600129A7,2019-08-01 09:35:54,22.09,24.53,Cart
0x0020600129A7,2019-08-01 09:35:56,21.68,23.0,Cart
0x0020600129A7,2019-08-01 09:35:57,21.86,22.04,Cart
0x0020600129A7,2019-08-01 09:35:59,21.71,21.18,Cart
0x0020600129A7,2019-08-01 09:36:00,21.88,21.76,Cart
0x0020600129A7,2019-08-01 09:36:02,21.69,21.93,Cart
0x0020600129A7,2019-08-01 09:36:04,21.9,22.01,Cart
0x0020600129A7,2019-08-01 09:36:06,21.96,22.26,Cart
0x0020600129A7,2019-08-01 09:36:07,22.04,21.95,Cart
0x0020600129A7,2019-08-01 09:36:08,22.01,21.41,Cart
0x0020600129A7,2019-08-01 09:36:09,22.18,20.3,Cart
0x0020600129A7,2019-08-01 09:36:10,22.17,19.11,Cart
0x0020600129A7,2019-08-01 09:36:12,22.58,17.6,Cart
0x0020600129A7,2019-08-01 09:36:14,22.7,15.92,Cart
0x0020600129A7,2019-08-01 09:36:16,22.91,14.36,Cart
0x0020600129A7,2019-08-01 09:36:18,24.47,14.03,Cart
0x0020600129A7,2019-08-01 09:36:19,26.24,13.93,Cart
0x0020600129A7,2019-08-01 09:36:21,28.01,13.91,Cart
0x0020600129A7,2019-08-01 09:36:23,29.28,14.12,Cart
0x0020600129A7,2019-08-01 09:36:24,30.01,14.26,Cart
0x0020600129A7,2019-08-01 09:36:26,31.47,14.74,Cart
0x0020600129A7,2019-08-01 09:36:27,31.66,15.05,Cart
0x0020600129A7,2019-08-01 09:36:29,33.1,14.93,Cart
0x0020600129A7,2019-08-01 09:36:31,33.79,14.6,Cart
0x0020600129A7,2019-08-01 09:36:32,33.86,14.52,Cart
